[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/baseline_ga4_qkgrad960_20260512_140925.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=baseline_ga4_qkgrad960_20260512_140925 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=-1 rom_output_scale=1.0
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9348 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:682ms step_avg:682.23ms
step:2/1480 train_time:1352ms step_avg:676.21ms
step:3/1480 train_time:2009ms step_avg:669.76ms
step:4/1480 train_time:2676ms step_avg:669.09ms
step:5/1480 train_time:3338ms step_avg:667.57ms
step:6/1480 train_time:4006ms step_avg:667.67ms
step:7/1480 train_time:4664ms step_avg:666.32ms
step:8/1480 train_time:5331ms step_avg:666.33ms
step:9/1480 train_time:5988ms step_avg:665.30ms
step:10/1480 train_time:6653ms step_avg:665.35ms
step:11/1480 train_time:7313ms step_avg:664.78ms
step:12/1480 train_time:7982ms step_avg:665.14ms
step:13/1480 train_time:8641ms step_avg:664.71ms
step:14/1480 train_time:9308ms step_avg:664.84ms
step:15/1480 train_time:9967ms step_avg:664.49ms
step:16/1480 train_time:10635ms step_avg:664.72ms
step:17/1480 train_time:11295ms step_avg:664.40ms
step:18/1480 train_time:11960ms step_avg:664.47ms
step:19/1480 train_time:12618ms step_avg:664.10ms
step:20/1480 train_time:13283ms step_avg:664.15ms
step:21/1480 train_time:13940ms step_avg:663.80ms
step:22/1480 train_time:14605ms step_avg:663.88ms
step:23/1480 train_time:15263ms step_avg:663.61ms
step:24/1480 train_time:15929ms step_avg:663.71ms
step:25/1480 train_time:16586ms step_avg:663.46ms
step:26/1480 train_time:17254ms step_avg:663.63ms
step:27/1480 train_time:17914ms step_avg:663.48ms
step:28/1480 train_time:18581ms step_avg:663.62ms
step:29/1480 train_time:19241ms step_avg:663.47ms
step:30/1480 train_time:19909ms step_avg:663.65ms
step:31/1480 train_time:20568ms step_avg:663.47ms
step:32/1480 train_time:21234ms step_avg:663.57ms
step:33/1480 train_time:21892ms step_avg:663.39ms
step:34/1480 train_time:22558ms step_avg:663.46ms
step:35/1480 train_time:23215ms step_avg:663.28ms
step:36/1480 train_time:23880ms step_avg:663.34ms
step:37/1480 train_time:24537ms step_avg:663.17ms
step:38/1480 train_time:25204ms step_avg:663.25ms
step:39/1480 train_time:25862ms step_avg:663.13ms
step:40/1480 train_time:26528ms step_avg:663.20ms
step:41/1480 train_time:27185ms step_avg:663.05ms
step:42/1480 train_time:27851ms step_avg:663.11ms
step:43/1480 train_time:28508ms step_avg:662.97ms
step:44/1480 train_time:29173ms step_avg:663.03ms
step:45/1480 train_time:29831ms step_avg:662.92ms
step:46/1480 train_time:30497ms step_avg:662.99ms
step:47/1480 train_time:31155ms step_avg:662.87ms
step:48/1480 train_time:31821ms step_avg:662.95ms
step:49/1480 train_time:32479ms step_avg:662.83ms
step:50/1480 train_time:33144ms step_avg:662.89ms
step:51/1480 train_time:33802ms step_avg:662.78ms
step:52/1480 train_time:34468ms step_avg:662.85ms
step:53/1480 train_time:35125ms step_avg:662.74ms
step:54/1480 train_time:35791ms step_avg:662.79ms
step:55/1480 train_time:36447ms step_avg:662.68ms
step:56/1480 train_time:37113ms step_avg:662.73ms
step:57/1480 train_time:37769ms step_avg:662.62ms
step:58/1480 train_time:38435ms step_avg:662.67ms
step:59/1480 train_time:39091ms step_avg:662.57ms
step:60/1480 train_time:39756ms step_avg:662.61ms
step:61/1480 train_time:40414ms step_avg:662.52ms
step:62/1480 train_time:41079ms step_avg:662.57ms
step:63/1480 train_time:41735ms step_avg:662.46ms
step:64/1480 train_time:42400ms step_avg:662.50ms
step:65/1480 train_time:43056ms step_avg:662.41ms
step:66/1480 train_time:43721ms step_avg:662.44ms
step:67/1480 train_time:44377ms step_avg:662.34ms
step:68/1480 train_time:45042ms step_avg:662.38ms
step:69/1480 train_time:45698ms step_avg:662.29ms
step:70/1480 train_time:46362ms step_avg:662.32ms
step:71/1480 train_time:47019ms step_avg:662.24ms
