[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/baseline_nan_debug_short_20260512_121214.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=baseline_nan_debug_short_20260512_121214 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=-1
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 98, 99, 100, 101, 198, 199, 200, 201, 298, 299, 300] for warmup
Resetting Model
step:0/300 val_loss:18.9382 train_time:0ms step_avg:0.03ms
step:1/300 train_time:674ms step_avg:673.52ms
step:2/300 train_time:1338ms step_avg:669.22ms
step:3/300 train_time:1994ms step_avg:664.75ms
step:4/300 train_time:2659ms step_avg:664.67ms
step:5/300 train_time:3314ms step_avg:662.88ms
step:6/300 train_time:3979ms step_avg:663.11ms
step:7/300 train_time:4634ms step_avg:662.05ms
step:8/300 train_time:5300ms step_avg:662.52ms
step:9/300 train_time:5958ms step_avg:661.95ms
step:10/300 train_time:6623ms step_avg:662.27ms
step:11/300 train_time:7279ms step_avg:661.74ms
step:12/300 train_time:7943ms step_avg:661.95ms
step:13/300 train_time:8600ms step_avg:661.53ms
step:14/300 train_time:9264ms step_avg:661.75ms
step:15/300 train_time:9920ms step_avg:661.33ms
step:16/300 train_time:10584ms step_avg:661.49ms
step:17/300 train_time:11241ms step_avg:661.26ms
step:18/300 train_time:11907ms step_avg:661.48ms
step:19/300 train_time:12564ms step_avg:661.26ms
step:20/300 train_time:13229ms step_avg:661.44ms
step:21/300 train_time:13884ms step_avg:661.17ms
step:22/300 train_time:14550ms step_avg:661.39ms
step:23/300 train_time:15207ms step_avg:661.18ms
step:24/300 train_time:15872ms step_avg:661.34ms
step:25/300 train_time:16528ms step_avg:661.13ms
step:26/300 train_time:17193ms step_avg:661.27ms
step:27/300 train_time:17850ms step_avg:661.11ms
step:28/300 train_time:18515ms step_avg:661.26ms
step:29/300 train_time:19172ms step_avg:661.10ms
step:30/300 train_time:19837ms step_avg:661.24ms
step:31/300 train_time:20494ms step_avg:661.10ms
step:32/300 train_time:21159ms step_avg:661.21ms
step:33/300 train_time:21816ms step_avg:661.08ms
