[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_3b_adamevery_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_142441.txt
Experiment config: world_size=1 grad_accum_steps=16 bigram_vocab_size=1961856 run_id=engram_3b_adamevery_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_142441 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=1 engram_canonicalize=1 engram_adam_every_step=1 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 498, 499, 500, 501, 998, 999, 1000, 1001, 1498, 1499, 1500] for warmup
Resetting Model
step:0/1500 val_loss:18.9387 train_time:0ms step_avg:0.04ms
step:1/1500 train_time:933ms step_avg:933.01ms
step:2/1500 train_time:1928ms step_avg:964.19ms
step:3/1500 train_time:2926ms step_avg:975.19ms
step:4/1500 train_time:3923ms step_avg:980.64ms
step:5/1500 train_time:4920ms step_avg:983.94ms
step:6/1500 train_time:5917ms step_avg:986.20ms
step:7/1500 train_time:6914ms step_avg:987.69ms
step:8/1500 train_time:7910ms step_avg:988.77ms
step:9/1500 train_time:8909ms step_avg:989.88ms
step:10/1500 train_time:9905ms step_avg:990.52ms
step:11/1500 train_time:10903ms step_avg:991.21ms
step:12/1500 train_time:11899ms step_avg:991.62ms
step:13/1500 train_time:12897ms step_avg:992.06ms
step:14/1500 train_time:13893ms step_avg:992.39ms
step:15/1500 train_time:14891ms step_avg:992.73ms
step:16/1500 train_time:15888ms step_avg:992.98ms
step:17/1500 train_time:16886ms step_avg:993.32ms
step:18/1500 train_time:17883ms step_avg:993.52ms
step:19/1500 train_time:18880ms step_avg:993.70ms
step:20/1500 train_time:19877ms step_avg:993.87ms
step:21/1500 train_time:20876ms step_avg:994.09ms
step:22/1500 train_time:21873ms step_avg:994.21ms
step:23/1500 train_time:22871ms step_avg:994.37ms
step:24/1500 train_time:23868ms step_avg:994.48ms
step:25/1500 train_time:24865ms step_avg:994.59ms
step:26/1500 train_time:25861ms step_avg:994.66ms
step:27/1500 train_time:26860ms step_avg:994.80ms
step:28/1500 train_time:27856ms step_avg:994.87ms
step:29/1500 train_time:28854ms step_avg:994.96ms
step:30/1500 train_time:29850ms step_avg:995.01ms
step:31/1500 train_time:30848ms step_avg:995.11ms
step:32/1500 train_time:31846ms step_avg:995.17ms
step:33/1500 train_time:32843ms step_avg:995.23ms
step:34/1500 train_time:33840ms step_avg:995.28ms
step:35/1500 train_time:34838ms step_avg:995.37ms
step:36/1500 train_time:35834ms step_avg:995.40ms
