head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
10,3,2,385106,20004036,72,0.83412910,92.36694336, U.S
8,3,0,385154,16080238,72,0.88375384,91.60025024, U.S
9,3,1,1681859,19338860,47,0.82551885,88.42814636, DON’
13,3,5,384956,25889739,72,0.86140066,84.61696625, U.S
15,3,7,384902,29813657,73,0.87235194,84.16881561, U.S
11,3,3,385034,21965897,72,0.86415315,81.17320251, U.S
9,3,1,385118,18042119,72,0.83167148,81.06307983, U.S
14,3,6,384938,27851704,72,0.79369575,79.32689667, U.S
14,3,6,1681379,29148145,47,0.83291173,78.28469849, DON’
12,3,4,385016,23927836,72,0.79301786,77.42263794, U.S
14,3,6,984559,28451325,49,0.79820913,75.28800964,-year-
10,3,2,1681827,21300757,47,0.80774975,75.19327545, DON’
8,3,0,1681955,17377039,47,0.82262582,74.98441315, DON’
13,3,5,1786530,27291313,46,0.84431684,73.91615295, you do not
11,3,3,817973,22398836,68,0.82943612,73.91342163, One of the
12,3,4,1681587,25224407,47,0.79912192,73.54856873, DON’
12,3,4,235081,23777901,88,0.83917022,72.99978638, it’
11,3,3,1681635,23262498,47,0.82260484,72.61150360, DON’
11,3,3,235141,21816004,88,0.85902804,71.67613220, it’
8,3,0,985135,16680219,46,0.79519099,71.62133789,-year-
11,3,3,984815,22565678,46,0.78950399,71.59452057,-year-
15,3,7,984463,30413218,46,0.81791693,71.50238037,-year-
13,3,5,234881,25739664,88,0.85159034,70.92290497, it’
8,3,0,818573,16513657,68,0.79276079,70.86521149, One of the
1,2,1,438103,2399960,164,0.83563882,70.20908356,\n|
14,3,6,234821,27701587,88,0.86647719,70.16787720, it’
3,2,3,1864639,7750232,157,0.80452704,70.08902740,|\n
9,3,1,818393,18475394,68,0.79384428,70.08422852, One of the
14,3,6,1788892,29255658,49,0.81677634,70.01486969,year-old
2,2,2,1599120,5522840,175,0.81418526,69.56177521, will be
10,3,2,131439,19750369,71,0.77968186,69.42972565,. “
12,3,4,984767,24527587,46,0.80178469,69.34693909,-year-
13,3,5,1681427,27186210,47,0.78207690,69.16635132, DON’
10,3,2,1790852,21409782,49,0.83487880,69.12333679,year-old
13,3,5,1789102,27293885,49,0.82177818,68.90351105,year-old
5,2,5,438067,10247440,164,0.82352102,68.86695099,\n|
10,3,2,818333,20437263,68,0.82154381,68.72175598, One of the
14,3,6,817493,28284259,69,0.80789089,68.15053558, One of the
15,3,7,817313,30246068,68,0.80580670,68.06880951, One of the
12,3,4,1317077,24859897,101,0.84545040,67.70365906, ”
