[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_3b_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_133250.txt
Experiment config: world_size=1 grad_accum_steps=16 bigram_vocab_size=1961856 run_id=engram_3b_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_133250 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=1 engram_canonicalize=1 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 498, 499, 500, 501, 998, 999, 1000, 1001, 1498, 1499, 1500] for warmup
Resetting Model
step:0/1500 val_loss:18.9393 train_time:0ms step_avg:0.03ms
step:1/1500 train_time:936ms step_avg:936.06ms
step:2/1500 train_time:1900ms step_avg:949.78ms
step:3/1500 train_time:2896ms step_avg:965.38ms
step:4/1500 train_time:3861ms step_avg:965.34ms
step:5/1500 train_time:4858ms step_avg:971.59ms
step:6/1500 train_time:5821ms step_avg:970.11ms
step:7/1500 train_time:6818ms step_avg:974.01ms
step:8/1500 train_time:7782ms step_avg:972.78ms
step:9/1500 train_time:8779ms step_avg:975.47ms
step:10/1500 train_time:9742ms step_avg:974.19ms
step:11/1500 train_time:10739ms step_avg:976.30ms
step:12/1500 train_time:11706ms step_avg:975.50ms
step:13/1500 train_time:12703ms step_avg:977.13ms
step:14/1500 train_time:13667ms step_avg:976.23ms
step:15/1500 train_time:14666ms step_avg:977.71ms
step:16/1500 train_time:15630ms step_avg:976.86ms
step:17/1500 train_time:16627ms step_avg:978.09ms
step:18/1500 train_time:17591ms step_avg:977.29ms
step:19/1500 train_time:18589ms step_avg:978.34ms
step:20/1500 train_time:19551ms step_avg:977.54ms
step:21/1500 train_time:20548ms step_avg:978.49ms
step:22/1500 train_time:21512ms step_avg:977.82ms
step:23/1500 train_time:22510ms step_avg:978.69ms
step:24/1500 train_time:23474ms step_avg:978.07ms
step:25/1500 train_time:24471ms step_avg:978.82ms
step:26/1500 train_time:25434ms step_avg:978.23ms
step:27/1500 train_time:26432ms step_avg:978.95ms
step:28/1500 train_time:27395ms step_avg:978.41ms
step:29/1500 train_time:28392ms step_avg:979.04ms
step:30/1500 train_time:29357ms step_avg:978.57ms
step:31/1500 train_time:30355ms step_avg:979.21ms
step:32/1500 train_time:31320ms step_avg:978.74ms
step:33/1500 train_time:32317ms step_avg:979.30ms
step:34/1500 train_time:33281ms step_avg:978.85ms
step:35/1500 train_time:34278ms step_avg:979.38ms
step:36/1500 train_time:35242ms step_avg:978.95ms
step:37/1500 train_time:36241ms step_avg:979.48ms
step:38/1500 train_time:37204ms step_avg:979.05ms
step:39/1500 train_time:38201ms step_avg:979.51ms
step:40/1500 train_time:39165ms step_avg:979.14ms
step:41/1500 train_time:40163ms step_avg:979.57ms
step:42/1500 train_time:41132ms step_avg:979.33ms
step:43/1500 train_time:42127ms step_avg:979.71ms
step:44/1500 train_time:43089ms step_avg:979.29ms
step:45/1500 train_time:44087ms step_avg:979.71ms
step:46/1500 train_time:45050ms step_avg:979.34ms
step:47/1500 train_time:46047ms step_avg:979.72ms
step:48/1500 train_time:47011ms step_avg:979.40ms
step:49/1500 train_time:48009ms step_avg:979.78ms
step:50/1500 train_time:48973ms step_avg:979.47ms
step:51/1500 train_time:49970ms step_avg:979.80ms
step:52/1500 train_time:50934ms step_avg:979.49ms
step:53/1500 train_time:51931ms step_avg:979.83ms
step:54/1500 train_time:52895ms step_avg:979.54ms
step:55/1500 train_time:53892ms step_avg:979.86ms
step:56/1500 train_time:54855ms step_avg:979.56ms
step:57/1500 train_time:55851ms step_avg:979.84ms
step:58/1500 train_time:56815ms step_avg:979.57ms
step:59/1500 train_time:57811ms step_avg:979.86ms
step:60/1500 train_time:58775ms step_avg:979.59ms
step:61/1500 train_time:59772ms step_avg:979.88ms
step:62/1500 train_time:60737ms step_avg:979.62ms
step:63/1500 train_time:61734ms step_avg:979.90ms
step:64/1500 train_time:62697ms step_avg:979.64ms
step:65/1500 train_time:63694ms step_avg:979.91ms
step:66/1500 train_time:64657ms step_avg:979.66ms
step:67/1500 train_time:65654ms step_avg:979.91ms
step:68/1500 train_time:66618ms step_avg:979.67ms
step:69/1500 train_time:67617ms step_avg:979.95ms
step:70/1500 train_time:68582ms step_avg:979.74ms
step:71/1500 train_time:69578ms step_avg:979.98ms
step:72/1500 train_time:70542ms step_avg:979.75ms
step:73/1500 train_time:71539ms step_avg:979.99ms
step:74/1500 train_time:72503ms step_avg:979.77ms
step:75/1500 train_time:73500ms step_avg:980.00ms
step:76/1500 train_time:74463ms step_avg:979.78ms
step:77/1500 train_time:75460ms step_avg:980.00ms
step:78/1500 train_time:76424ms step_avg:979.80ms
step:79/1500 train_time:77421ms step_avg:980.01ms
step:80/1500 train_time:78385ms step_avg:979.81ms
step:81/1500 train_time:79382ms step_avg:980.03ms
step:82/1500 train_time:80345ms step_avg:979.82ms
step:83/1500 train_time:81343ms step_avg:980.04ms
step:84/1500 train_time:82306ms step_avg:979.84ms
step:85/1500 train_time:83303ms step_avg:980.04ms
step:86/1500 train_time:84266ms step_avg:979.84ms
step:87/1500 train_time:85264ms step_avg:980.04ms
step:88/1500 train_time:86228ms step_avg:979.87ms
step:89/1500 train_time:87225ms step_avg:980.05ms
step:90/1500 train_time:88189ms step_avg:979.88ms
step:91/1500 train_time:89186ms step_avg:980.07ms
step:92/1500 train_time:90149ms step_avg:979.88ms
step:93/1500 train_time:91146ms step_avg:980.06ms
step:94/1500 train_time:92109ms step_avg:979.89ms
step:95/1500 train_time:93106ms step_avg:980.06ms
step:96/1500 train_time:94070ms step_avg:979.90ms
step:97/1500 train_time:95067ms step_avg:980.07ms
step:98/1500 train_time:96031ms step_avg:979.91ms
step:99/1500 train_time:97028ms step_avg:980.08ms
step:100/1500 train_time:97991ms step_avg:979.91ms
step:101/1500 train_time:98988ms step_avg:980.08ms
step:102/1500 train_time:99952ms step_avg:979.92ms
step:103/1500 train_time:100950ms step_avg:980.09ms
step:104/1500 train_time:101914ms step_avg:979.94ms
step:105/1500 train_time:102913ms step_avg:980.12ms
step:106/1500 train_time:103876ms step_avg:979.96ms
step:107/1500 train_time:104872ms step_avg:980.11ms
step:108/1500 train_time:105836ms step_avg:979.96ms
step:109/1500 train_time:106832ms step_avg:980.11ms
step:110/1500 train_time:107796ms step_avg:979.96ms
step:111/1500 train_time:108793ms step_avg:980.12ms
step:112/1500 train_time:109756ms step_avg:979.97ms
step:113/1500 train_time:110753ms step_avg:980.11ms
step:114/1500 train_time:111717ms step_avg:979.97ms
step:115/1500 train_time:112714ms step_avg:980.12ms
step:116/1500 train_time:113678ms step_avg:979.98ms
step:117/1500 train_time:114674ms step_avg:980.12ms
step:118/1500 train_time:115638ms step_avg:979.98ms
step:119/1500 train_time:116635ms step_avg:980.13ms
step:120/1500 train_time:117599ms step_avg:979.99ms
step:121/1500 train_time:118595ms step_avg:980.13ms
step:122/1500 train_time:119561ms step_avg:980.01ms
step:123/1500 train_time:120559ms step_avg:980.15ms
step:124/1500 train_time:121522ms step_avg:980.01ms
step:125/1500 train_time:122520ms step_avg:980.16ms
step:126/1500 train_time:123484ms step_avg:980.03ms
step:127/1500 train_time:124480ms step_avg:980.16ms
step:128/1500 train_time:125445ms step_avg:980.04ms
step:129/1500 train_time:126441ms step_avg:980.17ms
step:130/1500 train_time:127405ms step_avg:980.04ms
step:131/1500 train_time:128402ms step_avg:980.17ms
step:132/1500 train_time:129367ms step_avg:980.05ms
step:133/1500 train_time:130363ms step_avg:980.17ms
step:134/1500 train_time:131327ms step_avg:980.05ms
step:135/1500 train_time:132324ms step_avg:980.18ms
step:136/1500 train_time:133289ms step_avg:980.07ms
step:137/1500 train_time:134286ms step_avg:980.19ms
step:138/1500 train_time:135250ms step_avg:980.07ms
step:139/1500 train_time:136247ms step_avg:980.19ms
step:140/1500 train_time:137210ms step_avg:980.07ms
step:141/1500 train_time:138207ms step_avg:980.19ms
step:142/1500 train_time:139170ms step_avg:980.07ms
step:143/1500 train_time:140168ms step_avg:980.19ms
step:144/1500 train_time:141132ms step_avg:980.08ms
step:145/1500 train_time:142130ms step_avg:980.21ms
step:146/1500 train_time:143094ms step_avg:980.10ms
step:147/1500 train_time:144091ms step_avg:980.21ms
step:148/1500 train_time:145054ms step_avg:980.09ms
step:149/1500 train_time:146051ms step_avg:980.20ms
step:150/1500 train_time:147015ms step_avg:980.10ms
step:151/1500 train_time:148012ms step_avg:980.21ms
step:152/1500 train_time:148976ms step_avg:980.10ms
step:153/1500 train_time:149973ms step_avg:980.21ms
step:154/1500 train_time:150935ms step_avg:980.10ms
step:155/1500 train_time:151932ms step_avg:980.21ms
step:156/1500 train_time:152896ms step_avg:980.10ms
step:157/1500 train_time:153893ms step_avg:980.21ms
step:158/1500 train_time:154857ms step_avg:980.11ms
step:159/1500 train_time:155854ms step_avg:980.21ms
step:160/1500 train_time:156818ms step_avg:980.11ms
step:161/1500 train_time:157815ms step_avg:980.21ms
step:162/1500 train_time:158777ms step_avg:980.11ms
step:163/1500 train_time:159776ms step_avg:980.22ms
step:164/1500 train_time:160740ms step_avg:980.12ms
step:165/1500 train_time:161737ms step_avg:980.22ms
step:166/1500 train_time:162700ms step_avg:980.12ms
step:167/1500 train_time:163696ms step_avg:980.21ms
step:168/1500 train_time:164660ms step_avg:980.12ms
step:169/1500 train_time:165658ms step_avg:980.22ms
step:170/1500 train_time:166620ms step_avg:980.12ms
step:171/1500 train_time:167617ms step_avg:980.22ms
step:172/1500 train_time:168581ms step_avg:980.12ms
step:173/1500 train_time:169577ms step_avg:980.21ms
step:174/1500 train_time:170540ms step_avg:980.12ms
step:175/1500 train_time:171537ms step_avg:980.21ms
step:176/1500 train_time:172501ms step_avg:980.12ms
step:177/1500 train_time:173498ms step_avg:980.21ms
step:178/1500 train_time:174461ms step_avg:980.12ms
step:179/1500 train_time:175458ms step_avg:980.21ms
step:180/1500 train_time:176421ms step_avg:980.12ms
step:181/1500 train_time:177418ms step_avg:980.21ms
step:182/1500 train_time:178381ms step_avg:980.12ms
step:183/1500 train_time:179378ms step_avg:980.21ms
step:184/1500 train_time:180342ms step_avg:980.12ms
step:185/1500 train_time:181340ms step_avg:980.21ms
step:186/1500 train_time:182302ms step_avg:980.12ms
step:187/1500 train_time:183300ms step_avg:980.21ms
step:188/1500 train_time:184264ms step_avg:980.13ms
step:189/1500 train_time:185260ms step_avg:980.21ms
step:190/1500 train_time:186224ms step_avg:980.12ms
step:191/1500 train_time:187220ms step_avg:980.21ms
step:192/1500 train_time:188184ms step_avg:980.13ms
step:193/1500 train_time:189183ms step_avg:980.22ms
step:194/1500 train_time:190146ms step_avg:980.14ms
step:195/1500 train_time:191144ms step_avg:980.22ms
step:196/1500 train_time:192108ms step_avg:980.14ms
step:197/1500 train_time:193105ms step_avg:980.23ms
step:198/1500 train_time:194069ms step_avg:980.14ms
step:199/1500 train_time:195065ms step_avg:980.23ms
step:200/1500 train_time:196030ms step_avg:980.15ms
step:201/1500 train_time:197027ms step_avg:980.23ms
step:202/1500 train_time:197990ms step_avg:980.15ms
step:203/1500 train_time:198987ms step_avg:980.23ms
step:204/1500 train_time:199951ms step_avg:980.15ms
step:205/1500 train_time:200947ms step_avg:980.23ms
step:206/1500 train_time:201911ms step_avg:980.15ms
step:207/1500 train_time:202907ms step_avg:980.23ms
step:208/1500 train_time:203872ms step_avg:980.15ms
step:209/1500 train_time:204872ms step_avg:980.25ms
step:210/1500 train_time:205831ms step_avg:980.15ms
step:211/1500 train_time:206829ms step_avg:980.23ms
step:212/1500 train_time:207792ms step_avg:980.15ms
step:213/1500 train_time:208788ms step_avg:980.23ms
step:214/1500 train_time:209751ms step_avg:980.15ms
step:215/1500 train_time:210748ms step_avg:980.22ms
step:216/1500 train_time:211712ms step_avg:980.15ms
step:217/1500 train_time:212709ms step_avg:980.22ms
step:218/1500 train_time:213673ms step_avg:980.15ms
step:219/1500 train_time:214671ms step_avg:980.23ms
step:220/1500 train_time:215634ms step_avg:980.16ms
step:221/1500 train_time:216631ms step_avg:980.23ms
step:222/1500 train_time:217595ms step_avg:980.16ms
step:223/1500 train_time:218592ms step_avg:980.23ms
step:224/1500 train_time:219556ms step_avg:980.16ms
step:225/1500 train_time:220552ms step_avg:980.23ms
step:226/1500 train_time:221516ms step_avg:980.16ms
step:227/1500 train_time:222516ms step_avg:980.25ms
step:228/1500 train_time:223477ms step_avg:980.16ms
step:229/1500 train_time:224472ms step_avg:980.23ms
step:230/1500 train_time:225436ms step_avg:980.16ms
step:231/1500 train_time:226433ms step_avg:980.23ms
step:232/1500 train_time:227397ms step_avg:980.16ms
step:233/1500 train_time:228394ms step_avg:980.23ms
step:234/1500 train_time:229357ms step_avg:980.16ms
step:235/1500 train_time:230352ms step_avg:980.22ms
step:236/1500 train_time:231315ms step_avg:980.15ms
step:237/1500 train_time:232313ms step_avg:980.22ms
step:238/1500 train_time:233275ms step_avg:980.15ms
step:239/1500 train_time:234272ms step_avg:980.22ms
step:240/1500 train_time:235236ms step_avg:980.15ms
step:241/1500 train_time:236233ms step_avg:980.22ms
step:242/1500 train_time:237198ms step_avg:980.16ms
step:243/1500 train_time:238193ms step_avg:980.22ms
step:244/1500 train_time:239157ms step_avg:980.15ms
step:245/1500 train_time:240154ms step_avg:980.22ms
step:246/1500 train_time:241117ms step_avg:980.15ms
step:247/1500 train_time:242113ms step_avg:980.22ms
step:248/1500 train_time:243076ms step_avg:980.14ms
step:249/1500 train_time:244072ms step_avg:980.21ms
step:250/1500 train_time:245036ms step_avg:980.14ms
step:250/1500 val_loss:8.5765 train_time:245124ms step_avg:980.50ms
step:251/1500 train_time:246036ms step_avg:980.22ms
step:252/1500 train_time:246999ms step_avg:980.15ms
step:253/1500 train_time:247996ms step_avg:980.22ms
step:254/1500 train_time:248959ms step_avg:980.15ms
step:255/1500 train_time:249955ms step_avg:980.22ms
step:256/1500 train_time:250919ms step_avg:980.15ms
step:257/1500 train_time:251916ms step_avg:980.22ms
step:258/1500 train_time:252879ms step_avg:980.15ms
step:259/1500 train_time:253876ms step_avg:980.22ms
step:260/1500 train_time:254840ms step_avg:980.16ms
