head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
12,3,4,1681587,25224407,47,0.87278205,75.62253571, DON’
15,3,7,1681283,31110038,47,0.88410681,69.37681580, DON’
11,3,3,385034,21965897,72,0.85602003,68.32289886, U.S
12,3,4,385016,23927836,72,0.90521592,68.14732361, U.S
8,3,0,385154,16080238,72,0.86482972,67.23661804, U.S
13,3,5,1316877,26821660,101,0.87769741,65.30093384, ”
8,3,0,1681955,17377039,47,0.87235266,65.01613617, DON’
9,3,1,385118,18042119,72,0.89734048,64.43406677, U.S
14,3,6,384938,27851704,72,0.88494921,64.41860199, U.S
9,3,1,1681859,19338860,47,0.81949192,64.06651306, DON’
10,3,2,1681827,21300757,47,0.85488504,61.76264954, DON’
14,3,6,984559,28451325,49,0.78832018,61.19464874,-year-
11,3,3,984815,22565678,46,0.82050854,61.02551651,-year-
14,3,6,1408799,28875565,65,0.90844232,60.98687363,I’
15,3,7,817313,30246068,68,0.86326087,60.76384354, One of the
10,3,2,1317377,20936307,101,0.86956555,60.75520706, ”
11,3,3,1317137,22898000,101,0.85663003,60.01210403, ”
0,2,0,438109,438109,164,0.85526687,59.92594910,\n|
9,3,1,1409339,19066340,65,0.85283405,59.90045929,I’
9,3,1,818393,18475394,68,0.85092133,59.89800644, One of the
10,3,2,385106,20004036,72,0.83226180,59.85330582, U.S
13,3,5,984607,26489390,46,0.85431755,59.32966232,-year-
8,3,0,985135,16680219,46,0.83170813,58.99971771,-year-
15,3,7,384902,29813657,73,0.80330843,58.94546127, U.S
11,3,3,817973,22398836,68,0.85916090,58.59900665, One of the
13,3,5,384956,25889739,72,0.80858505,58.40830612, U.S
6,2,6,438063,12209335,164,0.85798907,58.17424011,\n|
8,3,0,1733491,17428575,59,0.83985096,58.01575089, as well as
14,3,6,1681379,29148145,47,0.86251879,57.70425034, DON’
8,3,0,1317537,17012621,101,0.84297907,57.56957626, ”
8,3,0,818573,16513657,68,0.81589854,57.44150543, One of the
12,3,4,619324,24162144,81,0.80862212,57.15475464,|\n|
3,2,3,749067,6634660,432,0.79429501,56.98746872,\n-
10,3,2,818333,20437263,68,0.81315053,56.95682907, One of the
13,3,5,1786530,27291313,46,0.83455342,56.93983459, you do not
10,3,2,1790852,21409782,49,0.83988386,56.44177628,year-old
12,3,4,1012652,24555472,66,0.85079384,56.27196121,.S.
11,3,3,1409087,22989950,65,0.89126539,55.86699677,I’
12,3,4,984767,24527587,46,0.84958333,55.76592636,-year-
13,3,5,1016294,26521077,49,0.86907345,55.26990128, (Feb.
