[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_canon_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_110146.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_canon_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_110146 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=0 engram_canonicalize=1 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9398 train_time:0ms step_avg:0.04ms
step:1/500 train_time:563ms step_avg:563.13ms
step:2/500 train_time:1152ms step_avg:575.76ms
step:3/500 train_time:1746ms step_avg:581.93ms
step:4/500 train_time:2334ms step_avg:583.50ms
step:5/500 train_time:2928ms step_avg:585.60ms
step:6/500 train_time:3516ms step_avg:586.06ms
step:7/500 train_time:4111ms step_avg:587.28ms
step:8/500 train_time:4699ms step_avg:587.41ms
step:9/500 train_time:5294ms step_avg:588.17ms
step:10/500 train_time:5886ms step_avg:588.63ms
step:11/500 train_time:6478ms step_avg:588.86ms
step:12/500 train_time:7067ms step_avg:588.88ms
step:13/500 train_time:7661ms step_avg:589.32ms
step:14/500 train_time:8250ms step_avg:589.29ms
step:15/500 train_time:8845ms step_avg:589.64ms
step:16/500 train_time:9434ms step_avg:589.61ms
step:17/500 train_time:10028ms step_avg:589.90ms
step:18/500 train_time:10617ms step_avg:589.83ms
step:19/500 train_time:11211ms step_avg:590.08ms
step:20/500 train_time:11800ms step_avg:590.01ms
step:21/500 train_time:12395ms step_avg:590.23ms
step:22/500 train_time:12984ms step_avg:590.18ms
step:23/500 train_time:13578ms step_avg:590.35ms
step:24/500 train_time:14167ms step_avg:590.29ms
step:25/500 train_time:14762ms step_avg:590.46ms
step:26/500 train_time:15350ms step_avg:590.39ms
step:27/500 train_time:15945ms step_avg:590.55ms
step:28/500 train_time:16534ms step_avg:590.51ms
step:29/500 train_time:17128ms step_avg:590.63ms
step:30/500 train_time:17718ms step_avg:590.59ms
step:31/500 train_time:18312ms step_avg:590.70ms
step:32/500 train_time:18901ms step_avg:590.67ms
step:33/500 train_time:19496ms step_avg:590.79ms
step:34/500 train_time:20086ms step_avg:590.75ms
step:35/500 train_time:20680ms step_avg:590.86ms
step:36/500 train_time:21269ms step_avg:590.81ms
step:37/500 train_time:21863ms step_avg:590.89ms
step:38/500 train_time:22452ms step_avg:590.84ms
step:39/500 train_time:23047ms step_avg:590.94ms
step:40/500 train_time:23635ms step_avg:590.88ms
step:41/500 train_time:24230ms step_avg:590.97ms
step:42/500 train_time:24819ms step_avg:590.93ms
step:43/500 train_time:25413ms step_avg:591.01ms
step:44/500 train_time:26003ms step_avg:590.97ms
step:45/500 train_time:26596ms step_avg:591.03ms
step:46/500 train_time:27185ms step_avg:590.98ms
step:47/500 train_time:27780ms step_avg:591.05ms
step:48/500 train_time:28369ms step_avg:591.02ms
step:49/500 train_time:28963ms step_avg:591.07ms
step:50/500 train_time:29551ms step_avg:591.02ms
step:51/500 train_time:30145ms step_avg:591.08ms
step:52/500 train_time:30734ms step_avg:591.04ms
step:53/500 train_time:31328ms step_avg:591.10ms
step:54/500 train_time:31916ms step_avg:591.04ms
step:55/500 train_time:32511ms step_avg:591.10ms
step:56/500 train_time:33099ms step_avg:591.06ms
step:57/500 train_time:33693ms step_avg:591.11ms
step:58/500 train_time:34282ms step_avg:591.07ms
step:59/500 train_time:34877ms step_avg:591.13ms
step:60/500 train_time:35465ms step_avg:591.09ms
step:61/500 train_time:36060ms step_avg:591.15ms
step:62/500 train_time:36648ms step_avg:591.10ms
step:63/500 train_time:37243ms step_avg:591.15ms
step:64/500 train_time:37831ms step_avg:591.11ms
step:65/500 train_time:38426ms step_avg:591.17ms
step:66/500 train_time:39014ms step_avg:591.13ms
step:67/500 train_time:39609ms step_avg:591.18ms
step:68/500 train_time:40197ms step_avg:591.14ms
step:69/500 train_time:40792ms step_avg:591.18ms
step:70/500 train_time:41381ms step_avg:591.15ms
step:71/500 train_time:41975ms step_avg:591.19ms
step:72/500 train_time:42563ms step_avg:591.16ms
step:73/500 train_time:43157ms step_avg:591.20ms
step:74/500 train_time:43747ms step_avg:591.18ms
step:75/500 train_time:44340ms step_avg:591.21ms
step:76/500 train_time:44930ms step_avg:591.18ms
step:77/500 train_time:45524ms step_avg:591.22ms
step:78/500 train_time:46113ms step_avg:591.19ms
step:79/500 train_time:46707ms step_avg:591.23ms
step:80/500 train_time:47296ms step_avg:591.19ms
step:81/500 train_time:47890ms step_avg:591.23ms
step:82/500 train_time:48478ms step_avg:591.20ms
step:83/500 train_time:49073ms step_avg:591.24ms
step:84/500 train_time:49661ms step_avg:591.20ms
step:85/500 train_time:50255ms step_avg:591.23ms
step:86/500 train_time:50844ms step_avg:591.20ms
step:87/500 train_time:51438ms step_avg:591.24ms
step:88/500 train_time:52026ms step_avg:591.20ms
step:89/500 train_time:52620ms step_avg:591.24ms
step:90/500 train_time:53208ms step_avg:591.20ms
step:91/500 train_time:53803ms step_avg:591.24ms
step:92/500 train_time:54391ms step_avg:591.21ms
step:93/500 train_time:54985ms step_avg:591.24ms
step:94/500 train_time:55573ms step_avg:591.20ms
step:95/500 train_time:56168ms step_avg:591.24ms
step:96/500 train_time:56756ms step_avg:591.21ms
step:97/500 train_time:57351ms step_avg:591.24ms
step:98/500 train_time:57939ms step_avg:591.21ms
step:99/500 train_time:58533ms step_avg:591.24ms
step:100/500 train_time:59121ms step_avg:591.21ms
step:101/500 train_time:59716ms step_avg:591.24ms
step:102/500 train_time:60304ms step_avg:591.22ms
step:103/500 train_time:60898ms step_avg:591.24ms
step:104/500 train_time:61487ms step_avg:591.22ms
step:105/500 train_time:62081ms step_avg:591.24ms
step:106/500 train_time:62669ms step_avg:591.22ms
step:107/500 train_time:63263ms step_avg:591.24ms
step:108/500 train_time:63852ms step_avg:591.22ms
step:109/500 train_time:64447ms step_avg:591.26ms
step:110/500 train_time:65035ms step_avg:591.23ms
step:111/500 train_time:65629ms step_avg:591.26ms
step:112/500 train_time:66219ms step_avg:591.24ms
step:113/500 train_time:66813ms step_avg:591.27ms
step:114/500 train_time:67402ms step_avg:591.25ms
step:115/500 train_time:67995ms step_avg:591.26ms
step:116/500 train_time:68584ms step_avg:591.24ms
step:117/500 train_time:69178ms step_avg:591.26ms
step:118/500 train_time:69767ms step_avg:591.24ms
step:119/500 train_time:70360ms step_avg:591.26ms
step:120/500 train_time:70949ms step_avg:591.24ms
step:121/500 train_time:71543ms step_avg:591.27ms
step:122/500 train_time:72132ms step_avg:591.24ms
step:123/500 train_time:72726ms step_avg:591.27ms
step:124/500 train_time:73314ms step_avg:591.25ms
step:125/500 train_time:73909ms step_avg:591.27ms
step:126/500 train_time:74497ms step_avg:591.25ms
step:127/500 train_time:75091ms step_avg:591.27ms
step:128/500 train_time:75680ms step_avg:591.25ms
step:129/500 train_time:76274ms step_avg:591.27ms
step:130/500 train_time:76862ms step_avg:591.25ms
step:131/500 train_time:77456ms step_avg:591.27ms
step:132/500 train_time:78045ms step_avg:591.25ms
step:133/500 train_time:78639ms step_avg:591.27ms
step:134/500 train_time:79229ms step_avg:591.26ms
step:135/500 train_time:79822ms step_avg:591.27ms
step:136/500 train_time:80410ms step_avg:591.25ms
step:137/500 train_time:81004ms step_avg:591.27ms
step:138/500 train_time:81592ms step_avg:591.25ms
step:139/500 train_time:82187ms step_avg:591.27ms
step:140/500 train_time:82775ms step_avg:591.25ms
step:141/500 train_time:83369ms step_avg:591.27ms
step:142/500 train_time:83959ms step_avg:591.26ms
step:143/500 train_time:84553ms step_avg:591.28ms
step:144/500 train_time:85143ms step_avg:591.27ms
step:145/500 train_time:85736ms step_avg:591.28ms
step:146/500 train_time:86325ms step_avg:591.27ms
step:147/500 train_time:86918ms step_avg:591.28ms
step:148/500 train_time:87507ms step_avg:591.27ms
step:149/500 train_time:88101ms step_avg:591.28ms
step:150/500 train_time:88689ms step_avg:591.26ms
step:151/500 train_time:89284ms step_avg:591.28ms
step:152/500 train_time:89872ms step_avg:591.26ms
step:153/500 train_time:90466ms step_avg:591.28ms
step:154/500 train_time:91055ms step_avg:591.26ms
step:155/500 train_time:91649ms step_avg:591.28ms
step:156/500 train_time:92237ms step_avg:591.27ms
step:157/500 train_time:92831ms step_avg:591.28ms
step:158/500 train_time:93419ms step_avg:591.26ms
step:159/500 train_time:94013ms step_avg:591.28ms
step:160/500 train_time:94602ms step_avg:591.26ms
step:161/500 train_time:95196ms step_avg:591.28ms
step:162/500 train_time:95784ms step_avg:591.26ms
step:163/500 train_time:96379ms step_avg:591.28ms
step:164/500 train_time:96967ms step_avg:591.26ms
step:165/500 train_time:97561ms step_avg:591.28ms
step:166/500 train_time:98149ms step_avg:591.26ms
step:167/500 train_time:98743ms step_avg:591.28ms
step:168/500 train_time:99942ms step_avg:594.89ms
step:169/500 train_time:101172ms step_avg:598.65ms
step:170/500 train_time:102396ms step_avg:602.33ms
step:171/500 train_time:103626ms step_avg:606.00ms
step:172/500 train_time:104849ms step_avg:609.59ms
step:173/500 train_time:106079ms step_avg:613.17ms
step:174/500 train_time:107304ms step_avg:616.69ms
step:175/500 train_time:108533ms step_avg:620.19ms
step:176/500 train_time:109756ms step_avg:623.61ms
step:177/500 train_time:110986ms step_avg:627.04ms
step:178/500 train_time:112211ms step_avg:630.40ms
step:179/500 train_time:113439ms step_avg:633.74ms
step:180/500 train_time:114664ms step_avg:637.02ms
step:181/500 train_time:115894ms step_avg:640.30ms
step:182/500 train_time:117117ms step_avg:643.50ms
step:183/500 train_time:118346ms step_avg:646.70ms
step:184/500 train_time:119570ms step_avg:649.84ms
step:185/500 train_time:120800ms step_avg:652.97ms
step:186/500 train_time:122023ms step_avg:656.04ms
step:187/500 train_time:123253ms step_avg:659.11ms
step:188/500 train_time:124478ms step_avg:662.12ms
step:189/500 train_time:125707ms step_avg:665.12ms
step:190/500 train_time:126930ms step_avg:668.05ms
step:191/500 train_time:128161ms step_avg:671.00ms
step:192/500 train_time:129384ms step_avg:673.87ms
step:193/500 train_time:130613ms step_avg:676.75ms
step:194/500 train_time:131837ms step_avg:679.57ms
step:195/500 train_time:133066ms step_avg:682.39ms
step:196/500 train_time:134290ms step_avg:685.15ms
step:197/500 train_time:135520ms step_avg:687.92ms
