head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
11,3,3,64757,2832130,81,0.94371337,277.46420288,|\n|
12,3,4,64657,3083683,81,0.94371337,277.46420288,|\n|
14,3,6,64277,3586643,81,0.94371337,277.46420288,|\n|
15,3,7,64217,3838284,81,0.94371337,277.46420288,|\n|
8,3,0,156946,2169436,134,0.94602960,276.58978271,.\n-
9,3,1,156910,2421021,134,0.94602960,276.58978271,.\n-
13,3,5,155938,3426627,134,0.94602960,276.58978271,.\n-
15,3,7,155398,3929465,134,0.94602960,276.58978271,.\n-
11,3,3,156370,2923743,136,0.94599634,275.82376099,.\n-
12,3,4,156190,3175216,136,0.94562352,274.74075317,.\n-
13,3,5,64517,3335206,82,0.93619019,274.52600098,|\n|
10,3,2,64897,2580631,82,0.93305272,274.22326660,|\n|
10,3,2,156622,2672356,137,0.94182122,272.67495728,.\n-
14,3,6,155506,3677872,137,0.93886161,272.54708862,.\n-
8,3,0,65077,2077567,84,0.92697418,269.31280518,|\n|
8,3,0,196018,2208508,120,0.93516737,267.18792725,.\n"
9,3,1,195976,2460087,120,0.93516737,267.18792725,.\n"
10,3,2,195640,2711374,120,0.93516737,267.18792725,.\n"
13,3,5,194842,3465531,120,0.93516737,267.18792725,.\n"
15,3,7,194212,3968279,120,0.93516737,267.18792725,.\n"
11,3,3,195346,2962719,121,0.93401438,265.67349243,.\n"
14,3,6,194338,3716704,121,0.92846531,265.14804077,.\n"
0,2,0,145355,145355,432,0.94610012,262.84378052,\n-
1,2,1,145247,396774,432,0.94610012,262.84378052,\n-
2,2,2,145139,648199,432,0.94610012,262.84378052,\n-
4,2,4,144743,1150885,432,0.94610012,262.84378052,\n-
6,2,6,143879,1653149,432,0.94610012,262.84378052,\n-
7,2,7,143843,1904722,432,0.94610012,262.84378052,\n-
3,2,3,145067,899666,433,0.94580603,262.57373047,\n-
12,3,4,195136,3214162,123,0.92480069,262.36456299,.\n"
5,2,5,144635,1402338,434,0.94374877,261.84896851,\n-
0,2,0,136223,136223,164,0.94880855,260.65695190,\n|
3,2,3,136079,890678,164,0.94880855,260.65695190,\n|
6,2,6,135485,1644755,164,0.94880855,260.65695190,\n|
7,2,7,135467,1896346,164,0.94880855,260.65695190,\n|
9,3,1,65057,2329168,89,0.89350933,260.23184204,|\n|
4,2,4,135917,1142059,165,0.94398564,259.18545532,\n|
1,2,1,136169,387696,168,0.94677383,258.35220337,\n|
2,2,2,136115,639175,166,0.94381905,258.19177246,\n|
5,2,5,135863,1393566,167,0.94627243,257.69607544,\n|
