head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
13,3,5,125393,3396082,81,0.89250118,429.97479248,|\n|
14,3,6,125321,3647687,81,0.89250118,429.97479248,|\n|
15,3,7,125303,3899370,81,0.89250118,429.97479248,|\n|
8,3,0,125561,2138051,82,0.88436604,425.31396484,|\n|
10,3,2,125507,2641241,83,0.88605869,423.77871704,|\n|
12,3,4,110002,3129028,46,0.91404366,422.34512329,-year-
13,3,5,109092,3379781,46,0.91404366,422.34512329,-year-
11,3,3,125465,2892838,83,0.87395799,420.46795654,|\n|
12,3,4,125435,3144461,84,0.88370049,420.27441406,|\n|
10,3,2,111562,2627296,47,0.90095985,415.24176025,-year-
9,3,1,112602,2376713,48,0.90309876,412.60299683,-year-
9,3,1,125555,2389666,86,0.87235785,412.25155640,|\n|
8,3,0,112732,2125222,48,0.89522576,410.12002563,-year-
10,3,2,228746,2744480,70,0.93374920,409.29574585,.\n�
11,3,3,228522,2995895,70,0.93374920,409.29574585,.\n�
11,3,3,110652,2878025,48,0.89507908,408.79153442,-year-
12,3,4,228362,3247388,71,0.93307132,406.95111084,.\n�
9,3,1,229002,2493113,71,0.93292063,406.44995117,.\n�
14,3,6,227754,3750120,71,0.93377161,406.38800049,.\n�
14,3,6,107532,3629898,48,0.88157779,406.23153687,-year-
15,3,7,107142,3881209,48,0.87993139,405.72329712,-year-
13,3,5,228138,3498827,71,0.92452788,404.37625122,.\n�
15,3,7,227658,4001725,71,0.92214286,403.88751221,.\n�
8,3,0,229034,2241524,72,0.92969131,403.56921387,.\n�
9,3,1,82567,2346678,69,0.96585745,400.63418579, U.S
13,3,5,82297,3352986,69,0.96585745,400.63418579, U.S
14,3,6,82177,3604543,69,0.96585745,400.63418579, U.S
0,2,0,236335,236335,164,0.88784188,398.41967773,\n|
1,2,1,236323,487850,164,0.88784188,398.41967773,\n|
3,2,3,236303,990902,164,0.88784188,398.41967773,\n|
4,2,4,236267,1242409,164,0.88784188,398.41967773,\n|
6,2,6,236171,1745441,164,0.88784188,398.41967773,\n|
7,2,7,236167,1997046,164,0.88784188,398.41967773,\n|
8,3,0,82577,2095067,70,0.96331561,397.57736206, U.S
10,3,2,82487,2598221,70,0.95997709,396.87322998, U.S
5,2,5,236255,1493958,165,0.88317353,396.17504883,\n|
2,2,2,236311,739371,167,0.88832474,396.09158325,\n|
12,3,4,82367,3101393,70,0.95514536,395.59936523, U.S
11,3,3,82417,2849790,70,0.95421696,395.38085938, U.S
9,3,1,12258,2276369,57,0.87690735,391.88055420, as well as
