[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_005359.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_005359 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 498, 499, 500, 501, 998, 999, 1000, 1001, 1498, 1499, 1500] for warmup
Resetting Model
step:0/1500 val_loss:18.9386 train_time:0ms step_avg:0.03ms
step:1/1500 train_time:567ms step_avg:567.41ms
step:2/1500 train_time:1156ms step_avg:578.16ms
step:3/1500 train_time:1752ms step_avg:583.90ms
step:4/1500 train_time:2341ms step_avg:585.18ms
step:5/1500 train_time:2936ms step_avg:587.17ms
step:6/1500 train_time:3525ms step_avg:587.49ms
step:7/1500 train_time:4120ms step_avg:588.61ms
step:8/1500 train_time:4710ms step_avg:588.70ms
step:9/1500 train_time:5305ms step_avg:589.43ms
step:10/1500 train_time:5894ms step_avg:589.42ms
step:11/1500 train_time:6490ms step_avg:589.96ms
step:12/1500 train_time:7079ms step_avg:589.90ms
step:13/1500 train_time:7674ms step_avg:590.34ms
step:14/1500 train_time:8264ms step_avg:590.25ms
step:15/1500 train_time:8859ms step_avg:590.60ms
step:16/1500 train_time:9448ms step_avg:590.52ms
step:17/1500 train_time:10044ms step_avg:590.81ms
step:18/1500 train_time:10634ms step_avg:590.77ms
step:19/1500 train_time:11228ms step_avg:590.97ms
step:20/1500 train_time:11818ms step_avg:590.88ms
step:21/1500 train_time:12413ms step_avg:591.10ms
step:22/1500 train_time:13002ms step_avg:591.02ms
step:23/1500 train_time:13598ms step_avg:591.22ms
step:24/1500 train_time:14187ms step_avg:591.14ms
step:25/1500 train_time:14783ms step_avg:591.31ms
step:26/1500 train_time:15372ms step_avg:591.24ms
step:27/1500 train_time:15968ms step_avg:591.40ms
step:28/1500 train_time:16557ms step_avg:591.33ms
step:29/1500 train_time:17152ms step_avg:591.45ms
step:30/1500 train_time:17741ms step_avg:591.38ms
step:31/1500 train_time:18336ms step_avg:591.50ms
step:32/1500 train_time:18925ms step_avg:591.42ms
step:33/1500 train_time:19521ms step_avg:591.55ms
step:34/1500 train_time:20110ms step_avg:591.48ms
step:35/1500 train_time:20705ms step_avg:591.58ms
step:36/1500 train_time:21295ms step_avg:591.52ms
step:37/1500 train_time:21890ms step_avg:591.63ms
step:38/1500 train_time:22479ms step_avg:591.56ms
step:39/1500 train_time:23075ms step_avg:591.66ms
step:40/1500 train_time:23663ms step_avg:591.59ms
step:41/1500 train_time:24259ms step_avg:591.68ms
step:42/1500 train_time:24849ms step_avg:591.64ms
step:43/1500 train_time:25444ms step_avg:591.71ms
step:44/1500 train_time:26033ms step_avg:591.66ms
step:45/1500 train_time:26628ms step_avg:591.73ms
step:46/1500 train_time:27217ms step_avg:591.67ms
step:47/1500 train_time:27812ms step_avg:591.75ms
step:48/1500 train_time:28401ms step_avg:591.69ms
step:49/1500 train_time:28996ms step_avg:591.76ms
step:50/1500 train_time:29585ms step_avg:591.70ms
step:51/1500 train_time:30180ms step_avg:591.77ms
step:52/1500 train_time:30769ms step_avg:591.72ms
step:53/1500 train_time:31365ms step_avg:591.79ms
step:54/1500 train_time:31954ms step_avg:591.73ms
step:55/1500 train_time:32548ms step_avg:591.79ms
step:56/1500 train_time:33137ms step_avg:591.74ms
step:57/1500 train_time:33732ms step_avg:591.79ms
step:58/1500 train_time:34321ms step_avg:591.74ms
step:59/1500 train_time:34916ms step_avg:591.80ms
step:60/1500 train_time:35505ms step_avg:591.75ms
step:61/1500 train_time:36101ms step_avg:591.81ms
step:62/1500 train_time:36689ms step_avg:591.76ms
step:63/1500 train_time:37284ms step_avg:591.82ms
step:64/1500 train_time:37873ms step_avg:591.77ms
step:65/1500 train_time:38469ms step_avg:591.82ms
step:66/1500 train_time:39058ms step_avg:591.78ms
step:67/1500 train_time:39653ms step_avg:591.83ms
step:68/1500 train_time:40242ms step_avg:591.79ms
step:69/1500 train_time:40837ms step_avg:591.83ms
step:70/1500 train_time:41426ms step_avg:591.79ms
step:71/1500 train_time:42021ms step_avg:591.84ms
step:72/1500 train_time:42609ms step_avg:591.80ms
step:73/1500 train_time:43204ms step_avg:591.84ms
step:74/1500 train_time:43793ms step_avg:591.80ms
step:75/1500 train_time:44389ms step_avg:591.85ms
step:76/1500 train_time:44978ms step_avg:591.81ms
step:77/1500 train_time:45573ms step_avg:591.85ms
step:78/1500 train_time:46162ms step_avg:591.82ms
step:79/1500 train_time:46757ms step_avg:591.86ms
step:80/1500 train_time:47346ms step_avg:591.82ms
step:81/1500 train_time:47940ms step_avg:591.86ms
step:82/1500 train_time:48529ms step_avg:591.82ms
step:83/1500 train_time:49124ms step_avg:591.86ms
step:84/1500 train_time:49713ms step_avg:591.82ms
step:85/1500 train_time:50308ms step_avg:591.86ms
step:86/1500 train_time:50897ms step_avg:591.83ms
step:87/1500 train_time:51492ms step_avg:591.87ms
step:88/1500 train_time:52081ms step_avg:591.83ms
step:89/1500 train_time:52676ms step_avg:591.87ms
step:90/1500 train_time:53265ms step_avg:591.83ms
step:91/1500 train_time:53860ms step_avg:591.87ms
step:92/1500 train_time:54449ms step_avg:591.83ms
step:93/1500 train_time:55043ms step_avg:591.87ms
step:94/1500 train_time:55632ms step_avg:591.83ms
step:95/1500 train_time:56227ms step_avg:591.86ms
step:96/1500 train_time:56816ms step_avg:591.83ms
step:97/1500 train_time:57411ms step_avg:591.87ms
step:98/1500 train_time:58000ms step_avg:591.84ms
step:99/1500 train_time:58595ms step_avg:591.87ms
step:100/1500 train_time:59184ms step_avg:591.84ms
step:101/1500 train_time:59779ms step_avg:591.87ms
step:102/1500 train_time:60368ms step_avg:591.84ms
step:103/1500 train_time:60962ms step_avg:591.87ms
step:104/1500 train_time:61551ms step_avg:591.84ms
step:105/1500 train_time:62146ms step_avg:591.87ms
step:106/1500 train_time:62735ms step_avg:591.84ms
step:107/1500 train_time:63330ms step_avg:591.87ms
step:108/1500 train_time:63919ms step_avg:591.84ms
step:109/1500 train_time:64514ms step_avg:591.87ms
step:110/1500 train_time:65103ms step_avg:591.84ms
step:111/1500 train_time:65698ms step_avg:591.87ms
step:112/1500 train_time:66287ms step_avg:591.84ms
step:113/1500 train_time:66882ms step_avg:591.87ms
step:114/1500 train_time:67471ms step_avg:591.85ms
step:115/1500 train_time:68065ms step_avg:591.87ms
step:116/1500 train_time:68654ms step_avg:591.85ms
step:117/1500 train_time:69249ms step_avg:591.87ms
step:118/1500 train_time:69838ms step_avg:591.85ms
step:119/1500 train_time:70433ms step_avg:591.87ms
step:120/1500 train_time:71022ms step_avg:591.85ms
step:121/1500 train_time:71617ms step_avg:591.88ms
step:122/1500 train_time:72206ms step_avg:591.85ms
step:123/1500 train_time:72801ms step_avg:591.88ms
step:124/1500 train_time:73390ms step_avg:591.85ms
step:125/1500 train_time:73985ms step_avg:591.88ms
step:126/1500 train_time:74573ms step_avg:591.85ms
