[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim1536_h8_ng3_500_20260513_002833.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim1536_h8_ng3_500_20260513_002833 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9391 train_time:0ms step_avg:0.03ms
step:1/500 train_time:563ms step_avg:562.54ms
step:2/500 train_time:1151ms step_avg:575.34ms
step:3/500 train_time:1745ms step_avg:581.64ms
step:4/500 train_time:2333ms step_avg:583.27ms
step:5/500 train_time:2927ms step_avg:585.36ms
step:6/500 train_time:3515ms step_avg:585.85ms
step:7/500 train_time:4109ms step_avg:587.04ms
step:8/500 train_time:4697ms step_avg:587.17ms
step:9/500 train_time:5291ms step_avg:587.94ms
step:10/500 train_time:5880ms step_avg:587.98ms
step:11/500 train_time:6474ms step_avg:588.57ms
step:12/500 train_time:7063ms step_avg:588.55ms
step:13/500 train_time:7657ms step_avg:589.00ms
step:14/500 train_time:8245ms step_avg:588.96ms
step:15/500 train_time:8840ms step_avg:589.32ms
step:16/500 train_time:9428ms step_avg:589.27ms
step:17/500 train_time:10023ms step_avg:589.59ms
step:18/500 train_time:10611ms step_avg:589.52ms
step:19/500 train_time:11206ms step_avg:589.78ms
step:20/500 train_time:11794ms step_avg:589.71ms
step:21/500 train_time:12389ms step_avg:589.94ms
step:22/500 train_time:12977ms step_avg:589.87ms
step:23/500 train_time:13572ms step_avg:590.07ms
step:24/500 train_time:14160ms step_avg:590.00ms
step:25/500 train_time:14754ms step_avg:590.17ms
step:26/500 train_time:15343ms step_avg:590.10ms
step:27/500 train_time:15937ms step_avg:590.26ms
step:28/500 train_time:16525ms step_avg:590.20ms
step:29/500 train_time:17120ms step_avg:590.34ms
step:30/500 train_time:17708ms step_avg:590.28ms
step:31/500 train_time:18302ms step_avg:590.40ms
step:32/500 train_time:18891ms step_avg:590.34ms
step:33/500 train_time:19486ms step_avg:590.48ms
step:34/500 train_time:20074ms step_avg:590.42ms
step:35/500 train_time:20669ms step_avg:590.54ms
step:36/500 train_time:21257ms step_avg:590.48ms
step:37/500 train_time:21852ms step_avg:590.58ms
step:38/500 train_time:22440ms step_avg:590.53ms
step:39/500 train_time:23035ms step_avg:590.64ms
step:40/500 train_time:23623ms step_avg:590.58ms
step:41/500 train_time:24217ms step_avg:590.67ms
step:42/500 train_time:24806ms step_avg:590.62ms
step:43/500 train_time:25400ms step_avg:590.70ms
step:44/500 train_time:25988ms step_avg:590.65ms
step:45/500 train_time:26583ms step_avg:590.73ms
step:46/500 train_time:27171ms step_avg:590.68ms
step:47/500 train_time:27765ms step_avg:590.75ms
step:48/500 train_time:28354ms step_avg:590.70ms
step:49/500 train_time:28948ms step_avg:590.77ms
step:50/500 train_time:29536ms step_avg:590.72ms
step:51/500 train_time:30130ms step_avg:590.79ms
step:52/500 train_time:30719ms step_avg:590.75ms
step:53/500 train_time:31313ms step_avg:590.82ms
step:54/500 train_time:31902ms step_avg:590.77ms
step:55/500 train_time:32496ms step_avg:590.83ms
step:56/500 train_time:33084ms step_avg:590.79ms
step:57/500 train_time:33678ms step_avg:590.84ms
step:58/500 train_time:34266ms step_avg:590.80ms
step:59/500 train_time:34861ms step_avg:590.86ms
step:60/500 train_time:35449ms step_avg:590.82ms
step:61/500 train_time:36044ms step_avg:590.88ms
step:62/500 train_time:36632ms step_avg:590.84ms
step:63/500 train_time:37226ms step_avg:590.89ms
step:64/500 train_time:37815ms step_avg:590.86ms
step:65/500 train_time:38409ms step_avg:590.91ms
step:66/500 train_time:38997ms step_avg:590.87ms
step:67/500 train_time:39592ms step_avg:590.92ms
step:68/500 train_time:40180ms step_avg:590.88ms
step:69/500 train_time:40774ms step_avg:590.93ms
step:70/500 train_time:41363ms step_avg:590.90ms
step:71/500 train_time:41957ms step_avg:590.94ms
step:72/500 train_time:42545ms step_avg:590.90ms
step:73/500 train_time:43139ms step_avg:590.95ms
step:74/500 train_time:43727ms step_avg:590.91ms
step:75/500 train_time:44322ms step_avg:590.96ms
step:76/500 train_time:44910ms step_avg:590.92ms
step:77/500 train_time:45504ms step_avg:590.96ms
step:78/500 train_time:46092ms step_avg:590.93ms
step:79/500 train_time:46687ms step_avg:590.97ms
step:80/500 train_time:47275ms step_avg:590.94ms
step:81/500 train_time:47869ms step_avg:590.98ms
step:82/500 train_time:48457ms step_avg:590.94ms
step:83/500 train_time:49052ms step_avg:590.98ms
step:84/500 train_time:49640ms step_avg:590.95ms
step:85/500 train_time:50234ms step_avg:590.99ms
step:86/500 train_time:50823ms step_avg:590.96ms
step:87/500 train_time:51417ms step_avg:591.00ms
step:88/500 train_time:52005ms step_avg:590.97ms
step:89/500 train_time:52599ms step_avg:591.00ms
step:90/500 train_time:53188ms step_avg:590.97ms
step:91/500 train_time:53782ms step_avg:591.01ms
step:92/500 train_time:54370ms step_avg:590.98ms
step:93/500 train_time:54964ms step_avg:591.01ms
step:94/500 train_time:55552ms step_avg:590.98ms
step:95/500 train_time:56147ms step_avg:591.02ms
step:96/500 train_time:56735ms step_avg:590.99ms
step:97/500 train_time:57329ms step_avg:591.02ms
step:98/500 train_time:57917ms step_avg:590.99ms
step:99/500 train_time:58512ms step_avg:591.03ms
step:100/500 train_time:59100ms step_avg:591.00ms
step:101/500 train_time:59694ms step_avg:591.03ms
step:102/500 train_time:60283ms step_avg:591.01ms
step:103/500 train_time:60877ms step_avg:591.04ms
step:104/500 train_time:61465ms step_avg:591.01ms
step:105/500 train_time:62059ms step_avg:591.04ms
step:106/500 train_time:62648ms step_avg:591.02ms
step:107/500 train_time:63242ms step_avg:591.04ms
step:108/500 train_time:63830ms step_avg:591.02ms
step:109/500 train_time:64424ms step_avg:591.05ms
step:110/500 train_time:65012ms step_avg:591.02ms
step:111/500 train_time:65607ms step_avg:591.05ms
step:112/500 train_time:66195ms step_avg:591.03ms
step:113/500 train_time:66789ms step_avg:591.06ms
step:114/500 train_time:67378ms step_avg:591.03ms
step:115/500 train_time:67972ms step_avg:591.06ms
step:116/500 train_time:68560ms step_avg:591.04ms
step:117/500 train_time:69154ms step_avg:591.06ms
step:118/500 train_time:69743ms step_avg:591.04ms
step:119/500 train_time:70337ms step_avg:591.06ms
step:120/500 train_time:70925ms step_avg:591.04ms
step:121/500 train_time:71519ms step_avg:591.07ms
step:122/500 train_time:72108ms step_avg:591.05ms
step:123/500 train_time:72702ms step_avg:591.07ms
step:124/500 train_time:73290ms step_avg:591.05ms
step:125/500 train_time:73884ms step_avg:591.07ms
step:126/500 train_time:74473ms step_avg:591.05ms
step:127/500 train_time:75067ms step_avg:591.08ms
step:128/500 train_time:75656ms step_avg:591.06ms
step:129/500 train_time:76249ms step_avg:591.08ms
step:130/500 train_time:76838ms step_avg:591.06ms
step:131/500 train_time:77432ms step_avg:591.08ms
step:132/500 train_time:78020ms step_avg:591.06ms
step:133/500 train_time:78614ms step_avg:591.08ms
step:134/500 train_time:79202ms step_avg:591.06ms
step:135/500 train_time:79796ms step_avg:591.08ms
step:136/500 train_time:80384ms step_avg:591.06ms
step:137/500 train_time:80978ms step_avg:591.08ms
step:138/500 train_time:81567ms step_avg:591.06ms
step:139/500 train_time:82161ms step_avg:591.08ms
step:140/500 train_time:82749ms step_avg:591.06ms
step:141/500 train_time:83343ms step_avg:591.09ms
step:142/500 train_time:83931ms step_avg:591.07ms
step:143/500 train_time:84525ms step_avg:591.09ms
step:144/500 train_time:85113ms step_avg:591.07ms
step:145/500 train_time:85708ms step_avg:591.09ms
step:146/500 train_time:86296ms step_avg:591.07ms
step:147/500 train_time:86890ms step_avg:591.09ms
step:148/500 train_time:87479ms step_avg:591.07ms
step:149/500 train_time:88072ms step_avg:591.09ms
step:150/500 train_time:88660ms step_avg:591.07ms
step:151/500 train_time:89255ms step_avg:591.09ms
step:152/500 train_time:89843ms step_avg:591.07ms
step:153/500 train_time:90437ms step_avg:591.09ms
step:154/500 train_time:91025ms step_avg:591.07ms
step:155/500 train_time:91619ms step_avg:591.09ms
step:156/500 train_time:92207ms step_avg:591.07ms
step:157/500 train_time:92802ms step_avg:591.09ms
step:158/500 train_time:93390ms step_avg:591.08ms
step:159/500 train_time:93984ms step_avg:591.10ms
step:160/500 train_time:94572ms step_avg:591.08ms
step:161/500 train_time:95166ms step_avg:591.10ms
step:162/500 train_time:95755ms step_avg:591.08ms
step:163/500 train_time:96348ms step_avg:591.10ms
step:164/500 train_time:96937ms step_avg:591.08ms
step:165/500 train_time:97531ms step_avg:591.09ms
step:166/500 train_time:98119ms step_avg:591.08ms
step:167/500 train_time:98713ms step_avg:591.10ms
step:168/500 train_time:99912ms step_avg:594.71ms
step:169/500 train_time:101141ms step_avg:598.47ms
step:170/500 train_time:102366ms step_avg:602.15ms
step:171/500 train_time:103595ms step_avg:605.82ms
step:172/500 train_time:104819ms step_avg:609.41ms
step:173/500 train_time:106049ms step_avg:613.00ms
step:174/500 train_time:107273ms step_avg:616.51ms
step:175/500 train_time:108503ms step_avg:620.02ms
step:176/500 train_time:109725ms step_avg:623.44ms
step:177/500 train_time:110955ms step_avg:626.87ms
step:178/500 train_time:112180ms step_avg:630.22ms
step:179/500 train_time:113408ms step_avg:633.57ms
step:180/500 train_time:114633ms step_avg:636.85ms
step:181/500 train_time:115862ms step_avg:640.12ms
step:182/500 train_time:117085ms step_avg:643.33ms
step:183/500 train_time:118314ms step_avg:646.52ms
step:184/500 train_time:119539ms step_avg:649.67ms
step:185/500 train_time:120768ms step_avg:652.80ms
step:186/500 train_time:121991ms step_avg:655.87ms
step:187/500 train_time:123221ms step_avg:658.94ms
step:188/500 train_time:124445ms step_avg:661.94ms
step:189/500 train_time:125674ms step_avg:664.94ms
step:190/500 train_time:126897ms step_avg:667.88ms
step:191/500 train_time:128127ms step_avg:670.82ms
step:192/500 train_time:129350ms step_avg:673.70ms
step:193/500 train_time:130579ms step_avg:676.58ms
step:194/500 train_time:131803ms step_avg:679.40ms
step:195/500 train_time:133032ms step_avg:682.21ms
step:196/500 train_time:134255ms step_avg:684.97ms
step:197/500 train_time:135484ms step_avg:687.74ms
step:198/500 train_time:136709ms step_avg:690.45ms
step:199/500 train_time:137938ms step_avg:693.16ms
step:200/500 train_time:139163ms step_avg:695.81ms
step:201/500 train_time:140391ms step_avg:698.46ms
step:202/500 train_time:141615ms step_avg:701.06ms
step:203/500 train_time:142845ms step_avg:703.67ms
step:204/500 train_time:144068ms step_avg:706.22ms
step:205/500 train_time:145298ms step_avg:708.77ms
step:206/500 train_time:146521ms step_avg:711.27ms
step:207/500 train_time:147750ms step_avg:713.77ms
step:208/500 train_time:148973ms step_avg:716.22ms
step:209/500 train_time:150204ms step_avg:718.68ms
step:210/500 train_time:151427ms step_avg:721.08ms
step:211/500 train_time:152656ms step_avg:723.49ms
step:212/500 train_time:153879ms step_avg:725.85ms
step:213/500 train_time:155107ms step_avg:728.20ms
step:214/500 train_time:156331ms step_avg:730.52ms
step:215/500 train_time:157560ms step_avg:732.84ms
step:216/500 train_time:158784ms step_avg:735.11ms
step:217/500 train_time:160014ms step_avg:737.39ms
step:218/500 train_time:161237ms step_avg:739.62ms
step:219/500 train_time:162466ms step_avg:741.86ms
step:220/500 train_time:163689ms step_avg:744.04ms
step:221/500 train_time:164916ms step_avg:746.23ms
step:222/500 train_time:166140ms step_avg:748.38ms
step:223/500 train_time:167369ms step_avg:750.53ms
step:224/500 train_time:168592ms step_avg:752.64ms
step:225/500 train_time:169821ms step_avg:754.76ms
step:226/500 train_time:171044ms step_avg:756.83ms
step:227/500 train_time:172272ms step_avg:758.91ms
step:228/500 train_time:173496ms step_avg:760.95ms
step:229/500 train_time:174726ms step_avg:763.00ms
step:230/500 train_time:175950ms step_avg:765.00ms
step:231/500 train_time:177181ms step_avg:767.02ms
step:232/500 train_time:178404ms step_avg:768.98ms
step:233/500 train_time:179632ms step_avg:770.95ms
step:234/500 train_time:180855ms step_avg:772.88ms
step:235/500 train_time:182085ms step_avg:774.83ms
step:236/500 train_time:183306ms step_avg:776.72ms
step:237/500 train_time:184535ms step_avg:778.63ms
step:238/500 train_time:185758ms step_avg:780.50ms
step:239/500 train_time:186986ms step_avg:782.37ms
step:240/500 train_time:188210ms step_avg:784.21ms
step:241/500 train_time:189439ms step_avg:786.05ms
