[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_020611.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_020611 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9408 train_time:0ms step_avg:0.03ms
step:1/500 train_time:565ms step_avg:565.11ms
step:2/500 train_time:1154ms step_avg:576.85ms
step:3/500 train_time:1748ms step_avg:582.65ms
step:4/500 train_time:2337ms step_avg:584.14ms
step:5/500 train_time:2930ms step_avg:586.08ms
step:6/500 train_time:3519ms step_avg:586.44ms
step:7/500 train_time:4113ms step_avg:587.59ms
step:8/500 train_time:4701ms step_avg:587.68ms
step:9/500 train_time:5296ms step_avg:588.43ms
step:10/500 train_time:5885ms step_avg:588.45ms
step:11/500 train_time:6479ms step_avg:589.00ms
step:12/500 train_time:7068ms step_avg:588.97ms
step:13/500 train_time:7662ms step_avg:589.39ms
step:14/500 train_time:8251ms step_avg:589.33ms
step:15/500 train_time:8845ms step_avg:589.67ms
step:16/500 train_time:9434ms step_avg:589.64ms
step:17/500 train_time:10029ms step_avg:589.94ms
step:18/500 train_time:10618ms step_avg:589.88ms
step:19/500 train_time:11212ms step_avg:590.12ms
step:20/500 train_time:11801ms step_avg:590.05ms
step:21/500 train_time:12396ms step_avg:590.27ms
step:22/500 train_time:12985ms step_avg:590.21ms
step:23/500 train_time:13579ms step_avg:590.40ms
step:24/500 train_time:14168ms step_avg:590.33ms
step:25/500 train_time:14763ms step_avg:590.51ms
step:26/500 train_time:15351ms step_avg:590.43ms
step:27/500 train_time:15946ms step_avg:590.59ms
step:28/500 train_time:16535ms step_avg:590.53ms
step:29/500 train_time:17129ms step_avg:590.67ms
step:30/500 train_time:17718ms step_avg:590.61ms
step:31/500 train_time:18313ms step_avg:590.74ms
step:32/500 train_time:18902ms step_avg:590.68ms
