head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
10,3,2,228746,2744480,70,0.96497214,187.84906006,.\n�
11,3,3,228522,2995895,70,0.96497214,187.84906006,.\n�
9,3,1,229002,2493113,71,0.96414143,186.55957031,.\n�
12,3,4,228362,3247388,71,0.96300906,186.25662231,.\n�
14,3,6,227754,3750120,71,0.96125275,185.90367126,.\n�
13,3,5,228138,3498827,71,0.95642990,185.58242798,.\n�
15,3,7,227658,4001725,71,0.95222729,185.31028748,.\n�
8,3,0,229034,2241524,72,0.96061069,184.86097717,.\n�
13,3,5,125393,3396082,81,0.96381783,179.66891479,|\n|
14,3,6,125321,3647687,81,0.96381783,179.66891479,|\n|
15,3,7,125303,3899370,81,0.96381783,179.66891479,|\n|
8,3,0,125561,2138051,82,0.95404416,177.65419006,|\n|
10,3,2,125507,2641241,83,0.96133018,177.24719238,|\n|
11,3,3,125465,2892838,83,0.96208274,176.88079834,|\n|
12,3,4,125435,3144461,84,0.95772141,175.80261230,|\n|
9,3,1,125555,2389666,86,0.94528234,172.45570374,|\n|
10,3,2,173434,2689168,120,0.96222198,169.84077454,.\n"
11,3,3,173350,2940723,120,0.96222198,169.84077454,.\n"
14,3,6,173062,3695428,120,0.96222198,169.84077454,.\n"
15,3,7,173026,3947093,120,0.96222198,169.84077454,.\n"
13,3,5,173206,3443895,122,0.96082568,168.36242676,.\n"
8,3,0,173542,2186032,122,0.95489132,167.77214050,.\n"
12,3,4,173290,3192316,122,0.95513231,167.76051331,.\n"
0,2,0,236335,236335,164,0.96363300,167.70242310,\n|
1,2,1,236323,487850,164,0.96363300,167.70242310,\n|
3,2,3,236303,990902,164,0.96363300,167.70242310,\n|
4,2,4,236267,1242409,164,0.96363300,167.70242310,\n|
6,2,6,236171,1745441,164,0.96363300,167.70242310,\n|
7,2,7,236167,1997046,164,0.96363300,167.70242310,\n|
9,3,1,72320,2336431,132,0.95868599,167.19844055,.\n-
10,3,2,72208,2587942,132,0.95868599,167.19844055,.\n-
15,3,7,71732,3845799,132,0.95868599,167.19844055,.\n-
5,2,5,236255,1493958,165,0.96256816,167.06892395,\n|
9,3,1,173530,2437641,123,0.94890511,166.95439148, "Employee
8,3,0,72334,2084824,133,0.95252597,166.06727600,.\n-
13,3,5,71942,3342631,133,0.95198572,165.99839783,.\n-
14,3,6,71774,3594140,134,0.95751089,165.72203064,.\n-
2,2,2,236311,739371,167,0.94801605,164.85711670,\n|
11,3,3,72110,2839483,136,0.95756787,164.80496216,.\n-
0,2,0,149277,149277,154,0.95505148,163.94920349,\n"
