[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_perhead_canon_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_120227.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_perhead_canon_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_120227 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=1 engram_canonicalize=1 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 498, 499, 500, 501, 998, 999, 1000, 1001, 1498, 1499, 1500] for warmup
Resetting Model
step:0/1500 val_loss:18.9357 train_time:0ms step_avg:0.04ms
step:1/1500 train_time:613ms step_avg:612.76ms
step:2/1500 train_time:1256ms step_avg:628.09ms
step:3/1500 train_time:1906ms step_avg:635.19ms
step:4/1500 train_time:2549ms step_avg:637.25ms
step:5/1500 train_time:3198ms step_avg:639.61ms
step:6/1500 train_time:3841ms step_avg:640.25ms
step:7/1500 train_time:4491ms step_avg:641.55ms
step:8/1500 train_time:5134ms step_avg:641.78ms
step:9/1500 train_time:5783ms step_avg:642.61ms
step:10/1500 train_time:6427ms step_avg:642.72ms
step:11/1500 train_time:7077ms step_avg:643.33ms
step:12/1500 train_time:7721ms step_avg:643.43ms
step:13/1500 train_time:8370ms step_avg:643.87ms
step:14/1500 train_time:9015ms step_avg:643.92ms
step:15/1500 train_time:9664ms step_avg:644.26ms
step:16/1500 train_time:10308ms step_avg:644.24ms
step:17/1500 train_time:10958ms step_avg:644.57ms
step:18/1500 train_time:11603ms step_avg:644.64ms
step:19/1500 train_time:12251ms step_avg:644.81ms
step:20/1500 train_time:12895ms step_avg:644.76ms
step:21/1500 train_time:13545ms step_avg:644.99ms
step:22/1500 train_time:14189ms step_avg:644.94ms
step:23/1500 train_time:14838ms step_avg:645.15ms
step:24/1500 train_time:15482ms step_avg:645.09ms
step:25/1500 train_time:16131ms step_avg:645.25ms
step:26/1500 train_time:16775ms step_avg:645.19ms
step:27/1500 train_time:17425ms step_avg:645.35ms
step:28/1500 train_time:18068ms step_avg:645.29ms
step:29/1500 train_time:18718ms step_avg:645.43ms
