head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
9,3,1,15304,2279415,47,0.88994133,75.05242157, DON’
14,3,6,9922,3532288,48,0.88428950,73.79888153, DON’
15,3,7,229937,4004004,74,0.81262159,73.46785736, U.S
10,3,2,231569,2747303,74,0.79957044,71.24751282, U.S
12,3,4,12544,3031570,47,0.89052045,69.03779602, DON’
14,3,6,230081,3752447,73,0.86450666,68.82344055, U.S
12,3,4,230993,3250019,73,0.83812875,68.30368042, U.S
14,3,6,222033,3744399,89,0.86820567,65.55747986, it’
14,3,6,233928,3756294,49,0.87857670,65.14904785,year-old
9,3,1,231953,2496064,72,0.87167954,65.06259155, U.S
11,3,3,48968,2816341,68,0.84356493,64.96225739, One of the
11,3,3,231233,2998606,73,0.89422429,64.84408569, U.S
15,3,7,9508,3783575,48,0.82508248,64.35649872, DON’
8,3,0,15442,2027932,47,0.87441134,64.21029663, DON’
13,3,5,240624,3511313,50,0.87309653,63.49950027,year-old
14,3,6,68205,3590571,47,0.85442215,63.15916443,-year-
15,3,7,232254,4006321,49,0.89228928,62.13381958,year-old
9,3,1,52568,2316679,69,0.85446912,61.74331284, One of the
5,2,5,135863,1393566,167,0.87583995,61.48630524,\n|
15,3,7,67809,3841876,47,0.88105166,61.23362350,-year-
10,3,2,72297,2588031,49,0.83676684,60.38056564,-year-
6,2,6,135485,1644755,164,0.87119740,60.31260681,\n|
11,3,3,247320,3014693,52,0.81230706,60.11431503,year-old
3,2,3,178107,932706,159,0.87966239,59.81216812,\n"
13,3,5,11578,3282267,51,0.84788728,59.58955002, DON’
11,3,3,71373,2838746,47,0.86275184,59.27059555,-year-
12,3,4,244530,3263556,53,0.80785173,58.87839127,year-old
6,2,6,48070,1557340,187,0.84199584,58.60478973, as a
4,2,4,135917,1142059,165,0.86812985,58.38479614,\n|
13,3,5,69789,3340478,46,0.86746699,58.35174942,-year-
11,3,3,6040,2773413,70,0.86060047,58.29100037,.S.
2,2,2,136115,639175,166,0.84831929,57.88029480,\n|
0,2,0,136223,136223,164,0.82947659,57.58784485,\n|
14,3,6,43208,3565574,68,0.76560193,57.56760025, One of the
1,2,1,188827,440354,387,0.87417728,57.55223083,) -
10,3,2,14200,2529934,47,0.83033746,56.77976608, DON’
15,3,7,188675,3962742,69,0.83110410,56.74515152,I’
7,2,7,135467,1896346,164,0.86711401,56.41958237,\n|
9,3,1,228117,2492228,91,0.84973991,56.32180405, it’
8,3,0,73485,2085975,46,0.85161024,56.20073700,-year-
