[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/engram_perhead_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_104519.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=engram_perhead_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_104519 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=0 engram_bigram=1 engram_analyze=0 engram_analyze_tokens=262144 rom_token=0 rom_engram_gate=0 rom_write=0 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=0 rom_state_sparse_adam=0 rom_state_sparse_sgd=0 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=5.0 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 engram_dim=1536 engram_heads=8 engram_max_ngram=3 engram_short_conv_kernel=4 engram_hash_seed=0 engram_per_head=1 engram_canonicalize=0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9380 train_time:0ms step_avg:0.03ms
step:1/500 train_time:614ms step_avg:614.13ms
step:2/500 train_time:1258ms step_avg:628.82ms
step:3/500 train_time:1907ms step_avg:635.73ms
step:4/500 train_time:2551ms step_avg:637.67ms
step:5/500 train_time:3200ms step_avg:639.94ms
step:6/500 train_time:3844ms step_avg:640.58ms
step:7/500 train_time:4493ms step_avg:641.84ms
step:8/500 train_time:5136ms step_avg:642.05ms
step:9/500 train_time:5786ms step_avg:642.84ms
step:10/500 train_time:6429ms step_avg:642.94ms
step:11/500 train_time:7079ms step_avg:643.51ms
step:12/500 train_time:7722ms step_avg:643.53ms
step:13/500 train_time:8372ms step_avg:643.99ms
step:14/500 train_time:9016ms step_avg:643.99ms
step:15/500 train_time:9665ms step_avg:644.34ms
step:16/500 train_time:10309ms step_avg:644.30ms
step:17/500 train_time:10958ms step_avg:644.61ms
step:18/500 train_time:11602ms step_avg:644.57ms
step:19/500 train_time:12252ms step_avg:644.82ms
step:20/500 train_time:12895ms step_avg:644.76ms
step:21/500 train_time:13545ms step_avg:645.00ms
step:22/500 train_time:14189ms step_avg:644.94ms
step:23/500 train_time:14838ms step_avg:645.14ms
step:24/500 train_time:15482ms step_avg:645.08ms
step:25/500 train_time:16132ms step_avg:645.26ms
step:26/500 train_time:16775ms step_avg:645.20ms
step:27/500 train_time:17425ms step_avg:645.37ms
step:28/500 train_time:18069ms step_avg:645.31ms
step:29/500 train_time:18718ms step_avg:645.45ms
step:30/500 train_time:19362ms step_avg:645.40ms
step:31/500 train_time:20011ms step_avg:645.52ms
step:32/500 train_time:20655ms step_avg:645.48ms
step:33/500 train_time:21305ms step_avg:645.61ms
step:34/500 train_time:21949ms step_avg:645.56ms
step:35/500 train_time:22598ms step_avg:645.67ms
step:36/500 train_time:23242ms step_avg:645.61ms
step:37/500 train_time:23892ms step_avg:645.72ms
step:38/500 train_time:24535ms step_avg:645.67ms
step:39/500 train_time:25185ms step_avg:645.77ms
step:40/500 train_time:25828ms step_avg:645.71ms
step:41/500 train_time:26478ms step_avg:645.80ms
step:42/500 train_time:27122ms step_avg:645.76ms
step:43/500 train_time:27771ms step_avg:645.84ms
step:44/500 train_time:28415ms step_avg:645.80ms
step:45/500 train_time:29064ms step_avg:645.88ms
step:46/500 train_time:29708ms step_avg:645.83ms
step:47/500 train_time:30358ms step_avg:645.91ms
step:48/500 train_time:31002ms step_avg:645.87ms
step:49/500 train_time:31651ms step_avg:645.94ms
step:50/500 train_time:32295ms step_avg:645.89ms
step:51/500 train_time:32944ms step_avg:645.96ms
step:52/500 train_time:33588ms step_avg:645.92ms
step:53/500 train_time:34237ms step_avg:645.98ms
step:54/500 train_time:34881ms step_avg:645.94ms
step:55/500 train_time:35530ms step_avg:646.00ms
step:56/500 train_time:36174ms step_avg:645.96ms
step:57/500 train_time:36823ms step_avg:646.01ms
step:58/500 train_time:37467ms step_avg:645.98ms
step:59/500 train_time:38116ms step_avg:646.03ms
step:60/500 train_time:38759ms step_avg:645.99ms
step:61/500 train_time:39409ms step_avg:646.05ms
step:62/500 train_time:40052ms step_avg:646.01ms
step:63/500 train_time:40702ms step_avg:646.06ms
step:64/500 train_time:41345ms step_avg:646.02ms
step:65/500 train_time:41995ms step_avg:646.07ms
step:66/500 train_time:42638ms step_avg:646.03ms
step:67/500 train_time:43288ms step_avg:646.08ms
step:68/500 train_time:43931ms step_avg:646.05ms
step:69/500 train_time:44581ms step_avg:646.10ms
step:70/500 train_time:45225ms step_avg:646.06ms
step:71/500 train_time:45874ms step_avg:646.11ms
step:72/500 train_time:46517ms step_avg:646.07ms
