head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
15,3,7,64861,3838928,42,0.90584439,77.79720306, it. Hard
2,2,2,131179,634239,165,0.92453825,71.20532227,\n|
10,3,2,145346,2661080,69,0.92607588,67.47684479, U.S
1,2,1,98295,349822,432,0.86688429,65.11988068,\n-
1,2,1,131179,382706,164,0.90713066,64.64211273,\n|
0,2,0,98337,98337,432,0.91134030,64.05162811,\n-
9,3,1,47487,2311598,102,0.88858992,63.58286285, ”
6,2,6,97763,1607033,433,0.86156148,63.20926285,\n-
3,2,3,131179,885778,164,0.89236462,61.75579453,\n|
7,2,7,131179,1892058,165,0.91582912,61.49148941,\n|
5,2,5,98057,1355760,441,0.89870918,60.79122925,\n-
0,2,0,131179,131179,166,0.90340596,60.17012787,\n|
7,2,7,49149,1810028,236,0.89885736,59.91093063,. I
10,3,2,116720,2632454,83,0.89898050,59.12239456,|\n|
14,3,6,142224,3664590,46,0.92383999,59.08699417,year-old
5,2,5,50293,1307996,238,0.87408859,58.82999039,. I
6,2,6,49201,1558471,236,0.90363687,58.54288864,. I
13,3,5,149568,3420257,47,0.90629709,58.48391342,year-old
15,3,7,146792,3920859,88,0.92641312,58.36949539,\n“
12,3,4,47327,3066353,104,0.90224397,58.06623840, ”
10,3,2,158865,2674599,125,0.89604014,57.87055588,.”
8,3,0,158937,2171427,125,0.85388356,57.71458435,.”
1,2,1,29623,281150,532,0.91131896,57.56153870,. The
14,3,6,158617,3680983,124,0.84281802,56.92501450,.”
6,2,6,131179,1640449,165,0.89564747,56.51023483,\n|
4,2,4,131179,1137321,168,0.91414481,56.37334442,\n|
9,3,1,146434,2410545,71,0.90265882,55.99911118, U.S
3,2,3,207053,961652,180,0.87179983,55.99050522,?\n
11,3,3,158809,2926182,126,0.87408781,55.86797714,.”
7,2,7,97749,1858628,433,0.90367299,55.46560669,\n-
5,2,5,131179,1388882,165,0.88104403,54.97181702,\n|
2,2,2,98253,601313,434,0.89424747,54.84412003,\n-
13,3,5,47271,3317960,102,0.85756928,54.81873703, ”
14,3,6,93295,3615661,59,0.89364111,54.77161026, will be issuing
15,3,7,140722,3914789,69,0.90299988,54.68626022, U.S
8,3,0,47495,2059985,101,0.88472748,54.54826736, ”
0,2,0,78105,78105,154,0.92069697,54.34499741, following languages
13,3,5,95383,3366072,59,0.90493697,54.14800262, one of the
12,3,4,139148,3158174,51,0.83763242,53.88844299, the central computer
14,3,6,47175,3569541,102,0.86848354,53.66553116, ”
