[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/hashed_rom_h1_k32_v128_bf4_l2_ga8_20260512_184702.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=201216 run_id=hashed_rom_h1_k32_v128_bf4_l2_ga8_20260512_184702 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=1 rom_key_dim=32 rom_value_dim=128 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=5.0 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9373 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:710ms step_avg:710.12ms
step:2/1480 train_time:1448ms step_avg:724.22ms
step:3/1480 train_time:2136ms step_avg:711.94ms
step:4/1480 train_time:2871ms step_avg:717.65ms
step:5/1480 train_time:3558ms step_avg:711.57ms
step:6/1480 train_time:4293ms step_avg:715.47ms
step:7/1480 train_time:4980ms step_avg:711.48ms
step:8/1480 train_time:5714ms step_avg:714.31ms
step:9/1480 train_time:6402ms step_avg:711.30ms
step:10/1480 train_time:7136ms step_avg:713.64ms
step:11/1480 train_time:7824ms step_avg:711.23ms
step:12/1480 train_time:8560ms step_avg:713.31ms
step:13/1480 train_time:9246ms step_avg:711.27ms
step:14/1480 train_time:9982ms step_avg:713.01ms
step:15/1480 train_time:10669ms step_avg:711.29ms
step:16/1480 train_time:11404ms step_avg:712.78ms
step:17/1480 train_time:12092ms step_avg:711.30ms
step:18/1480 train_time:12827ms step_avg:712.63ms
step:19/1480 train_time:13515ms step_avg:711.32ms
step:20/1480 train_time:14250ms step_avg:712.52ms
step:21/1480 train_time:14938ms step_avg:711.34ms
step:22/1480 train_time:15673ms step_avg:712.41ms
step:23/1480 train_time:16361ms step_avg:711.33ms
step:24/1480 train_time:17096ms step_avg:712.35ms
step:25/1480 train_time:17785ms step_avg:711.41ms
step:26/1480 train_time:18523ms step_avg:712.42ms
step:27/1480 train_time:19211ms step_avg:711.52ms
step:28/1480 train_time:19947ms step_avg:712.38ms
step:29/1480 train_time:20633ms step_avg:711.50ms
step:30/1480 train_time:21368ms step_avg:712.28ms
step:31/1480 train_time:22055ms step_avg:711.46ms
step:32/1480 train_time:22790ms step_avg:712.20ms
step:33/1480 train_time:23482ms step_avg:711.57ms
step:34/1480 train_time:24219ms step_avg:712.33ms
step:35/1480 train_time:24908ms step_avg:711.67ms
step:36/1480 train_time:25645ms step_avg:712.37ms
step:37/1480 train_time:26335ms step_avg:711.76ms
step:38/1480 train_time:27072ms step_avg:712.42ms
step:39/1480 train_time:27761ms step_avg:711.82ms
step:40/1480 train_time:28498ms step_avg:712.45ms
step:41/1480 train_time:29189ms step_avg:711.94ms
step:42/1480 train_time:29926ms step_avg:712.52ms
step:43/1480 train_time:30613ms step_avg:711.94ms
step:44/1480 train_time:31350ms step_avg:712.49ms
step:45/1480 train_time:32038ms step_avg:711.95ms
step:46/1480 train_time:32774ms step_avg:712.47ms
step:47/1480 train_time:33461ms step_avg:711.95ms
step:48/1480 train_time:34197ms step_avg:712.44ms
step:49/1480 train_time:34884ms step_avg:711.93ms
step:50/1480 train_time:35619ms step_avg:712.39ms
step:51/1480 train_time:36307ms step_avg:711.90ms
step:52/1480 train_time:37042ms step_avg:712.34ms
step:53/1480 train_time:37730ms step_avg:711.88ms
step:54/1480 train_time:38465ms step_avg:712.31ms
step:55/1480 train_time:39153ms step_avg:711.88ms
step:56/1480 train_time:39889ms step_avg:712.31ms
step:57/1480 train_time:40579ms step_avg:711.92ms
step:58/1480 train_time:41315ms step_avg:712.33ms
step:59/1480 train_time:42002ms step_avg:711.91ms
step:60/1480 train_time:42739ms step_avg:712.31ms
step:61/1480 train_time:43427ms step_avg:711.93ms
step:62/1480 train_time:44164ms step_avg:712.32ms
step:63/1480 train_time:44851ms step_avg:711.91ms
step:64/1480 train_time:45586ms step_avg:712.28ms
step:65/1480 train_time:46273ms step_avg:711.89ms
step:66/1480 train_time:47007ms step_avg:712.23ms
step:67/1480 train_time:47694ms step_avg:711.85ms
step:68/1480 train_time:48429ms step_avg:712.19ms
step:69/1480 train_time:49117ms step_avg:711.83ms
step:70/1480 train_time:49852ms step_avg:712.17ms
step:71/1480 train_time:50539ms step_avg:711.82ms
