[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/hashed_rom_mqa_h1_k32_v128_bf4_l2_ga8_20260512_193558.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=201216 run_id=hashed_rom_mqa_h1_k32_v128_bf4_l2_ga8_20260512_193558 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=1 rom_key_dim=32 rom_value_dim=128 rom_mqa=1 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=5.0 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9361 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:723ms step_avg:723.03ms
step:2/1480 train_time:1479ms step_avg:739.47ms
step:3/1480 train_time:2184ms step_avg:727.87ms
step:4/1480 train_time:2935ms step_avg:733.84ms
step:5/1480 train_time:3639ms step_avg:727.80ms
step:6/1480 train_time:4391ms step_avg:731.86ms
step:7/1480 train_time:5096ms step_avg:727.96ms
step:8/1480 train_time:5847ms step_avg:730.92ms
step:9/1480 train_time:6552ms step_avg:727.97ms
step:10/1480 train_time:7304ms step_avg:730.38ms
step:11/1480 train_time:8009ms step_avg:728.05ms
step:12/1480 train_time:8761ms step_avg:730.09ms
step:13/1480 train_time:9467ms step_avg:728.24ms
step:14/1480 train_time:10221ms step_avg:730.09ms
step:15/1480 train_time:10926ms step_avg:728.42ms
step:16/1480 train_time:11679ms step_avg:729.95ms
step:17/1480 train_time:12385ms step_avg:728.53ms
step:18/1480 train_time:13138ms step_avg:729.90ms
step:19/1480 train_time:13843ms step_avg:728.60ms
step:20/1480 train_time:14596ms step_avg:729.80ms
step:21/1480 train_time:15301ms step_avg:728.61ms
step:22/1480 train_time:16054ms step_avg:729.71ms
step:23/1480 train_time:16758ms step_avg:728.61ms
step:24/1480 train_time:17511ms step_avg:729.62ms
step:25/1480 train_time:18215ms step_avg:728.62ms
step:26/1480 train_time:18968ms step_avg:729.53ms
step:27/1480 train_time:19673ms step_avg:728.63ms
step:28/1480 train_time:20428ms step_avg:729.56ms
step:29/1480 train_time:21133ms step_avg:728.72ms
step:30/1480 train_time:21886ms step_avg:729.53ms
step:31/1480 train_time:22591ms step_avg:728.75ms
step:32/1480 train_time:23345ms step_avg:729.52ms
step:33/1480 train_time:24050ms step_avg:728.79ms
step:34/1480 train_time:24803ms step_avg:729.51ms
step:35/1480 train_time:25508ms step_avg:728.81ms
step:36/1480 train_time:26261ms step_avg:729.48ms
step:37/1480 train_time:26967ms step_avg:728.83ms
step:38/1480 train_time:27719ms step_avg:729.46ms
step:39/1480 train_time:28424ms step_avg:728.81ms
step:40/1480 train_time:29177ms step_avg:729.42ms
step:41/1480 train_time:29882ms step_avg:728.83ms
step:42/1480 train_time:30635ms step_avg:729.41ms
step:43/1480 train_time:31340ms step_avg:728.84ms
step:44/1480 train_time:32092ms step_avg:729.37ms
step:45/1480 train_time:32797ms step_avg:728.81ms
step:46/1480 train_time:33548ms step_avg:729.32ms
step:47/1480 train_time:34253ms step_avg:728.78ms
step:48/1480 train_time:35005ms step_avg:729.28ms
step:49/1480 train_time:35710ms step_avg:728.77ms
step:50/1480 train_time:36462ms step_avg:729.24ms
step:51/1480 train_time:37167ms step_avg:728.76ms
step:52/1480 train_time:37919ms step_avg:729.20ms
step:53/1480 train_time:38623ms step_avg:728.73ms
step:54/1480 train_time:39375ms step_avg:729.17ms
step:55/1480 train_time:40080ms step_avg:728.72ms
step:56/1480 train_time:40832ms step_avg:729.14ms
step:57/1480 train_time:41536ms step_avg:728.70ms
step:58/1480 train_time:42289ms step_avg:729.12ms
step:59/1480 train_time:42993ms step_avg:728.70ms
step:60/1480 train_time:43746ms step_avg:729.10ms
step:61/1480 train_time:44451ms step_avg:728.71ms
step:62/1480 train_time:45204ms step_avg:729.10ms
step:63/1480 train_time:45908ms step_avg:728.70ms
step:64/1480 train_time:46660ms step_avg:729.07ms
step:65/1480 train_time:47365ms step_avg:728.69ms
step:66/1480 train_time:48118ms step_avg:729.06ms
step:67/1480 train_time:48823ms step_avg:728.70ms
step:68/1480 train_time:49577ms step_avg:729.08ms
step:69/1480 train_time:50283ms step_avg:728.74ms
step:70/1480 train_time:51035ms step_avg:729.07ms
step:71/1480 train_time:51738ms step_avg:728.71ms
step:72/1480 train_time:52490ms step_avg:729.02ms
step:73/1480 train_time:53193ms step_avg:728.67ms
step:74/1480 train_time:53945ms step_avg:728.98ms
step:75/1480 train_time:54648ms step_avg:728.65ms
