[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/hashed_rom_sparse10x_l2_ga8_20260512_174420.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=2089088 run_id=hashed_rom_sparse10x_l2_ga8_20260512_174420 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_table_nonemb_mult=10.0 rom_non_embedding_params=80217259 rom_target_state_params=802209792
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9388 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:664ms step_avg:663.96ms
step:2/1480 train_time:1326ms step_avg:662.86ms
step:3/1480 train_time:1975ms step_avg:658.40ms
step:4/1480 train_time:2637ms step_avg:659.15ms
step:5/1480 train_time:3286ms step_avg:657.13ms
step:6/1480 train_time:3947ms step_avg:657.76ms
step:7/1480 train_time:4594ms step_avg:656.33ms
step:8/1480 train_time:5254ms step_avg:656.69ms
step:9/1480 train_time:5901ms step_avg:655.69ms
step:10/1480 train_time:6561ms step_avg:656.15ms
step:11/1480 train_time:7209ms step_avg:655.39ms
step:12/1480 train_time:7869ms step_avg:655.74ms
step:13/1480 train_time:8516ms step_avg:655.10ms
step:14/1480 train_time:9176ms step_avg:655.43ms
step:15/1480 train_time:9824ms step_avg:654.90ms
step:16/1480 train_time:10483ms step_avg:655.18ms
step:17/1480 train_time:11130ms step_avg:654.70ms
step:18/1480 train_time:11788ms step_avg:654.92ms
step:19/1480 train_time:12436ms step_avg:654.52ms
step:20/1480 train_time:13094ms step_avg:654.70ms
step:21/1480 train_time:13742ms step_avg:654.37ms
step:22/1480 train_time:14400ms step_avg:654.57ms
step:23/1480 train_time:15048ms step_avg:654.27ms
step:24/1480 train_time:15707ms step_avg:654.45ms
step:25/1480 train_time:16354ms step_avg:654.17ms
step:26/1480 train_time:17013ms step_avg:654.36ms
step:27/1480 train_time:17660ms step_avg:654.08ms
step:28/1480 train_time:18319ms step_avg:654.25ms
step:29/1480 train_time:18966ms step_avg:654.00ms
step:30/1480 train_time:19625ms step_avg:654.15ms
step:31/1480 train_time:20272ms step_avg:653.93ms
step:32/1480 train_time:20930ms step_avg:654.07ms
step:33/1480 train_time:21578ms step_avg:653.88ms
step:34/1480 train_time:22236ms step_avg:654.01ms
step:35/1480 train_time:22883ms step_avg:653.81ms
step:36/1480 train_time:23548ms step_avg:654.12ms
step:37/1480 train_time:24202ms step_avg:654.10ms
step:38/1480 train_time:24865ms step_avg:654.34ms
step:39/1480 train_time:25519ms step_avg:654.32ms
step:40/1480 train_time:26180ms step_avg:654.49ms
step:41/1480 train_time:26827ms step_avg:654.32ms
step:42/1480 train_time:27486ms step_avg:654.43ms
step:43/1480 train_time:28133ms step_avg:654.26ms
step:44/1480 train_time:28792ms step_avg:654.37ms
step:45/1480 train_time:29440ms step_avg:654.22ms
step:46/1480 train_time:30099ms step_avg:654.32ms
step:47/1480 train_time:30747ms step_avg:654.18ms
step:48/1480 train_time:31406ms step_avg:654.28ms
step:49/1480 train_time:32053ms step_avg:654.14ms
step:50/1480 train_time:32712ms step_avg:654.23ms
step:51/1480 train_time:33359ms step_avg:654.10ms
step:52/1480 train_time:34021ms step_avg:654.24ms
step:53/1480 train_time:34674ms step_avg:654.24ms
step:54/1480 train_time:35340ms step_avg:654.45ms
step:55/1480 train_time:35993ms step_avg:654.41ms
step:56/1480 train_time:36654ms step_avg:654.53ms
step:57/1480 train_time:37301ms step_avg:654.41ms
step:58/1480 train_time:37961ms step_avg:654.50ms
step:59/1480 train_time:38612ms step_avg:654.43ms
step:60/1480 train_time:39277ms step_avg:654.62ms
step:61/1480 train_time:39926ms step_avg:654.53ms
step:62/1480 train_time:40588ms step_avg:654.65ms
step:63/1480 train_time:41241ms step_avg:654.62ms
step:64/1480 train_time:41906ms step_avg:654.79ms
step:65/1480 train_time:42558ms step_avg:654.74ms
step:66/1480 train_time:43220ms step_avg:654.85ms
step:67/1480 train_time:43871ms step_avg:654.79ms
step:68/1480 train_time:44532ms step_avg:654.89ms
step:69/1480 train_time:45182ms step_avg:654.81ms
step:70/1480 train_time:45844ms step_avg:654.91ms
step:71/1480 train_time:46494ms step_avg:654.84ms
step:72/1480 train_time:47156ms step_avg:654.94ms
step:73/1480 train_time:47806ms step_avg:654.88ms
step:74/1480 train_time:48468ms step_avg:654.97ms
step:75/1480 train_time:49117ms step_avg:654.90ms
step:76/1480 train_time:49778ms step_avg:654.98ms
step:77/1480 train_time:50429ms step_avg:654.92ms
step:78/1480 train_time:51090ms step_avg:655.01ms
step:79/1480 train_time:51740ms step_avg:654.94ms
step:80/1480 train_time:52401ms step_avg:655.02ms
step:81/1480 train_time:53054ms step_avg:654.99ms
step:82/1480 train_time:53721ms step_avg:655.13ms
step:83/1480 train_time:54374ms step_avg:655.10ms
step:84/1480 train_time:55038ms step_avg:655.22ms
step:85/1480 train_time:55691ms step_avg:655.19ms
step:86/1480 train_time:56357ms step_avg:655.31ms
step:87/1480 train_time:57008ms step_avg:655.26ms
step:88/1480 train_time:57676ms step_avg:655.41ms
step:89/1480 train_time:58329ms step_avg:655.38ms
step:90/1480 train_time:58990ms step_avg:655.45ms
step:91/1480 train_time:59641ms step_avg:655.39ms
step:92/1480 train_time:60305ms step_avg:655.49ms
step:93/1480 train_time:60958ms step_avg:655.46ms
step:94/1480 train_time:61627ms step_avg:655.61ms
step:95/1480 train_time:62284ms step_avg:655.62ms
step:96/1480 train_time:62952ms step_avg:655.75ms
step:97/1480 train_time:63621ms step_avg:655.89ms
step:98/1480 train_time:64300ms step_avg:656.13ms
step:99/1480 train_time:64957ms step_avg:656.13ms
step:100/1480 train_time:65621ms step_avg:656.21ms
step:101/1480 train_time:66270ms step_avg:656.14ms
step:102/1480 train_time:66930ms step_avg:656.17ms
step:103/1480 train_time:67577ms step_avg:656.09ms
step:104/1480 train_time:68236ms step_avg:656.12ms
step:105/1480 train_time:68884ms step_avg:656.04ms
step:106/1480 train_time:69544ms step_avg:656.08ms
step:107/1480 train_time:70195ms step_avg:656.03ms
step:108/1480 train_time:70861ms step_avg:656.12ms
step:109/1480 train_time:71515ms step_avg:656.10ms
step:110/1480 train_time:72181ms step_avg:656.19ms
step:111/1480 train_time:72833ms step_avg:656.15ms
step:112/1480 train_time:73493ms step_avg:656.19ms
step:113/1480 train_time:74143ms step_avg:656.13ms
step:114/1480 train_time:74804ms step_avg:656.17ms
step:115/1480 train_time:75452ms step_avg:656.11ms
step:116/1480 train_time:76112ms step_avg:656.14ms
step:117/1480 train_time:76761ms step_avg:656.07ms
step:118/1480 train_time:77423ms step_avg:656.12ms
step:119/1480 train_time:78083ms step_avg:656.16ms
step:120/1480 train_time:78748ms step_avg:656.24ms
step:121/1480 train_time:79419ms step_avg:656.36ms
step:122/1480 train_time:80086ms step_avg:656.44ms
step:123/1480 train_time:80738ms step_avg:656.41ms
step:124/1480 train_time:81401ms step_avg:656.46ms
step:125/1480 train_time:82051ms step_avg:656.41ms
step:126/1480 train_time:82711ms step_avg:656.44ms
step:127/1480 train_time:83362ms step_avg:656.39ms
step:128/1480 train_time:84034ms step_avg:656.52ms
step:129/1480 train_time:84684ms step_avg:656.46ms
step:130/1480 train_time:85345ms step_avg:656.50ms
step:131/1480 train_time:85993ms step_avg:656.44ms
step:132/1480 train_time:86654ms step_avg:656.47ms
step:133/1480 train_time:87304ms step_avg:656.42ms
step:134/1480 train_time:87964ms step_avg:656.44ms
step:135/1480 train_time:88612ms step_avg:656.38ms
step:136/1480 train_time:89272ms step_avg:656.41ms
step:137/1480 train_time:89920ms step_avg:656.35ms
step:138/1480 train_time:90579ms step_avg:656.37ms
step:139/1480 train_time:91228ms step_avg:656.32ms
step:140/1480 train_time:91889ms step_avg:656.35ms
step:141/1480 train_time:92538ms step_avg:656.30ms
step:142/1480 train_time:93198ms step_avg:656.33ms
step:143/1480 train_time:93847ms step_avg:656.27ms
step:144/1480 train_time:94507ms step_avg:656.30ms
step:145/1480 train_time:95156ms step_avg:656.24ms
step:146/1480 train_time:95816ms step_avg:656.27ms
step:147/1480 train_time:96466ms step_avg:656.23ms
step:148/1480 train_time:97127ms step_avg:656.26ms
step:149/1480 train_time:97779ms step_avg:656.23ms
step:150/1480 train_time:98439ms step_avg:656.26ms
step:151/1480 train_time:99091ms step_avg:656.23ms
step:152/1480 train_time:99752ms step_avg:656.27ms
step:153/1480 train_time:100410ms step_avg:656.27ms
step:154/1480 train_time:101097ms step_avg:656.47ms
step:155/1480 train_time:101753ms step_avg:656.47ms
step:156/1480 train_time:102422ms step_avg:656.55ms
step:157/1480 train_time:103080ms step_avg:656.56ms
step:158/1480 train_time:103745ms step_avg:656.61ms
step:159/1480 train_time:104397ms step_avg:656.59ms
step:160/1480 train_time:105059ms step_avg:656.62ms
step:161/1480 train_time:105705ms step_avg:656.55ms
step:162/1480 train_time:106362ms step_avg:656.56ms
step:163/1480 train_time:107009ms step_avg:656.50ms
step:164/1480 train_time:107666ms step_avg:656.50ms
step:165/1480 train_time:108313ms step_avg:656.44ms
step:166/1480 train_time:108970ms step_avg:656.45ms
step:167/1480 train_time:109617ms step_avg:656.39ms
step:168/1480 train_time:110276ms step_avg:656.41ms
step:169/1480 train_time:110923ms step_avg:656.35ms
step:170/1480 train_time:111581ms step_avg:656.36ms
step:171/1480 train_time:112227ms step_avg:656.30ms
step:172/1480 train_time:112885ms step_avg:656.31ms
step:173/1480 train_time:113533ms step_avg:656.26ms
step:174/1480 train_time:114190ms step_avg:656.27ms
step:175/1480 train_time:114837ms step_avg:656.21ms
step:176/1480 train_time:115494ms step_avg:656.22ms
step:177/1480 train_time:116141ms step_avg:656.16ms
step:178/1480 train_time:116798ms step_avg:656.17ms
step:179/1480 train_time:117445ms step_avg:656.12ms
step:180/1480 train_time:118103ms step_avg:656.13ms
step:181/1480 train_time:118750ms step_avg:656.08ms
step:182/1480 train_time:119408ms step_avg:656.09ms
step:183/1480 train_time:120054ms step_avg:656.03ms
step:184/1480 train_time:120712ms step_avg:656.04ms
step:185/1480 train_time:121358ms step_avg:655.99ms
step:186/1480 train_time:122015ms step_avg:656.00ms
step:187/1480 train_time:122662ms step_avg:655.95ms
step:188/1480 train_time:123322ms step_avg:655.97ms
step:189/1480 train_time:123969ms step_avg:655.92ms
step:190/1480 train_time:124627ms step_avg:655.93ms
step:191/1480 train_time:125277ms step_avg:655.90ms
step:192/1480 train_time:125938ms step_avg:655.93ms
step:193/1480 train_time:126586ms step_avg:655.89ms
step:194/1480 train_time:127250ms step_avg:655.93ms
step:195/1480 train_time:127901ms step_avg:655.90ms
step:196/1480 train_time:128562ms step_avg:655.93ms
step:197/1480 train_time:129211ms step_avg:655.89ms
step:198/1480 train_time:129871ms step_avg:655.92ms
step:199/1480 train_time:130520ms step_avg:655.88ms
step:200/1480 train_time:131180ms step_avg:655.90ms
step:201/1480 train_time:131828ms step_avg:655.86ms
step:202/1480 train_time:132488ms step_avg:655.88ms
step:203/1480 train_time:133137ms step_avg:655.85ms
step:204/1480 train_time:133798ms step_avg:655.87ms
step:205/1480 train_time:134447ms step_avg:655.84ms
step:206/1480 train_time:135108ms step_avg:655.87ms
step:207/1480 train_time:135757ms step_avg:655.83ms
step:208/1480 train_time:136417ms step_avg:655.85ms
step:209/1480 train_time:137067ms step_avg:655.82ms
step:210/1480 train_time:137726ms step_avg:655.84ms
step:211/1480 train_time:138375ms step_avg:655.80ms
step:212/1480 train_time:139035ms step_avg:655.83ms
step:213/1480 train_time:139684ms step_avg:655.79ms
step:214/1480 train_time:140344ms step_avg:655.81ms
step:215/1480 train_time:140993ms step_avg:655.78ms
step:216/1480 train_time:141653ms step_avg:655.80ms
step:217/1480 train_time:142301ms step_avg:655.76ms
step:218/1480 train_time:142961ms step_avg:655.78ms
step:219/1480 train_time:143610ms step_avg:655.75ms
step:220/1480 train_time:144270ms step_avg:655.77ms
step:221/1480 train_time:144918ms step_avg:655.74ms
step:222/1480 train_time:145578ms step_avg:655.76ms
step:223/1480 train_time:146226ms step_avg:655.72ms
step:224/1480 train_time:146886ms step_avg:655.74ms
step:225/1480 train_time:147535ms step_avg:655.71ms
step:226/1480 train_time:148195ms step_avg:655.73ms
step:227/1480 train_time:148843ms step_avg:655.70ms
step:228/1480 train_time:149503ms step_avg:655.72ms
step:229/1480 train_time:150153ms step_avg:655.69ms
step:230/1480 train_time:150813ms step_avg:655.71ms
step:231/1480 train_time:151461ms step_avg:655.68ms
step:232/1480 train_time:152121ms step_avg:655.69ms
step:233/1480 train_time:152769ms step_avg:655.66ms
step:234/1480 train_time:153428ms step_avg:655.68ms
step:235/1480 train_time:154076ms step_avg:655.64ms
step:236/1480 train_time:154737ms step_avg:655.66ms
step:237/1480 train_time:155385ms step_avg:655.63ms
step:238/1480 train_time:156045ms step_avg:655.65ms
step:239/1480 train_time:156693ms step_avg:655.62ms
step:240/1480 train_time:157353ms step_avg:655.64ms
step:241/1480 train_time:158001ms step_avg:655.61ms
step:242/1480 train_time:158662ms step_avg:655.63ms
step:243/1480 train_time:159311ms step_avg:655.60ms
step:244/1480 train_time:159973ms step_avg:655.63ms
step:245/1480 train_time:160624ms step_avg:655.61ms
step:246/1480 train_time:161286ms step_avg:655.64ms
step:247/1480 train_time:161935ms step_avg:655.61ms
step:248/1480 train_time:162596ms step_avg:655.63ms
step:249/1480 train_time:163246ms step_avg:655.61ms
step:250/1480 train_time:163905ms step_avg:655.62ms
step:250/1480 val_loss:8.5598 train_time:163905ms step_avg:655.62ms
step:251/1480 train_time:164554ms step_avg:655.59ms
step:252/1480 train_time:165213ms step_avg:655.61ms
step:253/1480 train_time:165860ms step_avg:655.57ms
step:254/1480 train_time:166519ms step_avg:655.59ms
step:255/1480 train_time:167167ms step_avg:655.56ms
step:256/1480 train_time:167826ms step_avg:655.57ms
step:257/1480 train_time:168474ms step_avg:655.54ms
step:258/1480 train_time:169132ms step_avg:655.55ms
step:259/1480 train_time:169779ms step_avg:655.52ms
step:260/1480 train_time:170438ms step_avg:655.53ms
step:261/1480 train_time:171085ms step_avg:655.50ms
step:262/1480 train_time:171744ms step_avg:655.51ms
step:263/1480 train_time:172391ms step_avg:655.48ms
step:264/1480 train_time:173051ms step_avg:655.49ms
step:265/1480 train_time:173698ms step_avg:655.46ms
step:266/1480 train_time:174357ms step_avg:655.48ms
step:267/1480 train_time:175005ms step_avg:655.45ms
step:268/1480 train_time:175664ms step_avg:655.46ms
step:269/1480 train_time:176312ms step_avg:655.44ms
step:270/1480 train_time:176972ms step_avg:655.45ms
step:271/1480 train_time:177619ms step_avg:655.42ms
step:272/1480 train_time:178278ms step_avg:655.43ms
step:273/1480 train_time:178926ms step_avg:655.41ms
step:274/1480 train_time:179584ms step_avg:655.42ms
step:275/1480 train_time:180232ms step_avg:655.39ms
step:276/1480 train_time:180891ms step_avg:655.40ms
step:277/1480 train_time:181539ms step_avg:655.37ms
step:278/1480 train_time:182198ms step_avg:655.39ms
step:279/1480 train_time:182845ms step_avg:655.36ms
step:280/1480 train_time:183504ms step_avg:655.37ms
step:281/1480 train_time:184152ms step_avg:655.35ms
step:282/1480 train_time:184812ms step_avg:655.36ms
step:283/1480 train_time:185460ms step_avg:655.33ms
step:284/1480 train_time:186118ms step_avg:655.35ms
step:285/1480 train_time:186766ms step_avg:655.32ms
step:286/1480 train_time:187424ms step_avg:655.33ms
step:287/1480 train_time:188072ms step_avg:655.30ms
step:288/1480 train_time:188731ms step_avg:655.32ms
step:289/1480 train_time:189379ms step_avg:655.29ms
step:290/1480 train_time:190037ms step_avg:655.30ms
step:291/1480 train_time:190685ms step_avg:655.27ms
step:292/1480 train_time:191344ms step_avg:655.29ms
step:293/1480 train_time:191991ms step_avg:655.26ms
step:294/1480 train_time:192651ms step_avg:655.27ms
step:295/1480 train_time:193299ms step_avg:655.25ms
step:296/1480 train_time:193959ms step_avg:655.27ms
step:297/1480 train_time:194606ms step_avg:655.24ms
step:298/1480 train_time:195266ms step_avg:655.26ms
step:299/1480 train_time:195916ms step_avg:655.24ms
step:300/1480 train_time:196576ms step_avg:655.25ms
step:301/1480 train_time:197224ms step_avg:655.23ms
step:302/1480 train_time:197884ms step_avg:655.24ms
step:303/1480 train_time:198531ms step_avg:655.22ms
step:304/1480 train_time:199190ms step_avg:655.23ms
step:305/1480 train_time:199837ms step_avg:655.20ms
step:306/1480 train_time:200496ms step_avg:655.22ms
step:307/1480 train_time:201143ms step_avg:655.19ms
step:308/1480 train_time:201802ms step_avg:655.20ms
step:309/1480 train_time:202449ms step_avg:655.18ms
step:310/1480 train_time:203108ms step_avg:655.19ms
step:311/1480 train_time:203755ms step_avg:655.16ms
step:312/1480 train_time:204414ms step_avg:655.17ms
step:313/1480 train_time:205061ms step_avg:655.15ms
step:314/1480 train_time:205720ms step_avg:655.16ms
step:315/1480 train_time:206373ms step_avg:655.15ms
step:316/1480 train_time:207036ms step_avg:655.18ms
step:317/1480 train_time:207691ms step_avg:655.18ms
step:318/1480 train_time:208355ms step_avg:655.21ms
step:319/1480 train_time:209004ms step_avg:655.19ms
step:320/1480 train_time:209664ms step_avg:655.20ms
step:321/1480 train_time:210313ms step_avg:655.18ms
step:322/1480 train_time:210972ms step_avg:655.19ms
step:323/1480 train_time:211620ms step_avg:655.17ms
step:324/1480 train_time:212278ms step_avg:655.18ms
step:325/1480 train_time:212926ms step_avg:655.16ms
step:326/1480 train_time:213585ms step_avg:655.17ms
step:327/1480 train_time:214233ms step_avg:655.15ms
step:328/1480 train_time:214892ms step_avg:655.16ms
step:329/1480 train_time:215539ms step_avg:655.13ms
step:330/1480 train_time:216199ms step_avg:655.15ms
step:331/1480 train_time:216849ms step_avg:655.13ms
step:332/1480 train_time:217507ms step_avg:655.14ms
step:333/1480 train_time:218155ms step_avg:655.12ms
step:334/1480 train_time:218813ms step_avg:655.13ms
step:335/1480 train_time:219460ms step_avg:655.10ms
step:336/1480 train_time:220118ms step_avg:655.11ms
step:337/1480 train_time:220765ms step_avg:655.09ms
step:338/1480 train_time:221422ms step_avg:655.10ms
step:339/1480 train_time:222069ms step_avg:655.07ms
step:340/1480 train_time:222726ms step_avg:655.08ms
step:341/1480 train_time:223373ms step_avg:655.05ms
step:342/1480 train_time:224030ms step_avg:655.06ms
step:343/1480 train_time:224677ms step_avg:655.03ms
step:344/1480 train_time:225334ms step_avg:655.04ms
step:345/1480 train_time:225980ms step_avg:655.01ms
step:346/1480 train_time:226638ms step_avg:655.02ms
step:347/1480 train_time:227284ms step_avg:655.00ms
step:348/1480 train_time:227942ms step_avg:655.01ms
step:349/1480 train_time:228589ms step_avg:654.98ms
step:350/1480 train_time:229246ms step_avg:654.99ms
step:351/1480 train_time:229892ms step_avg:654.96ms
step:352/1480 train_time:230550ms step_avg:654.97ms
step:353/1480 train_time:231196ms step_avg:654.95ms
step:354/1480 train_time:231854ms step_avg:654.95ms
step:355/1480 train_time:232501ms step_avg:654.93ms
step:356/1480 train_time:233160ms step_avg:654.94ms
step:357/1480 train_time:233806ms step_avg:654.92ms
step:358/1480 train_time:234464ms step_avg:654.93ms
step:359/1480 train_time:235110ms step_avg:654.90ms
step:360/1480 train_time:235768ms step_avg:654.91ms
step:361/1480 train_time:236414ms step_avg:654.89ms
step:362/1480 train_time:237072ms step_avg:654.90ms
step:363/1480 train_time:237720ms step_avg:654.88ms
step:364/1480 train_time:238378ms step_avg:654.88ms
step:365/1480 train_time:239024ms step_avg:654.86ms
step:366/1480 train_time:239682ms step_avg:654.87ms
step:367/1480 train_time:240329ms step_avg:654.85ms
step:368/1480 train_time:240987ms step_avg:654.86ms
step:369/1480 train_time:241633ms step_avg:654.83ms
step:370/1480 train_time:242292ms step_avg:654.84ms
step:371/1480 train_time:242939ms step_avg:654.82ms
step:372/1480 train_time:243597ms step_avg:654.83ms
step:373/1480 train_time:244245ms step_avg:654.81ms
step:374/1480 train_time:244903ms step_avg:654.82ms
step:375/1480 train_time:245550ms step_avg:654.80ms
step:376/1480 train_time:246208ms step_avg:654.81ms
step:377/1480 train_time:246856ms step_avg:654.79ms
step:378/1480 train_time:247514ms step_avg:654.80ms
step:379/1480 train_time:248161ms step_avg:654.78ms
step:380/1480 train_time:248820ms step_avg:654.79ms
step:381/1480 train_time:249469ms step_avg:654.77ms
step:382/1480 train_time:250128ms step_avg:654.78ms
step:383/1480 train_time:250775ms step_avg:654.77ms
step:384/1480 train_time:251435ms step_avg:654.78ms
step:385/1480 train_time:252083ms step_avg:654.76ms
step:386/1480 train_time:252742ms step_avg:654.77ms
step:387/1480 train_time:253390ms step_avg:654.76ms
step:388/1480 train_time:254050ms step_avg:654.77ms
step:389/1480 train_time:254698ms step_avg:654.75ms
step:390/1480 train_time:255357ms step_avg:654.76ms
step:391/1480 train_time:256005ms step_avg:654.74ms
step:392/1480 train_time:256664ms step_avg:654.75ms
step:393/1480 train_time:257312ms step_avg:654.74ms
step:394/1480 train_time:257971ms step_avg:654.75ms
step:395/1480 train_time:258619ms step_avg:654.73ms
step:396/1480 train_time:259279ms step_avg:654.74ms
step:397/1480 train_time:259927ms step_avg:654.73ms
step:398/1480 train_time:260586ms step_avg:654.74ms
step:399/1480 train_time:261235ms step_avg:654.72ms
step:400/1480 train_time:261895ms step_avg:654.74ms
step:401/1480 train_time:262543ms step_avg:654.72ms
step:402/1480 train_time:263203ms step_avg:654.73ms
step:403/1480 train_time:263851ms step_avg:654.72ms
step:404/1480 train_time:264510ms step_avg:654.73ms
step:405/1480 train_time:265158ms step_avg:654.71ms
step:406/1480 train_time:265817ms step_avg:654.72ms
step:407/1480 train_time:266465ms step_avg:654.71ms
step:408/1480 train_time:267126ms step_avg:654.72ms
step:409/1480 train_time:267774ms step_avg:654.70ms
step:410/1480 train_time:268434ms step_avg:654.72ms
step:411/1480 train_time:269082ms step_avg:654.70ms
step:412/1480 train_time:269742ms step_avg:654.71ms
step:413/1480 train_time:270391ms step_avg:654.70ms
step:414/1480 train_time:271051ms step_avg:654.71ms
step:415/1480 train_time:271700ms step_avg:654.70ms
step:416/1480 train_time:272359ms step_avg:654.71ms
step:417/1480 train_time:273008ms step_avg:654.70ms
step:418/1480 train_time:273668ms step_avg:654.71ms
step:419/1480 train_time:274315ms step_avg:654.69ms
step:420/1480 train_time:274974ms step_avg:654.70ms
step:421/1480 train_time:275623ms step_avg:654.69ms
step:422/1480 train_time:276282ms step_avg:654.70ms
step:423/1480 train_time:276931ms step_avg:654.68ms
step:424/1480 train_time:277590ms step_avg:654.69ms
step:425/1480 train_time:278239ms step_avg:654.68ms
step:426/1480 train_time:278898ms step_avg:654.69ms
step:427/1480 train_time:279547ms step_avg:654.68ms
step:428/1480 train_time:280207ms step_avg:654.69ms
step:429/1480 train_time:280855ms step_avg:654.67ms
step:430/1480 train_time:281515ms step_avg:654.69ms
step:431/1480 train_time:282163ms step_avg:654.67ms
step:432/1480 train_time:282822ms step_avg:654.68ms
step:433/1480 train_time:283471ms step_avg:654.67ms
step:434/1480 train_time:284130ms step_avg:654.68ms
step:435/1480 train_time:284779ms step_avg:654.66ms
step:436/1480 train_time:285440ms step_avg:654.68ms
step:437/1480 train_time:286088ms step_avg:654.66ms
step:438/1480 train_time:286748ms step_avg:654.68ms
step:439/1480 train_time:287397ms step_avg:654.66ms
step:440/1480 train_time:288058ms step_avg:654.68ms
step:441/1480 train_time:288706ms step_avg:654.66ms
step:442/1480 train_time:289366ms step_avg:654.67ms
step:443/1480 train_time:290015ms step_avg:654.66ms
step:444/1480 train_time:290677ms step_avg:654.68ms
step:445/1480 train_time:291326ms step_avg:654.66ms
step:446/1480 train_time:291987ms step_avg:654.68ms
step:447/1480 train_time:292635ms step_avg:654.67ms
step:448/1480 train_time:293295ms step_avg:654.68ms
step:449/1480 train_time:293944ms step_avg:654.66ms
step:450/1480 train_time:294605ms step_avg:654.68ms
step:451/1480 train_time:295255ms step_avg:654.67ms
step:452/1480 train_time:295915ms step_avg:654.68ms
step:453/1480 train_time:296565ms step_avg:654.67ms
step:454/1480 train_time:297225ms step_avg:654.68ms
step:455/1480 train_time:297875ms step_avg:654.67ms
step:456/1480 train_time:298534ms step_avg:654.68ms
step:457/1480 train_time:299182ms step_avg:654.67ms
step:458/1480 train_time:299842ms step_avg:654.68ms
step:459/1480 train_time:300490ms step_avg:654.66ms
step:460/1480 train_time:301149ms step_avg:654.67ms
step:461/1480 train_time:301796ms step_avg:654.66ms
step:462/1480 train_time:302455ms step_avg:654.67ms
step:463/1480 train_time:303103ms step_avg:654.65ms
step:464/1480 train_time:303762ms step_avg:654.66ms
step:465/1480 train_time:304409ms step_avg:654.64ms
step:466/1480 train_time:305068ms step_avg:654.65ms
step:467/1480 train_time:305716ms step_avg:654.64ms
step:468/1480 train_time:306376ms step_avg:654.65ms
step:469/1480 train_time:307025ms step_avg:654.64ms
step:470/1480 train_time:307686ms step_avg:654.65ms
step:471/1480 train_time:308334ms step_avg:654.64ms
step:472/1480 train_time:308993ms step_avg:654.65ms
step:473/1480 train_time:309642ms step_avg:654.63ms
step:474/1480 train_time:310301ms step_avg:654.64ms
step:475/1480 train_time:310949ms step_avg:654.63ms
step:476/1480 train_time:311608ms step_avg:654.64ms
step:477/1480 train_time:312255ms step_avg:654.62ms
step:478/1480 train_time:312915ms step_avg:654.63ms
step:479/1480 train_time:313561ms step_avg:654.62ms
step:480/1480 train_time:314219ms step_avg:654.62ms
step:481/1480 train_time:315547ms step_avg:656.02ms
step:482/1480 train_time:316885ms step_avg:657.44ms
step:483/1480 train_time:318204ms step_avg:658.81ms
step:484/1480 train_time:319543ms step_avg:660.21ms
step:485/1480 train_time:320864ms step_avg:661.58ms
step:486/1480 train_time:322201ms step_avg:662.96ms
step:487/1480 train_time:323523ms step_avg:664.32ms
step:488/1480 train_time:324861ms step_avg:665.70ms
step:489/1480 train_time:326183ms step_avg:667.04ms
step:490/1480 train_time:327520ms step_avg:668.41ms
step:491/1480 train_time:328841ms step_avg:669.74ms
