[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam0p25_bf5_h6k4v16_500_20260512_222159.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam0p25_bf5_h6k4v16_500_20260512_222159 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=0.25 rom_sparse_adam_beta2=0.95 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9383 train_time:0ms step_avg:0.03ms
step:1/500 train_time:545ms step_avg:544.93ms
step:2/500 train_time:1149ms step_avg:574.43ms
step:3/500 train_time:1678ms step_avg:559.42ms
step:4/500 train_time:2282ms step_avg:570.42ms
step:5/500 train_time:2811ms step_avg:562.15ms
step:6/500 train_time:3415ms step_avg:569.09ms
step:7/500 train_time:3944ms step_avg:563.44ms
step:8/500 train_time:4548ms step_avg:568.45ms
step:9/500 train_time:5077ms step_avg:564.12ms
step:10/500 train_time:5681ms step_avg:568.11ms
step:11/500 train_time:6211ms step_avg:564.67ms
step:12/500 train_time:6817ms step_avg:568.05ms
step:13/500 train_time:7346ms step_avg:565.11ms
step:14/500 train_time:7951ms step_avg:567.91ms
step:15/500 train_time:8480ms step_avg:565.36ms
step:16/500 train_time:9084ms step_avg:567.78ms
step:17/500 train_time:9614ms step_avg:565.55ms
step:18/500 train_time:10219ms step_avg:567.70ms
step:19/500 train_time:10748ms step_avg:565.70ms
step:20/500 train_time:11352ms step_avg:567.61ms
step:21/500 train_time:11882ms step_avg:565.80ms
step:22/500 train_time:12486ms step_avg:567.54ms
step:23/500 train_time:13015ms step_avg:565.88ms
step:24/500 train_time:13619ms step_avg:567.47ms
step:25/500 train_time:14149ms step_avg:565.96ms
step:26/500 train_time:14753ms step_avg:567.43ms
step:27/500 train_time:15283ms step_avg:566.03ms
step:28/500 train_time:15887ms step_avg:567.38ms
step:29/500 train_time:16416ms step_avg:566.08ms
step:30/500 train_time:17020ms step_avg:567.34ms
step:31/500 train_time:17550ms step_avg:566.12ms
step:32/500 train_time:18154ms step_avg:567.30ms
step:33/500 train_time:18683ms step_avg:566.16ms
step:34/500 train_time:19287ms step_avg:567.27ms
step:35/500 train_time:19817ms step_avg:566.19ms
step:36/500 train_time:20421ms step_avg:567.24ms
step:37/500 train_time:20950ms step_avg:566.22ms
step:38/500 train_time:21554ms step_avg:567.21ms
step:39/500 train_time:22084ms step_avg:566.25ms
step:40/500 train_time:22687ms step_avg:567.18ms
step:41/500 train_time:23217ms step_avg:566.26ms
step:42/500 train_time:23821ms step_avg:567.16ms
step:43/500 train_time:24350ms step_avg:566.28ms
step:44/500 train_time:24954ms step_avg:567.14ms
step:45/500 train_time:25483ms step_avg:566.30ms
step:46/500 train_time:26087ms step_avg:567.11ms
step:47/500 train_time:26616ms step_avg:566.31ms
step:48/500 train_time:27220ms step_avg:567.09ms
step:49/500 train_time:27749ms step_avg:566.32ms
step:50/500 train_time:28353ms step_avg:567.06ms
step:51/500 train_time:28883ms step_avg:566.33ms
step:52/500 train_time:29486ms step_avg:567.05ms
step:53/500 train_time:30016ms step_avg:566.33ms
step:54/500 train_time:30619ms step_avg:567.02ms
step:55/500 train_time:31149ms step_avg:566.34ms
step:56/500 train_time:31752ms step_avg:567.01ms
step:57/500 train_time:32282ms step_avg:566.35ms
step:58/500 train_time:32885ms step_avg:566.99ms
step:59/500 train_time:33415ms step_avg:566.35ms
step:60/500 train_time:34019ms step_avg:566.98ms
step:61/500 train_time:34548ms step_avg:566.36ms
step:62/500 train_time:35152ms step_avg:566.96ms
step:63/500 train_time:35681ms step_avg:566.36ms
step:64/500 train_time:36285ms step_avg:566.96ms
step:65/500 train_time:36815ms step_avg:566.38ms
step:66/500 train_time:37418ms step_avg:566.95ms
step:67/500 train_time:37948ms step_avg:566.39ms
step:68/500 train_time:38552ms step_avg:566.94ms
step:69/500 train_time:39081ms step_avg:566.39ms
step:70/500 train_time:39685ms step_avg:566.94ms
step:71/500 train_time:40215ms step_avg:566.41ms
step:72/500 train_time:40818ms step_avg:566.92ms
step:73/500 train_time:41348ms step_avg:566.41ms
step:74/500 train_time:41952ms step_avg:566.92ms
step:75/500 train_time:42482ms step_avg:566.42ms
step:76/500 train_time:43085ms step_avg:566.91ms
step:77/500 train_time:43615ms step_avg:566.42ms
step:78/500 train_time:44219ms step_avg:566.91ms
step:79/500 train_time:44748ms step_avg:566.43ms
step:80/500 train_time:45352ms step_avg:566.90ms
step:81/500 train_time:45881ms step_avg:566.44ms
step:82/500 train_time:46485ms step_avg:566.89ms
step:83/500 train_time:47015ms step_avg:566.44ms
step:84/500 train_time:47618ms step_avg:566.88ms
step:85/500 train_time:48147ms step_avg:566.44ms
step:86/500 train_time:48751ms step_avg:566.88ms
step:87/500 train_time:49281ms step_avg:566.45ms
step:88/500 train_time:49884ms step_avg:566.87ms
step:89/500 train_time:50414ms step_avg:566.44ms
step:90/500 train_time:51017ms step_avg:566.86ms
step:91/500 train_time:51547ms step_avg:566.45ms
step:92/500 train_time:52150ms step_avg:566.85ms
step:93/500 train_time:52680ms step_avg:566.45ms
step:94/500 train_time:53283ms step_avg:566.84ms
step:95/500 train_time:53813ms step_avg:566.45ms
step:96/500 train_time:54417ms step_avg:566.84ms
step:97/500 train_time:54946ms step_avg:566.45ms
step:98/500 train_time:55550ms step_avg:566.83ms
step:99/500 train_time:56079ms step_avg:566.46ms
step:100/500 train_time:56683ms step_avg:566.83ms
step:101/500 train_time:57212ms step_avg:566.46ms
step:102/500 train_time:57816ms step_avg:566.82ms
step:103/500 train_time:58345ms step_avg:566.46ms
step:104/500 train_time:58949ms step_avg:566.82ms
step:105/500 train_time:59478ms step_avg:566.46ms
step:106/500 train_time:60082ms step_avg:566.81ms
step:107/500 train_time:60611ms step_avg:566.46ms
step:108/500 train_time:61215ms step_avg:566.81ms
step:109/500 train_time:61745ms step_avg:566.46ms
step:110/500 train_time:62348ms step_avg:566.80ms
step:111/500 train_time:62878ms step_avg:566.47ms
step:112/500 train_time:63481ms step_avg:566.80ms
step:113/500 train_time:64011ms step_avg:566.47ms
step:114/500 train_time:64614ms step_avg:566.79ms
step:115/500 train_time:65144ms step_avg:566.47ms
step:116/500 train_time:65748ms step_avg:566.79ms
step:117/500 train_time:66277ms step_avg:566.47ms
step:118/500 train_time:66881ms step_avg:566.79ms
step:119/500 train_time:67410ms step_avg:566.47ms
step:120/500 train_time:68014ms step_avg:566.78ms
step:121/500 train_time:68543ms step_avg:566.47ms
step:122/500 train_time:69147ms step_avg:566.78ms
step:123/500 train_time:69676ms step_avg:566.47ms
step:124/500 train_time:70280ms step_avg:566.77ms
step:125/500 train_time:70810ms step_avg:566.48ms
