[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam0p5_beta2near1_bf5_h6k4v16_500_20260512_225136.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam0p5_beta2near1_bf5_h6k4v16_500_20260512_225136 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=0.5 rom_sparse_adam_beta2=0.999999 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9399 train_time:0ms step_avg:0.03ms
step:1/500 train_time:551ms step_avg:551.37ms
step:2/500 train_time:1155ms step_avg:577.67ms
step:3/500 train_time:1685ms step_avg:561.54ms
step:4/500 train_time:2288ms step_avg:572.07ms
step:5/500 train_time:2817ms step_avg:563.48ms
step:6/500 train_time:3421ms step_avg:570.22ms
step:7/500 train_time:3951ms step_avg:564.39ms
step:8/500 train_time:4555ms step_avg:569.33ms
step:9/500 train_time:5084ms step_avg:564.90ms
step:10/500 train_time:5688ms step_avg:568.81ms
step:11/500 train_time:6218ms step_avg:565.25ms
step:12/500 train_time:6822ms step_avg:568.49ms
step:13/500 train_time:7352ms step_avg:565.51ms
step:14/500 train_time:7956ms step_avg:568.28ms
step:15/500 train_time:8485ms step_avg:565.70ms
step:16/500 train_time:9090ms step_avg:568.10ms
step:17/500 train_time:9620ms step_avg:565.85ms
step:18/500 train_time:10224ms step_avg:568.00ms
step:19/500 train_time:10754ms step_avg:565.98ms
step:20/500 train_time:11358ms step_avg:567.90ms
step:21/500 train_time:11887ms step_avg:566.07ms
step:22/500 train_time:12492ms step_avg:567.80ms
step:23/500 train_time:13021ms step_avg:566.13ms
step:24/500 train_time:13625ms step_avg:567.72ms
step:25/500 train_time:14155ms step_avg:566.21ms
step:26/500 train_time:14759ms step_avg:567.66ms
step:27/500 train_time:15289ms step_avg:566.25ms
step:28/500 train_time:15893ms step_avg:567.60ms
step:29/500 train_time:16422ms step_avg:566.29ms
step:30/500 train_time:17027ms step_avg:567.55ms
step:31/500 train_time:17556ms step_avg:566.32ms
step:32/500 train_time:18160ms step_avg:567.51ms
step:33/500 train_time:18690ms step_avg:566.37ms
step:34/500 train_time:19294ms step_avg:567.48ms
step:35/500 train_time:19824ms step_avg:566.41ms
step:36/500 train_time:20428ms step_avg:567.45ms
step:37/500 train_time:20958ms step_avg:566.43ms
step:38/500 train_time:21563ms step_avg:567.43ms
step:39/500 train_time:22092ms step_avg:566.46ms
step:40/500 train_time:22696ms step_avg:567.40ms
step:41/500 train_time:23226ms step_avg:566.48ms
step:42/500 train_time:23830ms step_avg:567.37ms
step:43/500 train_time:24359ms step_avg:566.49ms
step:44/500 train_time:24963ms step_avg:567.35ms
step:45/500 train_time:25492ms step_avg:566.50ms
step:46/500 train_time:26096ms step_avg:567.31ms
step:47/500 train_time:26626ms step_avg:566.51ms
step:48/500 train_time:27230ms step_avg:567.29ms
step:49/500 train_time:27759ms step_avg:566.51ms
