[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam0p5_beta2zero_bf5_h6k4v16_500_20260512_223638.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam0p5_beta2zero_bf5_h6k4v16_500_20260512_223638 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=0.5 rom_sparse_adam_beta2=0.0 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9390 train_time:0ms step_avg:0.03ms
step:1/500 train_time:546ms step_avg:545.95ms
step:2/500 train_time:1150ms step_avg:574.93ms
step:3/500 train_time:1679ms step_avg:559.70ms
step:4/500 train_time:2283ms step_avg:570.68ms
step:5/500 train_time:2812ms step_avg:562.39ms
step:6/500 train_time:3416ms step_avg:569.32ms
step:7/500 train_time:3945ms step_avg:563.57ms
step:8/500 train_time:4549ms step_avg:568.59ms
step:9/500 train_time:5078ms step_avg:564.21ms
step:10/500 train_time:5682ms step_avg:568.20ms
step:11/500 train_time:6212ms step_avg:564.69ms
step:12/500 train_time:6815ms step_avg:567.95ms
step:13/500 train_time:7345ms step_avg:565.00ms
step:14/500 train_time:7949ms step_avg:567.78ms
step:15/500 train_time:8479ms step_avg:565.24ms
step:16/500 train_time:9082ms step_avg:567.65ms
step:17/500 train_time:9612ms step_avg:565.43ms
step:18/500 train_time:10216ms step_avg:567.56ms
step:19/500 train_time:10746ms step_avg:565.57ms
step:20/500 train_time:11350ms step_avg:567.48ms
step:21/500 train_time:11879ms step_avg:565.68ms
step:22/500 train_time:12483ms step_avg:567.42ms
step:23/500 train_time:13013ms step_avg:565.77ms
step:24/500 train_time:13617ms step_avg:567.36ms
step:25/500 train_time:14146ms step_avg:565.86ms
step:26/500 train_time:14750ms step_avg:567.32ms
step:27/500 train_time:15280ms step_avg:565.92ms
step:28/500 train_time:15884ms step_avg:567.28ms
step:29/500 train_time:16413ms step_avg:565.98ms
step:30/500 train_time:17017ms step_avg:567.24ms
step:31/500 train_time:17546ms step_avg:566.02ms
step:32/500 train_time:18150ms step_avg:567.20ms
step:33/500 train_time:18680ms step_avg:566.06ms
step:34/500 train_time:19284ms step_avg:567.17ms
step:35/500 train_time:19813ms step_avg:566.09ms
step:36/500 train_time:20417ms step_avg:567.14ms
step:37/500 train_time:20946ms step_avg:566.12ms
step:38/500 train_time:21550ms step_avg:567.12ms
step:39/500 train_time:22080ms step_avg:566.15ms
step:40/500 train_time:22684ms step_avg:567.09ms
step:41/500 train_time:23213ms step_avg:566.17ms
step:42/500 train_time:23817ms step_avg:567.07ms
step:43/500 train_time:24346ms step_avg:566.19ms
step:44/500 train_time:24950ms step_avg:567.04ms
step:45/500 train_time:25479ms step_avg:566.21ms
step:46/500 train_time:26083ms step_avg:567.02ms
step:47/500 train_time:26612ms step_avg:566.22ms
step:48/500 train_time:27216ms step_avg:567.01ms
