[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparseadam10_bf5_h6k4v16_500_20260512_210041.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparseadam10_bf5_h6k4v16_500_20260512_210041 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=1 rom_sparse_adam_lr_mul=10.0 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9391 train_time:0ms step_avg:0.03ms
step:1/500 train_time:543ms step_avg:542.67ms
step:2/500 train_time:1147ms step_avg:573.28ms
step:3/500 train_time:1676ms step_avg:558.75ms
step:4/500 train_time:2280ms step_avg:569.99ms
step:5/500 train_time:2809ms step_avg:561.84ms
step:6/500 train_time:3413ms step_avg:568.84ms
step:7/500 train_time:3942ms step_avg:563.20ms
step:8/500 train_time:4546ms step_avg:568.27ms
step:9/500 train_time:5075ms step_avg:563.94ms
step:10/500 train_time:5679ms step_avg:567.94ms
step:11/500 train_time:6209ms step_avg:564.46ms
step:12/500 train_time:6813ms step_avg:567.78ms
step:13/500 train_time:7343ms step_avg:564.85ms
step:14/500 train_time:7947ms step_avg:567.64ms
step:15/500 train_time:8476ms step_avg:565.10ms
step:16/500 train_time:9080ms step_avg:567.53ms
step:17/500 train_time:9610ms step_avg:565.31ms
step:18/500 train_time:10214ms step_avg:567.46ms
step:19/500 train_time:10744ms step_avg:565.49ms
step:20/500 train_time:11348ms step_avg:567.41ms
step:21/500 train_time:11878ms step_avg:565.62ms
step:22/500 train_time:12482ms step_avg:567.37ms
step:23/500 train_time:13012ms step_avg:565.73ms
step:24/500 train_time:13616ms step_avg:567.32ms
step:25/500 train_time:14145ms step_avg:565.81ms
step:26/500 train_time:14749ms step_avg:567.28ms
step:27/500 train_time:15279ms step_avg:565.88ms
step:28/500 train_time:15883ms step_avg:567.25ms
step:29/500 train_time:16412ms step_avg:565.95ms
step:30/500 train_time:17016ms step_avg:567.21ms
step:31/500 train_time:17546ms step_avg:566.00ms
step:32/500 train_time:18150ms step_avg:567.18ms
step:33/500 train_time:18679ms step_avg:566.04ms
step:34/500 train_time:19283ms step_avg:567.15ms
step:35/500 train_time:19813ms step_avg:566.07ms
step:36/500 train_time:20417ms step_avg:567.13ms
step:37/500 train_time:20946ms step_avg:566.12ms
step:38/500 train_time:21550ms step_avg:567.12ms
step:39/500 train_time:22080ms step_avg:566.15ms
step:40/500 train_time:22684ms step_avg:567.09ms
step:41/500 train_time:23213ms step_avg:566.17ms
step:42/500 train_time:23817ms step_avg:567.07ms
step:43/500 train_time:24346ms step_avg:566.19ms
step:44/500 train_time:24950ms step_avg:567.05ms
step:45/500 train_time:25479ms step_avg:566.21ms
step:46/500 train_time:26084ms step_avg:567.03ms
step:47/500 train_time:26613ms step_avg:566.23ms
step:48/500 train_time:27216ms step_avg:567.01ms
step:49/500 train_time:27746ms step_avg:566.24ms
step:50/500 train_time:28350ms step_avg:566.99ms
step:51/500 train_time:28879ms step_avg:566.26ms
step:52/500 train_time:29483ms step_avg:566.98ms
step:53/500 train_time:30012ms step_avg:566.27ms
step:54/500 train_time:30616ms step_avg:566.97ms
step:55/500 train_time:31146ms step_avg:566.29ms
step:56/500 train_time:31750ms step_avg:566.96ms
step:57/500 train_time:32279ms step_avg:566.30ms
step:58/500 train_time:32883ms step_avg:566.95ms
step:59/500 train_time:33412ms step_avg:566.31ms
step:60/500 train_time:34016ms step_avg:566.94ms
step:61/500 train_time:34546ms step_avg:566.32ms
step:62/500 train_time:35150ms step_avg:566.93ms
step:63/500 train_time:35679ms step_avg:566.33ms
step:64/500 train_time:36283ms step_avg:566.92ms
step:65/500 train_time:36812ms step_avg:566.35ms
step:66/500 train_time:37416ms step_avg:566.91ms
step:67/500 train_time:37946ms step_avg:566.35ms
step:68/500 train_time:38549ms step_avg:566.90ms
step:69/500 train_time:39079ms step_avg:566.36ms
step:70/500 train_time:39683ms step_avg:566.90ms
step:71/500 train_time:40212ms step_avg:566.36ms
step:72/500 train_time:40815ms step_avg:566.88ms
step:73/500 train_time:41345ms step_avg:566.37ms
step:74/500 train_time:41949ms step_avg:566.88ms
step:75/500 train_time:42478ms step_avg:566.38ms
step:76/500 train_time:43082ms step_avg:566.87ms
step:77/500 train_time:43611ms step_avg:566.38ms
step:78/500 train_time:44215ms step_avg:566.86ms
step:79/500 train_time:44745ms step_avg:566.39ms
step:80/500 train_time:45348ms step_avg:566.86ms
step:81/500 train_time:45878ms step_avg:566.39ms
step:82/500 train_time:46482ms step_avg:566.85ms
step:83/500 train_time:47011ms step_avg:566.40ms
step:84/500 train_time:47615ms step_avg:566.85ms
step:85/500 train_time:48144ms step_avg:566.40ms
step:86/500 train_time:48748ms step_avg:566.84ms
step:87/500 train_time:49278ms step_avg:566.41ms
step:88/500 train_time:49882ms step_avg:566.84ms
step:89/500 train_time:50411ms step_avg:566.41ms
