[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230715.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230715 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=0 rom_engram_gate=0 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_mqa=0 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4 rom_state_sparse_embedding=1 rom_state_sparse_adam=0 rom_state_sparse_sgd=1 rom_sparse_adam_lr_mul=5.0 rom_sparse_adam_beta2=0.95 rom_sparse_sgd_lr_mul=0.5 rom_sparse_sgd_momentum=0.9 rom_table_nonemb_mult=0.0 rom_non_embedding_params= rom_target_state_params=
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 165, 166, 167, 168, 331, 332, 333, 334, 498, 499, 500] for warmup
Resetting Model
step:0/500 val_loss:18.9377 train_time:0ms step_avg:0.03ms
step:1/500 train_time:544ms step_avg:543.78ms
step:2/500 train_time:1147ms step_avg:573.68ms
step:3/500 train_time:1676ms step_avg:558.77ms
step:4/500 train_time:2279ms step_avg:569.85ms
step:5/500 train_time:2808ms step_avg:561.56ms
step:6/500 train_time:3411ms step_avg:568.52ms
step:7/500 train_time:3940ms step_avg:562.85ms
step:8/500 train_time:4543ms step_avg:567.90ms
step:9/500 train_time:5072ms step_avg:563.56ms
step:10/500 train_time:5675ms step_avg:567.54ms
step:11/500 train_time:6205ms step_avg:564.05ms
step:12/500 train_time:6808ms step_avg:567.35ms
step:13/500 train_time:7337ms step_avg:564.42ms
step:14/500 train_time:7941ms step_avg:567.20ms
step:15/500 train_time:8470ms step_avg:564.67ms
step:16/500 train_time:9074ms step_avg:567.10ms
step:17/500 train_time:9603ms step_avg:564.88ms
step:18/500 train_time:10207ms step_avg:567.03ms
step:19/500 train_time:10736ms step_avg:565.05ms
step:20/500 train_time:11339ms step_avg:566.97ms
step:21/500 train_time:11869ms step_avg:565.17ms
step:22/500 train_time:12472ms step_avg:566.91ms
step:23/500 train_time:13001ms step_avg:565.26ms
step:24/500 train_time:13605ms step_avg:566.87ms
step:25/500 train_time:14134ms step_avg:565.37ms
step:26/500 train_time:14738ms step_avg:566.84ms
step:27/500 train_time:15267ms step_avg:565.44ms
step:28/500 train_time:15870ms step_avg:566.80ms
step:29/500 train_time:16400ms step_avg:565.51ms
step:30/500 train_time:17003ms step_avg:566.77ms
step:31/500 train_time:17532ms step_avg:565.56ms
step:32/500 train_time:18136ms step_avg:566.75ms
step:33/500 train_time:18665ms step_avg:565.61ms
step:34/500 train_time:19269ms step_avg:566.73ms
step:35/500 train_time:19798ms step_avg:565.65ms
step:36/500 train_time:20401ms step_avg:566.70ms
step:37/500 train_time:20931ms step_avg:565.69ms
step:38/500 train_time:21534ms step_avg:566.69ms
step:39/500 train_time:22063ms step_avg:565.72ms
step:40/500 train_time:22666ms step_avg:566.66ms
step:41/500 train_time:23196ms step_avg:565.76ms
step:42/500 train_time:23799ms step_avg:566.64ms
step:43/500 train_time:24328ms step_avg:565.77ms
step:44/500 train_time:24932ms step_avg:566.63ms
step:45/500 train_time:25461ms step_avg:565.79ms
step:46/500 train_time:26064ms step_avg:566.61ms
step:47/500 train_time:26593ms step_avg:565.81ms
step:48/500 train_time:27197ms step_avg:566.59ms
step:49/500 train_time:27725ms step_avg:565.82ms
step:50/500 train_time:28329ms step_avg:566.57ms
step:51/500 train_time:28858ms step_avg:565.85ms
step:52/500 train_time:29462ms step_avg:566.57ms
step:53/500 train_time:29991ms step_avg:565.86ms
step:54/500 train_time:30594ms step_avg:566.55ms
step:55/500 train_time:31123ms step_avg:565.87ms
step:56/500 train_time:31726ms step_avg:566.54ms
step:57/500 train_time:32255ms step_avg:565.87ms
step:58/500 train_time:32858ms step_avg:566.52ms
step:59/500 train_time:33387ms step_avg:565.88ms
step:60/500 train_time:33991ms step_avg:566.52ms
step:61/500 train_time:34520ms step_avg:565.90ms
step:62/500 train_time:35124ms step_avg:566.51ms
step:63/500 train_time:35652ms step_avg:565.91ms
step:64/500 train_time:36256ms step_avg:566.50ms
step:65/500 train_time:36785ms step_avg:565.92ms
step:66/500 train_time:37388ms step_avg:566.48ms
step:67/500 train_time:37917ms step_avg:565.92ms
step:68/500 train_time:38520ms step_avg:566.47ms
step:69/500 train_time:39049ms step_avg:565.93ms
step:70/500 train_time:39653ms step_avg:566.47ms
step:71/500 train_time:40181ms step_avg:565.94ms
step:72/500 train_time:40785ms step_avg:566.46ms
step:73/500 train_time:41314ms step_avg:565.94ms
step:74/500 train_time:41917ms step_avg:566.45ms
step:75/500 train_time:42446ms step_avg:565.94ms
step:76/500 train_time:43049ms step_avg:566.44ms
step:77/500 train_time:43578ms step_avg:565.95ms
step:78/500 train_time:44182ms step_avg:566.43ms
step:79/500 train_time:44710ms step_avg:565.95ms
step:80/500 train_time:45314ms step_avg:566.42ms
step:81/500 train_time:45842ms step_avg:565.96ms
step:82/500 train_time:46446ms step_avg:566.41ms
step:83/500 train_time:46975ms step_avg:565.96ms
step:84/500 train_time:47578ms step_avg:566.40ms
step:85/500 train_time:48107ms step_avg:565.96ms
step:86/500 train_time:48710ms step_avg:566.40ms
step:87/500 train_time:49239ms step_avg:565.97ms
step:88/500 train_time:49843ms step_avg:566.39ms
step:89/500 train_time:50371ms step_avg:565.97ms
step:90/500 train_time:50974ms step_avg:566.38ms
step:91/500 train_time:51503ms step_avg:565.97ms
step:92/500 train_time:52107ms step_avg:566.38ms
step:93/500 train_time:52635ms step_avg:565.97ms
step:94/500 train_time:53238ms step_avg:566.37ms
step:95/500 train_time:53767ms step_avg:565.97ms
step:96/500 train_time:54371ms step_avg:566.36ms
step:97/500 train_time:54900ms step_avg:565.98ms
step:98/500 train_time:55503ms step_avg:566.36ms
step:99/500 train_time:56032ms step_avg:565.98ms
step:100/500 train_time:56636ms step_avg:566.36ms
step:101/500 train_time:57165ms step_avg:565.99ms
step:102/500 train_time:57768ms step_avg:566.36ms
step:103/500 train_time:58297ms step_avg:565.99ms
step:104/500 train_time:58900ms step_avg:566.35ms
step:105/500 train_time:59429ms step_avg:565.99ms
step:106/500 train_time:60032ms step_avg:566.34ms
step:107/500 train_time:60561ms step_avg:565.99ms
step:108/500 train_time:61165ms step_avg:566.34ms
step:109/500 train_time:61694ms step_avg:566.00ms
step:110/500 train_time:62297ms step_avg:566.34ms
step:111/500 train_time:62826ms step_avg:566.00ms
step:112/500 train_time:63430ms step_avg:566.34ms
step:113/500 train_time:63958ms step_avg:566.00ms
step:114/500 train_time:64562ms step_avg:566.33ms
step:115/500 train_time:65091ms step_avg:566.01ms
step:116/500 train_time:65694ms step_avg:566.33ms
step:117/500 train_time:66223ms step_avg:566.01ms
step:118/500 train_time:66826ms step_avg:566.32ms
step:119/500 train_time:67355ms step_avg:566.01ms
step:120/500 train_time:67958ms step_avg:566.32ms
step:121/500 train_time:68487ms step_avg:566.01ms
step:122/500 train_time:69091ms step_avg:566.32ms
step:123/500 train_time:69620ms step_avg:566.01ms
step:124/500 train_time:70223ms step_avg:566.32ms
step:125/500 train_time:70752ms step_avg:566.02ms
step:126/500 train_time:71356ms step_avg:566.31ms
step:127/500 train_time:71885ms step_avg:566.02ms
step:128/500 train_time:72488ms step_avg:566.31ms
step:129/500 train_time:73017ms step_avg:566.02ms
step:130/500 train_time:73620ms step_avg:566.31ms
step:131/500 train_time:74148ms step_avg:566.02ms
step:132/500 train_time:74751ms step_avg:566.30ms
step:133/500 train_time:75280ms step_avg:566.02ms
step:134/500 train_time:75884ms step_avg:566.30ms
step:135/500 train_time:76413ms step_avg:566.02ms
step:136/500 train_time:77017ms step_avg:566.30ms
step:137/500 train_time:77545ms step_avg:566.02ms
step:138/500 train_time:78149ms step_avg:566.29ms
step:139/500 train_time:78678ms step_avg:566.03ms
step:140/500 train_time:79281ms step_avg:566.29ms
step:141/500 train_time:79809ms step_avg:566.02ms
step:142/500 train_time:80413ms step_avg:566.29ms
step:143/500 train_time:80941ms step_avg:566.02ms
step:144/500 train_time:81545ms step_avg:566.29ms
step:145/500 train_time:82074ms step_avg:566.03ms
step:146/500 train_time:82678ms step_avg:566.28ms
step:147/500 train_time:83206ms step_avg:566.03ms
step:148/500 train_time:83810ms step_avg:566.28ms
step:149/500 train_time:84338ms step_avg:566.03ms
step:150/500 train_time:84942ms step_avg:566.28ms
step:151/500 train_time:85471ms step_avg:566.03ms
step:152/500 train_time:86074ms step_avg:566.28ms
step:153/500 train_time:86603ms step_avg:566.03ms
step:154/500 train_time:87206ms step_avg:566.27ms
step:155/500 train_time:87735ms step_avg:566.03ms
step:156/500 train_time:88338ms step_avg:566.27ms
step:157/500 train_time:88867ms step_avg:566.03ms
step:158/500 train_time:89470ms step_avg:566.26ms
step:159/500 train_time:89998ms step_avg:566.03ms
step:160/500 train_time:90601ms step_avg:566.26ms
step:161/500 train_time:91130ms step_avg:566.03ms
step:162/500 train_time:91734ms step_avg:566.26ms
step:163/500 train_time:92262ms step_avg:566.02ms
step:164/500 train_time:92865ms step_avg:566.25ms
step:165/500 train_time:93394ms step_avg:566.03ms
step:166/500 train_time:93997ms step_avg:566.25ms
step:167/500 train_time:94526ms step_avg:566.02ms
step:168/500 train_time:95767ms step_avg:570.04ms
step:169/500 train_time:96897ms step_avg:573.35ms
step:170/500 train_time:98162ms step_avg:577.43ms
step:171/500 train_time:99294ms step_avg:580.66ms
step:172/500 train_time:100558ms step_avg:584.64ms
step:173/500 train_time:101689ms step_avg:587.80ms
step:174/500 train_time:102955ms step_avg:591.69ms
step:175/500 train_time:104086ms step_avg:594.78ms
step:176/500 train_time:105349ms step_avg:598.58ms
step:177/500 train_time:106481ms step_avg:601.59ms
step:178/500 train_time:107747ms step_avg:605.32ms
step:179/500 train_time:108877ms step_avg:608.25ms
step:180/500 train_time:110143ms step_avg:611.91ms
step:181/500 train_time:111274ms step_avg:614.77ms
step:182/500 train_time:112538ms step_avg:618.34ms
step:183/500 train_time:113668ms step_avg:621.14ms
step:184/500 train_time:114934ms step_avg:624.64ms
step:185/500 train_time:116065ms step_avg:627.38ms
step:186/500 train_time:117330ms step_avg:630.80ms
step:187/500 train_time:118460ms step_avg:633.48ms
step:188/500 train_time:119727ms step_avg:636.85ms
step:189/500 train_time:120858ms step_avg:639.46ms
step:190/500 train_time:122122ms step_avg:642.75ms
step:191/500 train_time:123255ms step_avg:645.31ms
step:192/500 train_time:124519ms step_avg:648.54ms
step:193/500 train_time:125651ms step_avg:651.04ms
step:194/500 train_time:126916ms step_avg:654.21ms
step:195/500 train_time:128046ms step_avg:656.65ms
step:196/500 train_time:129310ms step_avg:659.75ms
step:197/500 train_time:130442ms step_avg:662.14ms
step:198/500 train_time:131707ms step_avg:665.19ms
step:199/500 train_time:132838ms step_avg:667.53ms
step:200/500 train_time:134103ms step_avg:670.52ms
step:201/500 train_time:135233ms step_avg:672.80ms
step:202/500 train_time:136498ms step_avg:675.73ms
step:203/500 train_time:137630ms step_avg:677.98ms
step:204/500 train_time:138894ms step_avg:680.85ms
step:205/500 train_time:140026ms step_avg:683.05ms
step:206/500 train_time:141291ms step_avg:685.88ms
step:207/500 train_time:142420ms step_avg:688.02ms
step:208/500 train_time:143686ms step_avg:690.80ms
step:209/500 train_time:144818ms step_avg:692.91ms
step:210/500 train_time:146083ms step_avg:695.63ms
step:211/500 train_time:147213ms step_avg:697.69ms
step:212/500 train_time:148479ms step_avg:700.37ms
step:213/500 train_time:149609ms step_avg:702.39ms
step:214/500 train_time:150874ms step_avg:705.02ms
step:215/500 train_time:152005ms step_avg:707.00ms
step:216/500 train_time:153271ms step_avg:709.59ms
step:217/500 train_time:154402ms step_avg:711.53ms
step:218/500 train_time:155666ms step_avg:714.07ms
