[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_bigram100_rom_read_blackwell_sm120_20260511_235550.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=5030400 run_id=rom_bigram100_rom_read_blackwell_sm120_20260511_235550 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9424 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:610ms step_avg:610.44ms
step:2/1480 train_time:1259ms step_avg:629.56ms
step:3/1480 train_time:1931ms step_avg:643.61ms
step:4/1480 train_time:2580ms step_avg:644.92ms
step:5/1480 train_time:3251ms step_avg:650.18ms
step:6/1480 train_time:3900ms step_avg:650.03ms
step:7/1480 train_time:4572ms step_avg:653.14ms
step:8/1480 train_time:5221ms step_avg:652.66ms
step:9/1480 train_time:5893ms step_avg:654.75ms
step:10/1480 train_time:6542ms step_avg:654.23ms
step:11/1480 train_time:7215ms step_avg:655.90ms
step:12/1480 train_time:7864ms step_avg:655.31ms
step:13/1480 train_time:8535ms step_avg:656.56ms
step:14/1480 train_time:9185ms step_avg:656.06ms
step:15/1480 train_time:9857ms step_avg:657.11ms
step:16/1480 train_time:10506ms step_avg:656.64ms
step:17/1480 train_time:11178ms step_avg:657.52ms
step:18/1480 train_time:11827ms step_avg:657.07ms
step:19/1480 train_time:12499ms step_avg:657.84ms
step:20/1480 train_time:13148ms step_avg:657.40ms
step:21/1480 train_time:13820ms step_avg:658.09ms
step:22/1480 train_time:14469ms step_avg:657.68ms
step:23/1480 train_time:15141ms step_avg:658.28ms
step:24/1480 train_time:15790ms step_avg:657.91ms
step:25/1480 train_time:16463ms step_avg:658.50ms
step:26/1480 train_time:17111ms step_avg:658.13ms
step:27/1480 train_time:17783ms step_avg:658.61ms
step:28/1480 train_time:18432ms step_avg:658.28ms
step:29/1480 train_time:19103ms step_avg:658.73ms
step:30/1480 train_time:19752ms step_avg:658.41ms
step:31/1480 train_time:20424ms step_avg:658.83ms
step:32/1480 train_time:21073ms step_avg:658.54ms
step:33/1480 train_time:21745ms step_avg:658.93ms
step:34/1480 train_time:22394ms step_avg:658.63ms
step:35/1480 train_time:23065ms step_avg:659.00ms
step:36/1480 train_time:23714ms step_avg:658.73ms
step:37/1480 train_time:24386ms step_avg:659.07ms
step:38/1480 train_time:25035ms step_avg:658.81ms
step:39/1480 train_time:25706ms step_avg:659.13ms
step:40/1480 train_time:26355ms step_avg:658.88ms
step:41/1480 train_time:27027ms step_avg:659.19ms
step:42/1480 train_time:27676ms step_avg:658.95ms
step:43/1480 train_time:28347ms step_avg:659.24ms
step:44/1480 train_time:28997ms step_avg:659.01ms
step:45/1480 train_time:29668ms step_avg:659.28ms
step:46/1480 train_time:30317ms step_avg:659.06ms
step:47/1480 train_time:30988ms step_avg:659.32ms
step:48/1480 train_time:31637ms step_avg:659.11ms
step:49/1480 train_time:32309ms step_avg:659.36ms
step:50/1480 train_time:32958ms step_avg:659.16ms
step:51/1480 train_time:33629ms step_avg:659.40ms
step:52/1480 train_time:34278ms step_avg:659.20ms
step:53/1480 train_time:34949ms step_avg:659.42ms
