[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_bigram100_rom_write_blackwell_sm120_20260512_004218.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=5030400 run_id=rom_bigram100_rom_write_blackwell_sm120_20260512_004218 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9388 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:625ms step_avg:624.84ms
step:2/1480 train_time:1282ms step_avg:640.82ms
step:3/1480 train_time:1961ms step_avg:653.68ms
step:4/1480 train_time:2618ms step_avg:654.45ms
step:5/1480 train_time:3297ms step_avg:659.49ms
step:6/1480 train_time:3954ms step_avg:659.07ms
step:7/1480 train_time:4634ms step_avg:662.05ms
step:8/1480 train_time:5291ms step_avg:661.41ms
step:9/1480 train_time:5971ms step_avg:663.45ms
step:10/1480 train_time:6628ms step_avg:662.84ms
step:11/1480 train_time:7308ms step_avg:664.38ms
step:12/1480 train_time:7965ms step_avg:663.79ms
step:13/1480 train_time:8645ms step_avg:665.02ms
step:14/1480 train_time:9302ms step_avg:664.46ms
step:15/1480 train_time:9983ms step_avg:665.50ms
step:16/1480 train_time:10639ms step_avg:664.97ms
step:17/1480 train_time:11320ms step_avg:665.86ms
step:18/1480 train_time:11977ms step_avg:665.39ms
step:19/1480 train_time:12657ms step_avg:666.17ms
step:20/1480 train_time:13315ms step_avg:665.74ms
step:21/1480 train_time:13995ms step_avg:666.41ms
step:22/1480 train_time:14652ms step_avg:665.99ms
step:23/1480 train_time:15332ms step_avg:666.59ms
step:24/1480 train_time:15989ms step_avg:666.20ms
step:25/1480 train_time:16669ms step_avg:666.75ms
step:26/1480 train_time:17326ms step_avg:666.39ms
step:27/1480 train_time:18006ms step_avg:666.90ms
step:28/1480 train_time:18664ms step_avg:666.57ms
step:29/1480 train_time:19343ms step_avg:667.02ms
step:30/1480 train_time:20001ms step_avg:666.69ms
step:31/1480 train_time:20681ms step_avg:667.12ms
step:32/1480 train_time:21338ms step_avg:666.81ms
step:33/1480 train_time:22018ms step_avg:667.21ms
step:34/1480 train_time:22675ms step_avg:666.91ms
step:35/1480 train_time:23355ms step_avg:667.28ms
step:36/1480 train_time:24012ms step_avg:667.00ms
step:37/1480 train_time:24692ms step_avg:667.34ms
step:38/1480 train_time:25349ms step_avg:667.08ms
step:39/1480 train_time:26029ms step_avg:667.40ms
step:40/1480 train_time:26686ms step_avg:667.14ms
step:41/1480 train_time:27365ms step_avg:667.45ms
