[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_bigram25_fused_mlp_blackwell_sm120_20260511_230921.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=1257600 run_id=rom_bigram25_fused_mlp_blackwell_sm120_20260511_230921 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9372 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:576ms step_avg:575.60ms
step:2/1480 train_time:1179ms step_avg:589.48ms
step:3/1480 train_time:1794ms step_avg:598.09ms
step:4/1480 train_time:2397ms step_avg:599.27ms
step:5/1480 train_time:3012ms step_avg:602.42ms
step:6/1480 train_time:3615ms step_avg:602.52ms
step:7/1480 train_time:4230ms step_avg:604.34ms
step:8/1480 train_time:4834ms step_avg:604.21ms
step:9/1480 train_time:5449ms step_avg:605.42ms
step:10/1480 train_time:6052ms step_avg:605.21ms
step:11/1480 train_time:6668ms step_avg:606.15ms
step:12/1480 train_time:7271ms step_avg:605.94ms
step:13/1480 train_time:7887ms step_avg:606.67ms
step:14/1480 train_time:8490ms step_avg:606.42ms
step:15/1480 train_time:9105ms step_avg:607.03ms
step:16/1480 train_time:9709ms step_avg:606.80ms
step:17/1480 train_time:10324ms step_avg:607.31ms
step:18/1480 train_time:10927ms step_avg:607.08ms
step:19/1480 train_time:11543ms step_avg:607.52ms
step:20/1480 train_time:12146ms step_avg:607.31ms
step:21/1480 train_time:12762ms step_avg:607.70ms
step:22/1480 train_time:13365ms step_avg:607.51ms
step:23/1480 train_time:13981ms step_avg:607.86ms
step:24/1480 train_time:14584ms step_avg:607.68ms
step:25/1480 train_time:15200ms step_avg:608.01ms
step:26/1480 train_time:15803ms step_avg:607.83ms
step:27/1480 train_time:16419ms step_avg:608.12ms
step:28/1480 train_time:17023ms step_avg:607.96ms
step:29/1480 train_time:17639ms step_avg:608.23ms
step:30/1480 train_time:18242ms step_avg:608.06ms
step:31/1480 train_time:18858ms step_avg:608.31ms
step:32/1480 train_time:19461ms step_avg:608.16ms
step:33/1480 train_time:20077ms step_avg:608.39ms
step:34/1480 train_time:20680ms step_avg:608.24ms
step:35/1480 train_time:21296ms step_avg:608.45ms
step:36/1480 train_time:21899ms step_avg:608.31ms
step:37/1480 train_time:22515ms step_avg:608.51ms
step:38/1480 train_time:23118ms step_avg:608.37ms
step:39/1480 train_time:23734ms step_avg:608.57ms
step:40/1480 train_time:24337ms step_avg:608.43ms
step:41/1480 train_time:24953ms step_avg:608.61ms
step:42/1480 train_time:25556ms step_avg:608.48ms
step:43/1480 train_time:26172ms step_avg:608.64ms
step:44/1480 train_time:26775ms step_avg:608.52ms
step:45/1480 train_time:27390ms step_avg:608.67ms
step:46/1480 train_time:27994ms step_avg:608.56ms
step:47/1480 train_time:28609ms step_avg:608.70ms
step:48/1480 train_time:29212ms step_avg:608.59ms
step:49/1480 train_time:29828ms step_avg:608.73ms
step:50/1480 train_time:30431ms step_avg:608.63ms
step:51/1480 train_time:31047ms step_avg:608.76ms
step:52/1480 train_time:31650ms step_avg:608.65ms
step:53/1480 train_time:32265ms step_avg:608.78ms
step:54/1480 train_time:32868ms step_avg:608.67ms
