[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_bigram5_rom_l2_blackwell_sm120_20260512_065456.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_bigram5_rom_l2_blackwell_sm120_20260512_065456 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9372 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:563ms step_avg:562.88ms
step:2/1480 train_time:1131ms step_avg:565.72ms
step:3/1480 train_time:1701ms step_avg:567.13ms
step:4/1480 train_time:2270ms step_avg:567.44ms
step:5/1480 train_time:2840ms step_avg:568.00ms
step:6/1480 train_time:3409ms step_avg:568.09ms
step:7/1480 train_time:3979ms step_avg:568.41ms
step:8/1480 train_time:4547ms step_avg:568.41ms
step:9/1480 train_time:5117ms step_avg:568.60ms
step:10/1480 train_time:5686ms step_avg:568.60ms
step:11/1480 train_time:6257ms step_avg:568.78ms
step:12/1480 train_time:6825ms step_avg:568.78ms
step:13/1480 train_time:7396ms step_avg:568.92ms
step:14/1480 train_time:7965ms step_avg:568.92ms
step:15/1480 train_time:8536ms step_avg:569.05ms
step:16/1480 train_time:9105ms step_avg:569.09ms
step:17/1480 train_time:9676ms step_avg:569.21ms
step:18/1480 train_time:10245ms step_avg:569.19ms
step:19/1480 train_time:10816ms step_avg:569.24ms
step:20/1480 train_time:11385ms step_avg:569.23ms
step:21/1480 train_time:11955ms step_avg:569.29ms
step:22/1480 train_time:12525ms step_avg:569.30ms
step:23/1480 train_time:13095ms step_avg:569.34ms
step:24/1480 train_time:13664ms step_avg:569.32ms
step:25/1480 train_time:14234ms step_avg:569.37ms
step:26/1480 train_time:14803ms step_avg:569.36ms
step:27/1480 train_time:15373ms step_avg:569.39ms
step:28/1480 train_time:15943ms step_avg:569.38ms
step:29/1480 train_time:16513ms step_avg:569.40ms
step:30/1480 train_time:17081ms step_avg:569.37ms
step:31/1480 train_time:17652ms step_avg:569.41ms
step:32/1480 train_time:18221ms step_avg:569.41ms
step:33/1480 train_time:18791ms step_avg:569.42ms
step:34/1480 train_time:19360ms step_avg:569.40ms
step:35/1480 train_time:19930ms step_avg:569.43ms
step:36/1480 train_time:20499ms step_avg:569.41ms
step:37/1480 train_time:21069ms step_avg:569.44ms
step:38/1480 train_time:21638ms step_avg:569.42ms
step:39/1480 train_time:22209ms step_avg:569.46ms
step:40/1480 train_time:22778ms step_avg:569.44ms
step:41/1480 train_time:23348ms step_avg:569.46ms
step:42/1480 train_time:23917ms step_avg:569.45ms
step:43/1480 train_time:24488ms step_avg:569.48ms
step:44/1480 train_time:25056ms step_avg:569.45ms
step:45/1480 train_time:25626ms step_avg:569.46ms
step:46/1480 train_time:26194ms step_avg:569.44ms
step:47/1480 train_time:26765ms step_avg:569.46ms
step:48/1480 train_time:27333ms step_avg:569.44ms
step:49/1480 train_time:27904ms step_avg:569.46ms
step:50/1480 train_time:28472ms step_avg:569.44ms
step:51/1480 train_time:29042ms step_avg:569.46ms
step:52/1480 train_time:29611ms step_avg:569.44ms
step:53/1480 train_time:30181ms step_avg:569.46ms
step:54/1480 train_time:30750ms step_avg:569.44ms
step:55/1480 train_time:31320ms step_avg:569.45ms
step:56/1480 train_time:31888ms step_avg:569.43ms
step:57/1480 train_time:32459ms step_avg:569.46ms
step:58/1480 train_time:33027ms step_avg:569.44ms
step:59/1480 train_time:33597ms step_avg:569.45ms
step:60/1480 train_time:34166ms step_avg:569.43ms
step:61/1480 train_time:34736ms step_avg:569.45ms
step:62/1480 train_time:35305ms step_avg:569.43ms
step:63/1480 train_time:35875ms step_avg:569.44ms
step:64/1480 train_time:36443ms step_avg:569.42ms
step:65/1480 train_time:37014ms step_avg:569.44ms
step:66/1480 train_time:37582ms step_avg:569.43ms
step:67/1480 train_time:38152ms step_avg:569.44ms
step:68/1480 train_time:38721ms step_avg:569.43ms
step:69/1480 train_time:39291ms step_avg:569.44ms
step:70/1480 train_time:39860ms step_avg:569.43ms
step:71/1480 train_time:40431ms step_avg:569.45ms
step:72/1480 train_time:41000ms step_avg:569.44ms
step:73/1480 train_time:41569ms step_avg:569.44ms
step:74/1480 train_time:42138ms step_avg:569.43ms
step:75/1480 train_time:42708ms step_avg:569.44ms
step:76/1480 train_time:43276ms step_avg:569.42ms
step:77/1480 train_time:43846ms step_avg:569.43ms
step:78/1480 train_time:44414ms step_avg:569.42ms
step:79/1480 train_time:44984ms step_avg:569.42ms
step:80/1480 train_time:45553ms step_avg:569.41ms
step:81/1480 train_time:46123ms step_avg:569.42ms
step:82/1480 train_time:46691ms step_avg:569.41ms
step:83/1480 train_time:47261ms step_avg:569.41ms
