[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_l2_ga4_blackwell_sm120_20260512_085154.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_l2_ga4_blackwell_sm120_20260512_085154 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9344 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:555ms step_avg:555.32ms
step:2/1480 train_time:1156ms step_avg:578.21ms
step:3/1480 train_time:1756ms step_avg:585.19ms
step:4/1480 train_time:2357ms step_avg:589.21ms
step:5/1480 train_time:2956ms step_avg:591.16ms
step:6/1480 train_time:3557ms step_avg:592.82ms
step:7/1480 train_time:4156ms step_avg:593.74ms
step:8/1480 train_time:4758ms step_avg:594.70ms
step:9/1480 train_time:5357ms step_avg:595.20ms
step:10/1480 train_time:5958ms step_avg:595.79ms
step:11/1480 train_time:6557ms step_avg:596.13ms
step:12/1480 train_time:7159ms step_avg:596.56ms
step:13/1480 train_time:7758ms step_avg:596.77ms
step:14/1480 train_time:8360ms step_avg:597.12ms
step:15/1480 train_time:8959ms step_avg:597.27ms
step:16/1480 train_time:9560ms step_avg:597.50ms
step:17/1480 train_time:10160ms step_avg:597.62ms
step:18/1480 train_time:10761ms step_avg:597.84ms
step:19/1480 train_time:11361ms step_avg:597.93ms
step:20/1480 train_time:11962ms step_avg:598.09ms
step:21/1480 train_time:12561ms step_avg:598.17ms
step:22/1480 train_time:13163ms step_avg:598.31ms
step:23/1480 train_time:13762ms step_avg:598.35ms
step:24/1480 train_time:14364ms step_avg:598.49ms
step:25/1480 train_time:14963ms step_avg:598.53ms
step:26/1480 train_time:15564ms step_avg:598.63ms
step:27/1480 train_time:16164ms step_avg:598.65ms
step:28/1480 train_time:16765ms step_avg:598.76ms
step:29/1480 train_time:17365ms step_avg:598.78ms
step:30/1480 train_time:17966ms step_avg:598.88ms
step:31/1480 train_time:18566ms step_avg:598.89ms
step:32/1480 train_time:19167ms step_avg:598.97ms
step:33/1480 train_time:19766ms step_avg:598.97ms
step:34/1480 train_time:20368ms step_avg:599.07ms
