[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_l2_ga4_state768_blackwell_sm120_20260512_093852.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_l2_ga4_state768_blackwell_sm120_20260512_093852 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=32 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9386 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:563ms step_avg:562.64ms
step:2/1480 train_time:1171ms step_avg:585.65ms
step:3/1480 train_time:1778ms step_avg:592.61ms
step:4/1480 train_time:2386ms step_avg:596.56ms
step:5/1480 train_time:2993ms step_avg:598.56ms
step:6/1480 train_time:3602ms step_avg:600.25ms
step:7/1480 train_time:4208ms step_avg:601.15ms
step:8/1480 train_time:4817ms step_avg:602.07ms
step:9/1480 train_time:5423ms step_avg:602.56ms
step:10/1480 train_time:6032ms step_avg:603.15ms
step:11/1480 train_time:6638ms step_avg:603.46ms
step:12/1480 train_time:7247ms step_avg:603.88ms
step:13/1480 train_time:7854ms step_avg:604.12ms
step:14/1480 train_time:8462ms step_avg:604.46ms
step:15/1480 train_time:9069ms step_avg:604.61ms
step:16/1480 train_time:9678ms step_avg:604.85ms
step:17/1480 train_time:10285ms step_avg:604.97ms
step:18/1480 train_time:10893ms step_avg:605.19ms
step:19/1480 train_time:11500ms step_avg:605.28ms
step:20/1480 train_time:12109ms step_avg:605.45ms
step:21/1480 train_time:12716ms step_avg:605.51ms
step:22/1480 train_time:13324ms step_avg:605.65ms
step:23/1480 train_time:13931ms step_avg:605.70ms
step:24/1480 train_time:14540ms step_avg:605.84ms
step:25/1480 train_time:15147ms step_avg:605.88ms
step:26/1480 train_time:15756ms step_avg:605.99ms
step:27/1480 train_time:16363ms step_avg:606.04ms
step:28/1480 train_time:16972ms step_avg:606.14ms
step:29/1480 train_time:17579ms step_avg:606.16ms
step:30/1480 train_time:18188ms step_avg:606.26ms
step:31/1480 train_time:18795ms step_avg:606.28ms
step:32/1480 train_time:19404ms step_avg:606.36ms
step:33/1480 train_time:20011ms step_avg:606.39ms
step:34/1480 train_time:20620ms step_avg:606.48ms
step:35/1480 train_time:21227ms step_avg:606.49ms
step:36/1480 train_time:21836ms step_avg:606.55ms
step:37/1480 train_time:22443ms step_avg:606.56ms
step:38/1480 train_time:23052ms step_avg:606.62ms
step:39/1480 train_time:23658ms step_avg:606.63ms
step:40/1480 train_time:24267ms step_avg:606.68ms
step:41/1480 train_time:24874ms step_avg:606.69ms
step:42/1480 train_time:25483ms step_avg:606.73ms
step:43/1480 train_time:26090ms step_avg:606.74ms
step:44/1480 train_time:26698ms step_avg:606.78ms
step:45/1480 train_time:27305ms step_avg:606.79ms
step:46/1480 train_time:27914ms step_avg:606.83ms
step:47/1480 train_time:28521ms step_avg:606.83ms
step:48/1480 train_time:29130ms step_avg:606.87ms
