[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_l2_ga8_debug_20260512_143413.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_token_engram_gate_l2_ga8_debug_20260512_143413 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2 rom_output_scale=1.0
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9383 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:685ms step_avg:684.88ms
step:2/1480 train_time:1340ms step_avg:669.95ms
step:3/1480 train_time:1991ms step_avg:663.60ms
step:4/1480 train_time:2645ms step_avg:661.32ms
step:5/1480 train_time:3296ms step_avg:659.26ms
step:6/1480 train_time:3951ms step_avg:658.43ms
step:7/1480 train_time:4601ms step_avg:657.35ms
step:8/1480 train_time:5256ms step_avg:656.97ms
step:9/1480 train_time:5907ms step_avg:656.33ms
step:10/1480 train_time:6561ms step_avg:656.09ms
step:11/1480 train_time:7212ms step_avg:655.65ms
step:12/1480 train_time:7868ms step_avg:655.67ms
step:13/1480 train_time:8520ms step_avg:655.37ms
step:14/1480 train_time:9175ms step_avg:655.32ms
step:15/1480 train_time:9825ms step_avg:655.00ms
step:16/1480 train_time:10480ms step_avg:654.98ms
step:17/1480 train_time:11131ms step_avg:654.76ms
step:18/1480 train_time:11786ms step_avg:654.79ms
step:19/1480 train_time:12438ms step_avg:654.62ms
step:20/1480 train_time:13093ms step_avg:654.64ms
step:21/1480 train_time:13743ms step_avg:654.44ms
step:22/1480 train_time:14398ms step_avg:654.47ms
step:23/1480 train_time:15049ms step_avg:654.32ms
step:24/1480 train_time:15705ms step_avg:654.39ms
step:25/1480 train_time:16356ms step_avg:654.26ms
step:26/1480 train_time:17011ms step_avg:654.28ms
step:27/1480 train_time:17675ms step_avg:654.61ms
step:28/1480 train_time:18330ms step_avg:654.66ms
step:29/1480 train_time:18982ms step_avg:654.55ms
step:30/1480 train_time:19638ms step_avg:654.59ms
step:31/1480 train_time:20290ms step_avg:654.51ms
step:32/1480 train_time:20946ms step_avg:654.56ms
step:33/1480 train_time:21598ms step_avg:654.48ms
step:34/1480 train_time:22253ms step_avg:654.51ms
step:35/1480 train_time:22904ms step_avg:654.40ms
step:36/1480 train_time:23559ms step_avg:654.41ms
step:37/1480 train_time:24210ms step_avg:654.34ms
step:38/1480 train_time:24866ms step_avg:654.38ms
step:39/1480 train_time:25518ms step_avg:654.30ms
step:40/1480 train_time:26173ms step_avg:654.31ms
step:41/1480 train_time:26824ms step_avg:654.24ms
step:42/1480 train_time:27479ms step_avg:654.25ms
step:43/1480 train_time:28130ms step_avg:654.18ms
step:44/1480 train_time:28785ms step_avg:654.21ms
step:45/1480 train_time:29437ms step_avg:654.15ms
step:46/1480 train_time:30093ms step_avg:654.19ms
step:47/1480 train_time:30744ms step_avg:654.12ms
step:48/1480 train_time:31399ms step_avg:654.15ms
step:49/1480 train_time:32050ms step_avg:654.08ms
step:50/1480 train_time:32705ms step_avg:654.10ms
step:51/1480 train_time:33356ms step_avg:654.05ms
step:52/1480 train_time:34014ms step_avg:654.12ms
step:53/1480 train_time:34665ms step_avg:654.06ms
step:54/1480 train_time:35320ms step_avg:654.08ms
