[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_l2_ga8_state768_20260512_160911.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_token_engram_gate_l2_ga8_state768_20260512_160911 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=32 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=0 rom_short_conv_kernel=4
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9380 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:690ms step_avg:689.74ms
step:2/1480 train_time:1354ms step_avg:676.80ms
step:3/1480 train_time:2012ms step_avg:670.58ms
step:4/1480 train_time:2675ms step_avg:668.86ms
step:5/1480 train_time:3333ms step_avg:666.69ms
step:6/1480 train_time:3997ms step_avg:666.20ms
step:7/1480 train_time:4655ms step_avg:665.07ms
step:8/1480 train_time:5320ms step_avg:664.95ms
step:9/1480 train_time:5978ms step_avg:664.20ms
step:10/1480 train_time:6642ms step_avg:664.20ms
step:11/1480 train_time:7300ms step_avg:663.64ms
step:12/1480 train_time:7964ms step_avg:663.68ms
step:13/1480 train_time:8622ms step_avg:663.24ms
step:14/1480 train_time:9286ms step_avg:663.30ms
step:15/1480 train_time:9944ms step_avg:662.94ms
step:16/1480 train_time:10608ms step_avg:662.99ms
step:17/1480 train_time:11267ms step_avg:662.75ms
step:18/1480 train_time:11931ms step_avg:662.82ms
step:19/1480 train_time:12589ms step_avg:662.56ms
step:20/1480 train_time:13253ms step_avg:662.65ms
step:21/1480 train_time:13911ms step_avg:662.43ms
step:22/1480 train_time:14576ms step_avg:662.53ms
step:23/1480 train_time:15235ms step_avg:662.38ms
