[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_scale01_l2_ga4_20260512_125056.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_scale01_l2_ga4_20260512_125056 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2 rom_output_scale=0.1
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9374 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:683ms step_avg:683.29ms
step:2/1480 train_time:1355ms step_avg:677.29ms
step:3/1480 train_time:2020ms step_avg:673.25ms
step:4/1480 train_time:2691ms step_avg:672.67ms
step:5/1480 train_time:3356ms step_avg:671.18ms
step:6/1480 train_time:4026ms step_avg:671.02ms
step:7/1480 train_time:4692ms step_avg:670.27ms
step:8/1480 train_time:5363ms step_avg:670.31ms
step:9/1480 train_time:6028ms step_avg:669.73ms
step:10/1480 train_time:6698ms step_avg:669.82ms
step:11/1480 train_time:7364ms step_avg:669.42ms
step:12/1480 train_time:8034ms step_avg:669.52ms
step:13/1480 train_time:8700ms step_avg:669.22ms
step:14/1480 train_time:9371ms step_avg:669.35ms
step:15/1480 train_time:10036ms step_avg:669.06ms
step:16/1480 train_time:10707ms step_avg:669.17ms
step:17/1480 train_time:11372ms step_avg:668.96ms
step:18/1480 train_time:12043ms step_avg:669.07ms
step:19/1480 train_time:12709ms step_avg:668.90ms
step:20/1480 train_time:13380ms step_avg:669.00ms
step:21/1480 train_time:14045ms step_avg:668.82ms
step:22/1480 train_time:14716ms step_avg:668.90ms
step:23/1480 train_time:15381ms step_avg:668.75ms
step:24/1480 train_time:16052ms step_avg:668.84ms
step:25/1480 train_time:16718ms step_avg:668.70ms
step:26/1480 train_time:17388ms step_avg:668.77ms
step:27/1480 train_time:18053ms step_avg:668.64ms
step:28/1480 train_time:18724ms step_avg:668.73ms
step:29/1480 train_time:19389ms step_avg:668.60ms
step:30/1480 train_time:20061ms step_avg:668.68ms
step:31/1480 train_time:20726ms step_avg:668.58ms
step:32/1480 train_time:21397ms step_avg:668.64ms
step:33/1480 train_time:22062ms step_avg:668.56ms
step:34/1480 train_time:22734ms step_avg:668.64ms
step:35/1480 train_time:23399ms step_avg:668.54ms
step:36/1480 train_time:24070ms step_avg:668.60ms
step:37/1480 train_time:24735ms step_avg:668.51ms
step:38/1480 train_time:25406ms step_avg:668.58ms
step:39/1480 train_time:26071ms step_avg:668.50ms
step:40/1480 train_time:26743ms step_avg:668.57ms
step:41/1480 train_time:27409ms step_avg:668.52ms
step:42/1480 train_time:28081ms step_avg:668.59ms
step:43/1480 train_time:28747ms step_avg:668.53ms
step:44/1480 train_time:29418ms step_avg:668.59ms
step:45/1480 train_time:30083ms step_avg:668.52ms
step:46/1480 train_time:30754ms step_avg:668.57ms
step:47/1480 train_time:31419ms step_avg:668.50ms
step:48/1480 train_time:32090ms step_avg:668.55ms
step:49/1480 train_time:32756ms step_avg:668.49ms
step:50/1480 train_time:33427ms step_avg:668.54ms
step:51/1480 train_time:34093ms step_avg:668.49ms
step:52/1480 train_time:34764ms step_avg:668.54ms
step:53/1480 train_time:35429ms step_avg:668.47ms
step:54/1480 train_time:36099ms step_avg:668.51ms
step:55/1480 train_time:36764ms step_avg:668.44ms
step:56/1480 train_time:37435ms step_avg:668.47ms
step:57/1480 train_time:38099ms step_avg:668.41ms
step:58/1480 train_time:38770ms step_avg:668.45ms
step:59/1480 train_time:39435ms step_avg:668.39ms
step:60/1480 train_time:40106ms step_avg:668.43ms
step:61/1480 train_time:40771ms step_avg:668.39ms
step:62/1480 train_time:41443ms step_avg:668.43ms
step:63/1480 train_time:42108ms step_avg:668.38ms
step:64/1480 train_time:42779ms step_avg:668.42ms
step:65/1480 train_time:43445ms step_avg:668.38ms
step:66/1480 train_time:44116ms step_avg:668.42ms
step:67/1480 train_time:44782ms step_avg:668.38ms
step:68/1480 train_time:45452ms step_avg:668.41ms
step:69/1480 train_time:46118ms step_avg:668.37ms
step:70/1480 train_time:46789ms step_avg:668.41ms
step:71/1480 train_time:47454ms step_avg:668.37ms
step:72/1480 train_time:48125ms step_avg:668.41ms
step:73/1480 train_time:48791ms step_avg:668.36ms
step:74/1480 train_time:49461ms step_avg:668.39ms
step:75/1480 train_time:50127ms step_avg:668.36ms
step:76/1480 train_time:50798ms step_avg:668.39ms
step:77/1480 train_time:51463ms step_avg:668.35ms
step:78/1480 train_time:52133ms step_avg:668.38ms
step:79/1480 train_time:52799ms step_avg:668.34ms
step:80/1480 train_time:53470ms step_avg:668.37ms
step:81/1480 train_time:54135ms step_avg:668.33ms
step:82/1480 train_time:54806ms step_avg:668.36ms
step:83/1480 train_time:55471ms step_avg:668.33ms
step:84/1480 train_time:56142ms step_avg:668.36ms
step:85/1480 train_time:56807ms step_avg:668.32ms
step:86/1480 train_time:57477ms step_avg:668.34ms
step:87/1480 train_time:58143ms step_avg:668.31ms
step:88/1480 train_time:58813ms step_avg:668.33ms
step:89/1480 train_time:59479ms step_avg:668.30ms
step:90/1480 train_time:60150ms step_avg:668.33ms
step:91/1480 train_time:60814ms step_avg:668.29ms
step:92/1480 train_time:61485ms step_avg:668.31ms
step:93/1480 train_time:62149ms step_avg:668.27ms
step:94/1480 train_time:62820ms step_avg:668.29ms
step:95/1480 train_time:63484ms step_avg:668.26ms
step:96/1480 train_time:64155ms step_avg:668.28ms
step:97/1480 train_time:64821ms step_avg:668.26ms
step:98/1480 train_time:65492ms step_avg:668.28ms
step:99/1480 train_time:66157ms step_avg:668.25ms
step:100/1480 train_time:66828ms step_avg:668.28ms
step:101/1480 train_time:67492ms step_avg:668.24ms
step:102/1480 train_time:68163ms step_avg:668.26ms
step:103/1480 train_time:68827ms step_avg:668.23ms
step:104/1480 train_time:69498ms step_avg:668.25ms
step:105/1480 train_time:70163ms step_avg:668.22ms
step:106/1480 train_time:70834ms step_avg:668.24ms
step:107/1480 train_time:71498ms step_avg:668.21ms
step:108/1480 train_time:72168ms step_avg:668.23ms
step:109/1480 train_time:72833ms step_avg:668.20ms
step:110/1480 train_time:73504ms step_avg:668.22ms
step:111/1480 train_time:74169ms step_avg:668.19ms
step:112/1480 train_time:74840ms step_avg:668.21ms
step:113/1480 train_time:75505ms step_avg:668.18ms
step:114/1480 train_time:76176ms step_avg:668.21ms
step:115/1480 train_time:76840ms step_avg:668.18ms
step:116/1480 train_time:77511ms step_avg:668.20ms
step:117/1480 train_time:78176ms step_avg:668.17ms
step:118/1480 train_time:78847ms step_avg:668.19ms
step:119/1480 train_time:79512ms step_avg:668.17ms
step:120/1480 train_time:80183ms step_avg:668.19ms
step:121/1480 train_time:80848ms step_avg:668.17ms
step:122/1480 train_time:81518ms step_avg:668.18ms
step:123/1480 train_time:82184ms step_avg:668.16ms
step:124/1480 train_time:82854ms step_avg:668.18ms
step:125/1480 train_time:83519ms step_avg:668.15ms
step:126/1480 train_time:84189ms step_avg:668.17ms
step:127/1480 train_time:84854ms step_avg:668.14ms
step:128/1480 train_time:85524ms step_avg:668.16ms
step:129/1480 train_time:86189ms step_avg:668.14ms
step:130/1480 train_time:86860ms step_avg:668.15ms
step:131/1480 train_time:87524ms step_avg:668.12ms
step:132/1480 train_time:88194ms step_avg:668.14ms
step:133/1480 train_time:88859ms step_avg:668.11ms
step:134/1480 train_time:89530ms step_avg:668.13ms
step:135/1480 train_time:90195ms step_avg:668.11ms
step:136/1480 train_time:90866ms step_avg:668.13ms
step:137/1480 train_time:91531ms step_avg:668.11ms
step:138/1480 train_time:92202ms step_avg:668.13ms
step:139/1480 train_time:92867ms step_avg:668.11ms
step:140/1480 train_time:93538ms step_avg:668.13ms
step:141/1480 train_time:94203ms step_avg:668.10ms
step:142/1480 train_time:94875ms step_avg:668.13ms
step:143/1480 train_time:95542ms step_avg:668.13ms
step:144/1480 train_time:96214ms step_avg:668.16ms
step:145/1480 train_time:96881ms step_avg:668.14ms
step:146/1480 train_time:97552ms step_avg:668.17ms
step:147/1480 train_time:98218ms step_avg:668.15ms
step:148/1480 train_time:98890ms step_avg:668.17ms
step:149/1480 train_time:99556ms step_avg:668.16ms
step:150/1480 train_time:100228ms step_avg:668.19ms
step:151/1480 train_time:100894ms step_avg:668.17ms
step:152/1480 train_time:101566ms step_avg:668.20ms
step:153/1480 train_time:102234ms step_avg:668.19ms
step:154/1480 train_time:102906ms step_avg:668.22ms
step:155/1480 train_time:103573ms step_avg:668.21ms
step:156/1480 train_time:104245ms step_avg:668.24ms
step:157/1480 train_time:104913ms step_avg:668.23ms
step:158/1480 train_time:105587ms step_avg:668.27ms
step:159/1480 train_time:106254ms step_avg:668.26ms
step:160/1480 train_time:106925ms step_avg:668.28ms
step:161/1480 train_time:107591ms step_avg:668.27ms
step:162/1480 train_time:108262ms step_avg:668.29ms
step:163/1480 train_time:108929ms step_avg:668.27ms
