[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_scale0_qkgrad960_20260512_134422.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_scale0_qkgrad960_20260512_134422 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2 rom_output_scale=0.0
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9366 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:693ms step_avg:693.11ms
step:2/1480 train_time:1365ms step_avg:682.32ms
step:3/1480 train_time:2032ms step_avg:677.29ms
step:4/1480 train_time:2704ms step_avg:675.97ms
step:5/1480 train_time:3373ms step_avg:674.52ms
step:6/1480 train_time:4044ms step_avg:674.01ms
step:7/1480 train_time:4710ms step_avg:672.92ms
step:8/1480 train_time:5382ms step_avg:672.81ms
step:9/1480 train_time:6049ms step_avg:672.16ms
step:10/1480 train_time:6721ms step_avg:672.08ms
step:11/1480 train_time:7387ms step_avg:671.53ms
step:12/1480 train_time:8059ms step_avg:671.55ms
step:13/1480 train_time:8725ms step_avg:671.13ms
step:14/1480 train_time:9397ms step_avg:671.18ms
step:15/1480 train_time:10064ms step_avg:670.93ms
step:16/1480 train_time:10735ms step_avg:670.96ms
step:17/1480 train_time:11404ms step_avg:670.80ms
step:18/1480 train_time:12076ms step_avg:670.91ms
step:19/1480 train_time:12743ms step_avg:670.71ms
step:20/1480 train_time:13415ms step_avg:670.75ms
step:21/1480 train_time:14081ms step_avg:670.53ms
step:22/1480 train_time:14752ms step_avg:670.56ms
step:23/1480 train_time:15420ms step_avg:670.42ms
step:24/1480 train_time:16092ms step_avg:670.50ms
step:25/1480 train_time:16758ms step_avg:670.34ms
step:26/1480 train_time:17429ms step_avg:670.37ms
step:27/1480 train_time:18096ms step_avg:670.21ms
step:28/1480 train_time:18768ms step_avg:670.27ms
step:29/1480 train_time:19434ms step_avg:670.14ms
step:30/1480 train_time:20106ms step_avg:670.19ms
step:31/1480 train_time:20773ms step_avg:670.08ms
step:32/1480 train_time:21444ms step_avg:670.12ms
step:33/1480 train_time:22112ms step_avg:670.05ms
step:34/1480 train_time:22784ms step_avg:670.11ms
step:35/1480 train_time:23450ms step_avg:669.99ms
step:36/1480 train_time:24122ms step_avg:670.05ms
step:37/1480 train_time:24788ms step_avg:669.95ms
step:38/1480 train_time:25460ms step_avg:670.00ms
step:39/1480 train_time:26127ms step_avg:669.93ms
step:40/1480 train_time:26799ms step_avg:669.96ms
step:41/1480 train_time:27465ms step_avg:669.88ms
