[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_shortconv_l2_ga8_20260512_152410.txt
Experiment config: world_size=1 grad_accum_steps=8 bigram_vocab_size=251520 run_id=rom_token_engram_gate_shortconv_l2_ga8_20260512_152410 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2 rom_output_scale=1.0 rom_short_conv=1 rom_short_conv_kernel=4
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9341 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:679ms step_avg:678.50ms
step:2/1480 train_time:1347ms step_avg:673.51ms
step:3/1480 train_time:2008ms step_avg:669.38ms
step:4/1480 train_time:2677ms step_avg:669.19ms
step:5/1480 train_time:3338ms step_avg:667.57ms
step:6/1480 train_time:4006ms step_avg:667.71ms
step:7/1480 train_time:4667ms step_avg:666.73ms
step:8/1480 train_time:5335ms step_avg:666.83ms
step:9/1480 train_time:5996ms step_avg:666.22ms
step:10/1480 train_time:6663ms step_avg:666.34ms
step:11/1480 train_time:7324ms step_avg:665.86ms
step:12/1480 train_time:7993ms step_avg:666.05ms
step:13/1480 train_time:8653ms step_avg:665.62ms
step:14/1480 train_time:9321ms step_avg:665.81ms
step:15/1480 train_time:9982ms step_avg:665.47ms
step:16/1480 train_time:10650ms step_avg:665.65ms
step:17/1480 train_time:11311ms step_avg:665.37ms
step:18/1480 train_time:11979ms step_avg:665.50ms
step:19/1480 train_time:12640ms step_avg:665.25ms
step:20/1480 train_time:13309ms step_avg:665.46ms
step:21/1480 train_time:13971ms step_avg:665.28ms
step:22/1480 train_time:14640ms step_avg:665.43ms
step:23/1480 train_time:15301ms step_avg:665.26ms
step:24/1480 train_time:15970ms step_avg:665.42ms
step:25/1480 train_time:16632ms step_avg:665.26ms
step:26/1480 train_time:17300ms step_avg:665.39ms
step:27/1480 train_time:17962ms step_avg:665.25ms
step:28/1480 train_time:18633ms step_avg:665.46ms
step:29/1480 train_time:19294ms step_avg:665.31ms
step:30/1480 train_time:19962ms step_avg:665.39ms
step:31/1480 train_time:20622ms step_avg:665.21ms
step:32/1480 train_time:21290ms step_avg:665.31ms
step:33/1480 train_time:21952ms step_avg:665.20ms
step:34/1480 train_time:22619ms step_avg:665.27ms
step:35/1480 train_time:23279ms step_avg:665.12ms
step:36/1480 train_time:23947ms step_avg:665.20ms
step:37/1480 train_time:24608ms step_avg:665.07ms
step:38/1480 train_time:25276ms step_avg:665.15ms
step:39/1480 train_time:25936ms step_avg:665.02ms
step:40/1480 train_time:26603ms step_avg:665.09ms
step:41/1480 train_time:27264ms step_avg:664.98ms
step:42/1480 train_time:27932ms step_avg:665.05ms
step:43/1480 train_time:28592ms step_avg:664.94ms
step:44/1480 train_time:29262ms step_avg:665.04ms
step:45/1480 train_time:29923ms step_avg:664.95ms
step:46/1480 train_time:30591ms step_avg:665.01ms
step:47/1480 train_time:31250ms step_avg:664.90ms
step:48/1480 train_time:31919ms step_avg:664.97ms
step:49/1480 train_time:32579ms step_avg:664.89ms
step:50/1480 train_time:33247ms step_avg:664.94ms
step:51/1480 train_time:33907ms step_avg:664.85ms
step:52/1480 train_time:34575ms step_avg:664.91ms
step:53/1480 train_time:35235ms step_avg:664.82ms
step:54/1480 train_time:35904ms step_avg:664.89ms
step:55/1480 train_time:36565ms step_avg:664.81ms
step:56/1480 train_time:37234ms step_avg:664.90ms
step:57/1480 train_time:37894ms step_avg:664.81ms
step:58/1480 train_time:38562ms step_avg:664.86ms
step:59/1480 train_time:39222ms step_avg:664.78ms
step:60/1480 train_time:39890ms step_avg:664.84ms
step:61/1480 train_time:40551ms step_avg:664.77ms
step:62/1480 train_time:41219ms step_avg:664.82ms
step:63/1480 train_time:41881ms step_avg:664.77ms
step:64/1480 train_time:42551ms step_avg:664.86ms
step:65/1480 train_time:43213ms step_avg:664.82ms
step:66/1480 train_time:43881ms step_avg:664.87ms
step:67/1480 train_time:44542ms step_avg:664.81ms
step:68/1480 train_time:45210ms step_avg:664.85ms
step:69/1480 train_time:45871ms step_avg:664.80ms
step:70/1480 train_time:46539ms step_avg:664.85ms
step:71/1480 train_time:47199ms step_avg:664.77ms
step:72/1480 train_time:47865ms step_avg:664.80ms
step:73/1480 train_time:48524ms step_avg:664.72ms
step:74/1480 train_time:49191ms step_avg:664.74ms
step:75/1480 train_time:49850ms step_avg:664.67ms
step:76/1480 train_time:50517ms step_avg:664.70ms
step:77/1480 train_time:51176ms step_avg:664.63ms
step:78/1480 train_time:51844ms step_avg:664.67ms
step:79/1480 train_time:52503ms step_avg:664.59ms
step:80/1480 train_time:53171ms step_avg:664.64ms
step:81/1480 train_time:53832ms step_avg:664.60ms
step:82/1480 train_time:54501ms step_avg:664.64ms
step:83/1480 train_time:55161ms step_avg:664.59ms
step:84/1480 train_time:55828ms step_avg:664.62ms
step:85/1480 train_time:56487ms step_avg:664.55ms
step:86/1480 train_time:57154ms step_avg:664.58ms
step:87/1480 train_time:57813ms step_avg:664.52ms
step:88/1480 train_time:58480ms step_avg:664.54ms
step:89/1480 train_time:59138ms step_avg:664.48ms
step:90/1480 train_time:59804ms step_avg:664.49ms
step:91/1480 train_time:60463ms step_avg:664.43ms
step:92/1480 train_time:61129ms step_avg:664.45ms
step:93/1480 train_time:61789ms step_avg:664.40ms
step:94/1480 train_time:62456ms step_avg:664.42ms
step:95/1480 train_time:63116ms step_avg:664.38ms
step:96/1480 train_time:63783ms step_avg:664.40ms
step:97/1480 train_time:64442ms step_avg:664.35ms
step:98/1480 train_time:65109ms step_avg:664.37ms
step:99/1480 train_time:65768ms step_avg:664.32ms
