[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_stabilized_l2_ga4_20260512_122433.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_stabilized_l2_ga4_20260512_122433 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9407 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:683ms step_avg:683.42ms
step:2/1480 train_time:1355ms step_avg:677.33ms
step:3/1480 train_time:2020ms step_avg:673.47ms
step:4/1480 train_time:2691ms step_avg:672.84ms
step:5/1480 train_time:3357ms step_avg:671.35ms
step:6/1480 train_time:4027ms step_avg:671.23ms
step:7/1480 train_time:4694ms step_avg:670.60ms
step:8/1480 train_time:5365ms step_avg:670.59ms
step:9/1480 train_time:6030ms step_avg:670.05ms
step:10/1480 train_time:6701ms step_avg:670.12ms
step:11/1480 train_time:7367ms step_avg:669.68ms
step:12/1480 train_time:8038ms step_avg:669.81ms
step:13/1480 train_time:8703ms step_avg:669.48ms
step:14/1480 train_time:9375ms step_avg:669.62ms
step:15/1480 train_time:10041ms step_avg:669.38ms
step:16/1480 train_time:10712ms step_avg:669.49ms
step:17/1480 train_time:11378ms step_avg:669.31ms
step:18/1480 train_time:12049ms step_avg:669.40ms
step:19/1480 train_time:12715ms step_avg:669.20ms
step:20/1480 train_time:13386ms step_avg:669.29ms
step:21/1480 train_time:14052ms step_avg:669.13ms
step:22/1480 train_time:14723ms step_avg:669.22ms
step:23/1480 train_time:15389ms step_avg:669.08ms
step:24/1480 train_time:16060ms step_avg:669.17ms
step:25/1480 train_time:16726ms step_avg:669.04ms
step:26/1480 train_time:17397ms step_avg:669.11ms
step:27/1480 train_time:18063ms step_avg:668.98ms
step:28/1480 train_time:18734ms step_avg:669.06ms
step:29/1480 train_time:19399ms step_avg:668.94ms
step:30/1480 train_time:20071ms step_avg:669.02ms
step:31/1480 train_time:20736ms step_avg:668.90ms
step:32/1480 train_time:21407ms step_avg:668.98ms
step:33/1480 train_time:22074ms step_avg:668.91ms
step:34/1480 train_time:22746ms step_avg:668.99ms
step:35/1480 train_time:23411ms step_avg:668.89ms
step:36/1480 train_time:24083ms step_avg:668.96ms
step:37/1480 train_time:24748ms step_avg:668.86ms
step:38/1480 train_time:25420ms step_avg:668.94ms
step:39/1480 train_time:26086ms step_avg:668.87ms
step:40/1480 train_time:26757ms step_avg:668.91ms
step:41/1480 train_time:27424ms step_avg:668.87ms
step:42/1480 train_time:28095ms step_avg:668.92ms
step:43/1480 train_time:28761ms step_avg:668.85ms
step:44/1480 train_time:29432ms step_avg:668.90ms
step:45/1480 train_time:30097ms step_avg:668.83ms
step:46/1480 train_time:30769ms step_avg:668.89ms
step:47/1480 train_time:31434ms step_avg:668.82ms
step:48/1480 train_time:32106ms step_avg:668.87ms
step:49/1480 train_time:32772ms step_avg:668.81ms
step:50/1480 train_time:33442ms step_avg:668.85ms
step:51/1480 train_time:34109ms step_avg:668.80ms
step:52/1480 train_time:34780ms step_avg:668.84ms
step:53/1480 train_time:35445ms step_avg:668.78ms
step:54/1480 train_time:36116ms step_avg:668.81ms
step:55/1480 train_time:36782ms step_avg:668.76ms
step:56/1480 train_time:37454ms step_avg:668.82ms
step:57/1480 train_time:38120ms step_avg:668.78ms
step:58/1480 train_time:38791ms step_avg:668.82ms
step:59/1480 train_time:39457ms step_avg:668.77ms
step:60/1480 train_time:40129ms step_avg:668.81ms
step:61/1480 train_time:40796ms step_avg:668.78ms
step:62/1480 train_time:41467ms step_avg:668.83ms
step:63/1480 train_time:42134ms step_avg:668.79ms
step:64/1480 train_time:42805ms step_avg:668.82ms
step:65/1480 train_time:43471ms step_avg:668.78ms
step:66/1480 train_time:44142ms step_avg:668.82ms
step:67/1480 train_time:44808ms step_avg:668.77ms
step:68/1480 train_time:45480ms step_avg:668.82ms
step:69/1480 train_time:46146ms step_avg:668.78ms
step:70/1480 train_time:46821ms step_avg:668.88ms
step:71/1480 train_time:47491ms step_avg:668.89ms
step:72/1480 train_time:48163ms step_avg:668.93ms
step:73/1480 train_time:48830ms step_avg:668.91ms
step:74/1480 train_time:49502ms step_avg:668.94ms
step:75/1480 train_time:50168ms step_avg:668.91ms
step:76/1480 train_time:50842ms step_avg:668.97ms
step:77/1480 train_time:51509ms step_avg:668.95ms
step:78/1480 train_time:52181ms step_avg:668.99ms
step:79/1480 train_time:52847ms step_avg:668.95ms
step:80/1480 train_time:53518ms step_avg:668.97ms
step:81/1480 train_time:54184ms step_avg:668.94ms
step:82/1480 train_time:54856ms step_avg:668.98ms
step:83/1480 train_time:55523ms step_avg:668.95ms
step:84/1480 train_time:56195ms step_avg:668.98ms
step:85/1480 train_time:56860ms step_avg:668.95ms
step:86/1480 train_time:57531ms step_avg:668.97ms
step:87/1480 train_time:58197ms step_avg:668.93ms
step:88/1480 train_time:58869ms step_avg:668.96ms
step:89/1480 train_time:59535ms step_avg:668.93ms
