[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_engram_gate_stable_debug_20260512_115950.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_engram_gate_stable_debug_20260512_115950 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_engram_gate=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 98, 99, 100, 101, 198, 199, 200, 201, 298, 299, 300] for warmup
Resetting Model
step:0/300 val_loss:18.9350 train_time:0ms step_avg:0.03ms
step:1/300 train_time:686ms step_avg:685.71ms
step:2/300 train_time:1357ms step_avg:678.41ms
step:3/300 train_time:2022ms step_avg:673.91ms
step:4/300 train_time:2693ms step_avg:673.15ms
step:5/300 train_time:3357ms step_avg:671.49ms
step:6/300 train_time:4028ms step_avg:671.33ms
step:7/300 train_time:4693ms step_avg:670.47ms
step:8/300 train_time:5364ms step_avg:670.47ms
step:9/300 train_time:6029ms step_avg:669.86ms
step:10/300 train_time:6699ms step_avg:669.94ms
step:11/300 train_time:7364ms step_avg:669.46ms
step:12/300 train_time:8035ms step_avg:669.58ms
step:13/300 train_time:8700ms step_avg:669.25ms
step:14/300 train_time:9371ms step_avg:669.34ms
step:15/300 train_time:10035ms step_avg:669.02ms
step:16/300 train_time:10705ms step_avg:669.09ms
step:17/300 train_time:11370ms step_avg:668.84ms
step:18/300 train_time:12041ms step_avg:668.94ms
step:19/300 train_time:12705ms step_avg:668.71ms
step:20/300 train_time:13377ms step_avg:668.83ms
step:21/300 train_time:14041ms step_avg:668.63ms
step:22/300 train_time:14712ms step_avg:668.73ms
step:23/300 train_time:15377ms step_avg:668.56ms
step:24/300 train_time:16048ms step_avg:668.67ms
step:25/300 train_time:16713ms step_avg:668.52ms
step:26/300 train_time:17384ms step_avg:668.60ms
step:27/300 train_time:18049ms step_avg:668.47ms
step:28/300 train_time:18720ms step_avg:668.56ms
step:29/300 train_time:19384ms step_avg:668.40ms
step:30/300 train_time:20054ms step_avg:668.47ms
step:31/300 train_time:20718ms step_avg:668.34ms
step:32/300 train_time:21389ms step_avg:668.39ms
step:33/300 train_time:22053ms step_avg:668.28ms
step:34/300 train_time:22724ms step_avg:668.36ms
step:35/300 train_time:23388ms step_avg:668.23ms
step:36/300 train_time:24059ms step_avg:668.30ms
step:37/300 train_time:24724ms step_avg:668.21ms
step:38/300 train_time:25394ms step_avg:668.27ms
step:39/300 train_time:26059ms step_avg:668.18ms
step:40/300 train_time:26730ms step_avg:668.24ms
step:41/300 train_time:27394ms step_avg:668.15ms
step:42/300 train_time:28065ms step_avg:668.21ms
step:43/300 train_time:28730ms step_avg:668.15ms
step:44/300 train_time:29401ms step_avg:668.20ms
step:45/300 train_time:30066ms step_avg:668.12ms
step:46/300 train_time:30736ms step_avg:668.17ms
step:47/300 train_time:31400ms step_avg:668.09ms
step:48/300 train_time:32071ms step_avg:668.14ms
step:49/300 train_time:32735ms step_avg:668.06ms
step:50/300 train_time:33406ms step_avg:668.11ms
step:50/300 val_loss:10.2309 train_time:33406ms step_avg:668.11ms
step:51/300 train_time:34074ms step_avg:668.13ms
step:52/300 train_time:34747ms step_avg:668.22ms
step:53/300 train_time:35413ms step_avg:668.17ms
step:54/300 train_time:36084ms step_avg:668.22ms
step:55/300 train_time:36751ms step_avg:668.20ms
step:56/300 train_time:37422ms step_avg:668.24ms
step:57/300 train_time:38087ms step_avg:668.19ms
step:58/300 train_time:38758ms step_avg:668.24ms
step:59/300 train_time:39423ms step_avg:668.19ms
step:60/300 train_time:40095ms step_avg:668.24ms
step:61/300 train_time:40760ms step_avg:668.19ms
step:62/300 train_time:41431ms step_avg:668.24ms
step:63/300 train_time:42096ms step_avg:668.19ms
step:64/300 train_time:42766ms step_avg:668.22ms
step:65/300 train_time:43431ms step_avg:668.17ms
step:66/300 train_time:44102ms step_avg:668.21ms
step:67/300 train_time:44766ms step_avg:668.15ms
step:68/300 train_time:45437ms step_avg:668.19ms
step:69/300 train_time:46102ms step_avg:668.14ms
step:70/300 train_time:46772ms step_avg:668.18ms
step:71/300 train_time:47437ms step_avg:668.13ms
step:72/300 train_time:48107ms step_avg:668.16ms
step:73/300 train_time:48772ms step_avg:668.10ms
step:74/300 train_time:49442ms step_avg:668.13ms
step:75/300 train_time:50107ms step_avg:668.10ms
step:76/300 train_time:50778ms step_avg:668.14ms
step:77/300 train_time:51443ms step_avg:668.09ms
step:78/300 train_time:52114ms step_avg:668.13ms
step:79/300 train_time:52779ms step_avg:668.09ms
step:80/300 train_time:53450ms step_avg:668.13ms
step:81/300 train_time:54115ms step_avg:668.09ms
step:82/300 train_time:54786ms step_avg:668.13ms
step:83/300 train_time:55451ms step_avg:668.09ms
step:84/300 train_time:56122ms step_avg:668.12ms
step:85/300 train_time:56787ms step_avg:668.09ms
step:86/300 train_time:57458ms step_avg:668.11ms
step:87/300 train_time:58123ms step_avg:668.08ms
step:88/300 train_time:58794ms step_avg:668.11ms
step:89/300 train_time:59459ms step_avg:668.08ms
step:90/300 train_time:60129ms step_avg:668.10ms
step:91/300 train_time:60794ms step_avg:668.07ms
step:92/300 train_time:61465ms step_avg:668.09ms
step:93/300 train_time:62129ms step_avg:668.06ms
step:94/300 train_time:62800ms step_avg:668.09ms
step:95/300 train_time:63465ms step_avg:668.05ms
step:96/300 train_time:64136ms step_avg:668.08ms
step:97/300 train_time:64801ms step_avg:668.06ms
step:98/300 train_time:65473ms step_avg:668.09ms
step:99/300 train_time:66138ms step_avg:668.06ms
step:100/300 train_time:66809ms step_avg:668.09ms
step:100/300 val_loss:8.3980 train_time:66822ms step_avg:668.22ms
step:101/300 train_time:68280ms step_avg:676.04ms
step:102/300 train_time:69740ms step_avg:683.72ms
step:103/300 train_time:71194ms step_avg:691.20ms
step:104/300 train_time:72655ms step_avg:698.61ms
step:105/300 train_time:74110ms step_avg:705.81ms
step:106/300 train_time:75573ms step_avg:712.95ms
step:107/300 train_time:77030ms step_avg:719.91ms
step:108/300 train_time:78490ms step_avg:726.76ms
step:109/300 train_time:79945ms step_avg:733.44ms
step:110/300 train_time:81405ms step_avg:740.04ms
step:111/300 train_time:82861ms step_avg:746.50ms
step:112/300 train_time:84323ms step_avg:752.88ms
step:113/300 train_time:85778ms step_avg:759.10ms
step:114/300 train_time:87242ms step_avg:765.28ms
step:115/300 train_time:88700ms step_avg:771.30ms
step:116/300 train_time:90161ms step_avg:777.25ms
step:117/300 train_time:91616ms step_avg:783.04ms
