[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
logs/rom_token_l2_ga4_blackwell_sm120_20260512_080330.txt
Experiment config: world_size=1 grad_accum_steps=4 bigram_vocab_size=251520 run_id=rom_token_l2_ga4_blackwell_sm120_20260512_080330 device_capability=sm120 compile_model=0 plain_mlp_train=0 fused_ce_eval=0 rom_bigram=1 rom_token=1 rom_write=1 rom_heads=6 rom_key_dim=4 rom_value_dim=16 rom_layer_only=2
Warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:18.9346 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:562ms step_avg:562.35ms
step:2/1480 train_time:1159ms step_avg:579.38ms
step:3/1480 train_time:1755ms step_avg:585.16ms
step:4/1480 train_time:2352ms step_avg:587.94ms
step:5/1480 train_time:2948ms step_avg:589.68ms
step:6/1480 train_time:3545ms step_avg:590.81ms
step:7/1480 train_time:4142ms step_avg:591.65ms
step:8/1480 train_time:4738ms step_avg:592.25ms
step:9/1480 train_time:5335ms step_avg:592.76ms
step:10/1480 train_time:5932ms step_avg:593.17ms
step:11/1480 train_time:6529ms step_avg:593.52ms
step:12/1480 train_time:7125ms step_avg:593.78ms
step:13/1480 train_time:7722ms step_avg:594.03ms
step:14/1480 train_time:8319ms step_avg:594.23ms
step:15/1480 train_time:8916ms step_avg:594.41ms
step:16/1480 train_time:9513ms step_avg:594.54ms
step:17/1480 train_time:10110ms step_avg:594.69ms
step:18/1480 train_time:10707ms step_avg:594.83ms
step:19/1480 train_time:11304ms step_avg:594.95ms
step:20/1480 train_time:11901ms step_avg:595.04ms
step:21/1480 train_time:12498ms step_avg:595.13ms
step:22/1480 train_time:13094ms step_avg:595.20ms
step:23/1480 train_time:13692ms step_avg:595.29ms
step:24/1480 train_time:14289ms step_avg:595.37ms
step:25/1480 train_time:14886ms step_avg:595.44ms
step:26/1480 train_time:15483ms step_avg:595.50ms
step:27/1480 train_time:16082ms step_avg:595.62ms
step:28/1480 train_time:16679ms step_avg:595.66ms
step:29/1480 train_time:17276ms step_avg:595.72ms
step:30/1480 train_time:17873ms step_avg:595.76ms
step:31/1480 train_time:18470ms step_avg:595.79ms
step:32/1480 train_time:19066ms step_avg:595.82ms
step:33/1480 train_time:19663ms step_avg:595.85ms
step:34/1480 train_time:20261ms step_avg:595.91ms
step:35/1480 train_time:20858ms step_avg:595.94ms
step:36/1480 train_time:21455ms step_avg:595.96ms
step:37/1480 train_time:22052ms step_avg:596.00ms
step:38/1480 train_time:22649ms step_avg:596.03ms
step:39/1480 train_time:23246ms step_avg:596.05ms
step:40/1480 train_time:23843ms step_avg:596.07ms
step:41/1480 train_time:24440ms step_avg:596.10ms
step:42/1480 train_time:25037ms step_avg:596.11ms
step:43/1480 train_time:25634ms step_avg:596.14ms
step:44/1480 train_time:26231ms step_avg:596.16ms
step:45/1480 train_time:26828ms step_avg:596.18ms
step:46/1480 train_time:27425ms step_avg:596.20ms
step:47/1480 train_time:28022ms step_avg:596.21ms
step:48/1480 train_time:28619ms step_avg:596.23ms
step:49/1480 train_time:29216ms step_avg:596.25ms
step:50/1480 train_time:29813ms step_avg:596.26ms
step:51/1480 train_time:30410ms step_avg:596.27ms
step:52/1480 train_time:31007ms step_avg:596.28ms
step:53/1480 train_time:31604ms step_avg:596.30ms
step:54/1480 train_time:32200ms step_avg:596.30ms
step:55/1480 train_time:32797ms step_avg:596.32ms
step:56/1480 train_time:33394ms step_avg:596.33ms
step:57/1480 train_time:33992ms step_avg:596.35ms
