label,bf,seed,completed,last_step,last_val,final_val_if_complete,table_rows,store_dim,table_params,log
aux-only,300,5,0,750,5.353300,,30182422,384,11590050048,bf300_sota_readoutdelta_sketchk2_base_aux05_auxonlylayerrowsigns_seed5_1500_20260610.txt
aux-only,300,5,0,750,5.357300,,30182422,384,11590050048,bf300_sota_readoutdelta_sketchk2_base_aux05to01_s500_500_auxonlylayerrowsigns_seed5_1500_20260610.txt
aux-only,300,5,0,750,5.352900,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_fixed_seed5_1500_20260610.txt
aux-only,300,5,1,1500,3.244000,3.244000,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed5_1500_20260609.txt
aux-only,300,5,0,1000,3.504700,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsignscale025_fixed_seed5_1500_20260610.txt
aux-only,300,5,0,500,7.244100,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsignscale05_fixed_seed5_1500_20260610.txt
aux-only,300,5,0,500,7.250300,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek3_base_aux03536_auxonlylayerrowsigns_seed5_1500_20260610.txt
aux-only,300,5,0,250,8.523400,,30182422,384,11590050048,bf300_sota_sketchk2_slotattn_aux05_auxonlylayerrowsigns_nolayerdelta_seed5_1500_20260610.txt
aux-only,300,6,0,500,7.244100,,30182422,384,11590050048,bf300_sota_readoutdelta_sketchk2_base_aux05_auxonlylayerrowsigns_seed6_1500_20260610.txt
aux-only,300,6,0,500,7.235500,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_fixed_seed6_1500_20260610.txt
aux-only,300,6,1,1500,3.245300,3.245300,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed6_1500_20260609.txt
aux-only,300,7,1,1500,3.245100,3.245100,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed7_1500_20260609.txt
aux-only,300,8,0,500,7.253900,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed8_1500_20260609.txt
aux-only,400,5,1,1500,3.246300,3.246300,40243242,384,15453404928,bf400_sota_layerreadouts_superposek2_base_aux05_auxonlylayerrowsigns_fixed_seed5_1500_20260610.txt
aux-only,400,5,0,250,8.504800,,40243242,384,15453404928,bf400_sota_layerreadouts_superposek2_base_aux05_auxonlylayerrowsigns_seed5_1500_20260610.txt
aux-only,400,5,1,1500,3.244800,3.244800,40243242,384,15453404928,bf400_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed5_1500_20260609.txt
aux-only,400,6,0,500,7.266000,,40243242,384,15453404928,bf400_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_seed6_1500_20260609.txt
aux-only + attnres layer gain,300,5,0,500,7.245000,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_attnreslayergain_seed5_1500_20260609.txt
aux-only + frozen head mix,300,5,0,250,8.526100,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_headmixfreeze_seed5_1500_20260609.txt
aux-only + layer-head-mix-delta,300,5,0,750,5.348900,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_layerheadmixdelta_seed5_1500_20260609.txt
aux-only + layer-head-mix-delta,300,6,1,1500,3.244500,3.244500,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_layerheadmixdelta_seed6_1500_20260609.txt
aux-only + layer-head-mix-delta,300,7,0,500,7.249700,,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_auxonlylayerrowsigns_layerheadmixdelta_seed7_1500_20260609.txt
aux-only aux0.25,300,5,1,1500,3.245800,3.245800,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux025_headmixinit05_auxonlylayerrowsigns_seed5_1500_20260609.txt
"aux-only headmix init 0,0",300,5,1,1500,3.246100,3.246100,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit00_auxonlylayerrowsigns_seed5_1500_20260610.txt
