family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
AttnRes extra 2->8,300,5,0,250,8.542900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra2to8_seed5_1500_20260610.txt
AttnRes extra 5->8,300,5,0,500,7.241500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -1,300,5,0,500,7.244200,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm1_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -1.5,300,5,0,250,8.509300,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm1p5_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2,300,5,0,500,7.237900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2 scale1.25 decay,300,5,0,500,7.235500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p25to0_s250_250_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2 scale1.5 decay,300,5,1,1500,3.247700,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p5to0_s250_250_full_seed5_1500_20260611.txt
AttnRes extra 5->8 bias -2 scale1.5 decay,300,5,0,250,8.511000,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p5to0_s250_250_rerun2_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2 scale1.5 decay,300,5,0,500,7.237200,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p5to0_s250_250_rerun3_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2 scale1.5 decay,300,5,0,500,7.231900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p5to0_s250_250_rerun_seed5_1500_20260610.txt
AttnRes extra 5->8 bias -2 scale1.5 decay,300,5,0,500,7.231900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_singlefix_scale1p5to0_s250_250_seed5_1500_20260610.txt
