row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2
485,44,1.6532125137753437,0.44304463,-0.13579206,-1.042725,-0.3028595,0.65728587
761,364,2.5622928644564746,0.89310914,-2.6901212,3.3360136,0.7170096,-4.578336
798,6,0.8450980400142568,0.18044482,0.19520593,-0.16112041,-0.27746755,-1.7103224
838,638,2.8055008581584002,1.2839506,4.653673,-2.6132565,-5.0108685,4.3521566
1051,16,1.2304489213782739,0.22938597,1.0250849,-0.65465915,-3.640171,0.14554375
1236,8,0.9542425094393249,0.19674373,0.311556,-0.7101267,-0.6483737,1.670603
1845,0,0.0,0.009875262,0.29620594,-0.44446012,-1.5414886,-0.22971462
2261,227,2.357934847000454,0.709608,0.59738255,-0.5548285,0.69316626,1.0067037
2473,4319,3.635483746814912,1.8292236,3.5931487,1.5553095,-0.66910094,0.32611686
2959,22267,4.3476812126349005,1.8819677,0.88921,1.2539343,2.4403443,0.37881356
3241,9,1.0,0.27465326,0.2592489,-0.32404935,-0.94702065,-0.031064523
3301,63434,4.802328944202582,1.7651474,-6.5404925,1.1768894,1.2989857,-0.91008705
3764,15,1.2041199826559248,0.2862492,0.50622755,-0.008454465,-3.4218209,-1.8570843
4059,120,2.0827853703164503,0.6103059,1.0338475,-1.4761552,-0.50867337,3.574528
4112,60,1.7853298350107671,0.36756608,-1.0109879,-0.9250962,3.7096372,-0.37317348
4333,23,1.380211241711606,0.3021479,-0.20197147,-0.5110698,0.14794773,0.45837843
4441,159,2.2041199826559246,0.6751837,-2.2838526,-0.008080858,2.663177,-0.19585283
4462,29395,4.4682882387076095,1.8844459,4.6745453,5.6445847,0.31864998,-0.91366595
4553,4729,3.6748611407378116,1.8377653,1.4451768,4.4693203,-0.21389307,-1.2234137
4569,29412,4.468539322942948,1.9825861,-5.042397,4.6214943,0.10624698,-4.297875
4680,4461,3.649529565947819,1.7478966,-7.507632,2.989796,3.3498175,0.2446999
4687,46,1.6720978579357175,0.39322415,1.1933268,-0.24171153,0.63419,-1.8195978
5112,29,1.4771212547196624,0.38862517,1.683501,-0.9057577,-3.3630583,2.9609933
5731,14,1.1760912590556813,0.31025106,0.17585333,-0.42678788,-0.2364897,-0.22566575
6222,35,1.5563025007672873,0.4113748,-0.043591507,-1.1588994,-0.25738186,2.348712
6512,2910,3.464042205438811,1.751199,-2.3015273,1.7436558,1.5950009,0.12007957
6653,137508,5.138331123783905,1.7905595,5.04609,5.8539863,-0.63852954,-0.4594181
7054,12,1.1139433523068367,0.24470367,-0.05833275,-1.0333753,0.75360626,1.6958958
7098,10,1.0413926851582251,0.29915217,0.32544366,-0.07886718,-1.0038499,0.43744287
7286,22,1.3617278360175928,0.2778271,0.016043542,-0.07102045,0.19005215,-0.36431256
7530,27,1.4471580313422192,0.3141129,0.23702674,0.24486606,-0.5619618,-1.0462213
8022,13,1.146128035678238,0.23357484,0.8365615,-0.85510004,-3.75037,3.3641276
8031,19,1.3010299956639813,0.3113397,0.43864578,-0.8112133,0.18069357,0.9197667
8044,21,1.3424226808222062,0.27339637,0.45000437,-0.41193792,-0.44106188,-0.29353446
8369,3064,3.486430478854434,1.8167999,-0.38544965,6.231006,1.0855745,-1.5045763
8880,9,1.0,0.20119205,0.7597766,0.42576125,-2.0233254,-1.5653626
9142,15,1.2041199826559248,0.30826613,0.29178083,0.1028264,0.9357675,-2.1385167
9628,22315,4.348616352738332,1.8388078,-8.083216,2.691917,3.0586808,-1.7450889
9761,14,1.1760912590556813,0.25046575,-0.061122686,-0.60487634,1.4235615,2.031925
9816,30,1.4913616938342726,0.3547322,1.1299238,-1.2198575,2.1734164,3.649576
9851,3119,3.494154594018443,1.8415415,4.3439198,-0.4652596,-1.5887104,-1.0843327
10210,634,2.8027737252919755,1.2631187,2.7402294,-2.8461144,-1.0858847,2.9762526
10286,29,1.4771212547196624,0.34855166,-0.5753325,-0.13406518,3.0164287,-3.1809256
10334,30390,4.48274499054841,1.9569476,0.47618222,1.9386443,0.15744357,-0.47465444
10372,256481,5.409056891572676,1.8177015,4.901051,6.37235,-1.0364338,0.48860607
10478,9,1.0,0.24092972,0.010383831,0.08716615,3.1011934,-3.090973
10508,598,2.7774268223893115,1.2091861,1.7800306,2.2276416,-0.00038797158,-0.8704628
10875,604,2.781755374652469,1.2528592,0.38915262,-3.1645224,-0.31110132,1.9290725
10937,39,1.6020599913279623,0.38299692,-0.13271862,-1.3942834,0.3926189,2.4124112
10966,1857,3.269045709657623,1.6680825,0.9141668,6.5125046,0.46554893,-1.7648544
11085,17199,4.235528446907549,1.9103031,-0.012705798,1.2154765,-0.43194336,-0.021088203
11106,245,2.3909351071033793,0.90301055,4.2410827,-1.9235536,-6.1027575,4.8962297
11448,157,2.1986570869544226,0.6285021,-1.0403434,-0.15166536,-3.6216104,-1.6163608
11509,49,1.6989700043360187,0.3027917,-0.52734077,0.6254172,0.7609072,-4.149221
11673,118454,5.0735533970687445,1.8204199,-6.8946157,4.214129,0.6148744,-1.7219747
11695,35,1.5563025007672873,0.28837967,0.259691,-0.7173858,1.170448,0.7213458
12115,26,1.4313637641589874,0.31227383,-0.22964494,-0.5152169,-0.27685085,0.3205635
12422,720,2.857935264719429,1.3269634,0.22607532,-2.304327,3.815869,3.8003094
12644,218,2.3404441148401185,0.797202,1.3519969,-2.2157905,-0.098171234,0.39361238
12712,52,1.724275869600789,0.41527566,-1.7580956,0.9016594,4.2667103,-1.0931
12879,488,2.6893088591236203,0.9829456,-0.2980769,-2.1589231,0.595327,1.0449079
