row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
4717058,126,2.103803720955957,0.59981054,-0.26018724,0.27388263,0.8799196,-2.758046,6.037408,8.834138
4335869,204,2.311753861055754,0.6696048,0.7710732,-1.3551289,0.4852121,0.94750565,6.1663876,8.549357
6186586,145,2.164352855784437,0.6755002,-0.56891954,-0.95457566,-1.6869854,2.558842,5.4465213,6.57478
152153,32,1.5185139398778875,0.35668424,-0.13028301,0.08185366,1.8618556,-1.6159781,1.3875762,10.733382
362867,53,1.7323937598229686,0.36885107,-1.583878,1.7519983,4.082025,-8.503425,1.287263,12.998105
1295271,15719,4.196452541703389,1.8717557,-10.765602,4.258372,7.399156,-1.8291184,2.7313335,12.847133
250748,36,1.568201724066995,0.35794315,-0.6037546,0.42453128,3.04984,-1.6017544,3.0646548,12.040212
6054166,196,2.294466226161593,0.72496927,0.082064,-0.39420784,0.251385,1.3152488,5.252816,7.974219
2341522,27,1.4471580313422192,0.27729574,-0.5691657,-0.7172739,1.0431994,-0.6721959,1.5482233,12.423522
5553688,90,1.9590413923210936,0.5540661,0.4283956,0.04147737,0.9811216,-0.6229006,4.9490743,8.292462
7691716,164,2.2174839442139063,0.64984655,-0.16456747,-0.25935382,0.99354297,-0.65841335,6.1396704,8.704276
3885211,97,1.9912260756924949,0.5857809,-0.49392888,0.014573825,1.21986,-1.2000375,2.2911196,13.644022
1358044,16045,4.205366787866476,1.8499801,5.3477783,0.9739214,-1.9208785,1.2840837,2.128637,8.482586
7174905,2969,3.4727564493172123,1.9993459,2.7322826,0.046464473,-1.2104328,0.072392695,4.57736,8.383536
604903,138,2.143014800254095,0.5537727,-1.6949154,-0.13297084,3.8146644,0.17120749,2.6750765,13.08729
3329270,13,1.146128035678238,0.25440064,0.6113529,-0.34288248,-1.3234906,-2.1563568,1.2490113,11.990623
6809791,3331,3.52270499273475,1.8469392,-2.5919974,0.30826664,1.1915952,0.31609756,6.0537786,9.329319
1652928,65342,4.815199069740529,1.8721656,0.8983901,5.29971,1.1512233,-1.2798477,1.4253291,9.549549
2744087,88,1.9493900066449128,0.5595218,-0.15125741,-1.0402371,0.08731311,0.73393065,2.87067,10.268652
1527920,408,2.611723308007342,0.9042217,-1.9038999,-0.40722823,-0.21212369,-0.6669762,2.117884,12.971693
3945716,16,1.2304489213782739,0.34023395,0.242438,-1.0605549,0.3641491,0.8113304,2.2397914,9.614583
6400767,135,2.1335389083702174,0.6716511,-0.49902844,-0.25133878,2.840284,0.18999863,5.8097005,8.506056
3654501,98,1.99563519459755,0.56181854,-0.124617815,-1.8803768,-1.5481206,4.5561805,1.1124718,11.950337
2196146,744,2.8721562727482928,1.4049417,-0.9309839,-0.02669469,1.550142,-0.35862857,2.1423419,12.015067
2243199,7,0.9030899869919435,0.22275136,0.56870264,-1.204466,0.03320888,3.3858757,2.9226735,12.030472
3837510,765,2.884228769632604,1.3206893,0.67869705,-1.073755,-0.95970786,-1.4888421,1.9403305,9.670112
2987540,17,1.255272505103306,0.3221238,0.90201813,0.6443699,-2.1275568,-1.6048464,0.9015236,8.219289
3575279,23,1.380211241711606,0.34235734,0.11404693,-0.5125687,0.93227977,-1.0697299,2.8067694,12.040061
6316229,495,2.6954816764901977,0.9566774,0.04904797,-2.0144281,0.21751614,2.8571472,6.2862477,7.2754874
1418065,8,0.9542425094393249,0.18686652,0.4649751,-0.69937813,1.3566871,-0.73629916,2.7686322,11.584839
2553232,15,1.2041199826559248,0.2714085,0.5135915,-1.0545676,3.4384875,3.184507,2.779544,11.697906
5783529,67,1.8325089127062364,0.44473457,-0.36538896,-0.33014435,0.7208103,1.0435584,4.8137846,8.1590395
1297272,18,1.2787536009528289,0.26160896,0.53643036,0.107440285,0.27637905,2.423932,1.1751508,11.826344
7365825,74,1.8750612633917,0.5080735,0.6648367,-0.29594865,0.66592264,0.75227594,4.9289384,8.260871
2489983,57765,4.761672295911301,1.8660102,4.142936,3.5978222,-0.96729594,-1.6042378,1.0873396,8.738123
7570913,120,2.0827853703164503,0.60916996,0.4764297,-0.5977807,-0.37755117,1.4055655,4.830584,6.8907385
3484286,17,1.255272505103306,0.29734033,0.20821421,0.012161401,0.082976475,-1.0839454,1.5062622,8.07984
1650842,45,1.662757831681574,0.32379407,-0.9381017,-0.064358674,1.380402,-1.0100632,1.6543057,13.370356
5604979,168844,5.227488204417323,1.940532,-1.043698,0.719253,0.11601524,-0.97789663,4.603807,9.328709
431946,28096,4.448659951470931,1.7948544,-6.185692,-0.50243366,4.4240255,2.0339928,2.7371085,13.020395
4809781,136,2.1367205671564067,0.5836813,0.07371477,-0.107912116,-1.8450984,1.196953,5.6466126,6.8410645
2701879,32868,4.516786491392598,1.9313773,-4.1230664,6.8869877,1.108465,-3.6147866,1.8665555,13.030426
477192,11,1.0791812460476249,0.28961805,0.77861917,-0.18503448,-1.0538344,0.44393098,2.4772356,11.657729
5976110,106,2.0293837776852097,0.5918868,0.35338205,-0.27338764,3.2267928,0.02217722,5.3690825,8.852596
2218026,21,1.3424226808222062,0.34581375,0.3820726,-0.3979167,0.91538006,-1.3495095,0.96983933,9.815732
4121184,263,2.4216039268698313,0.842527,0.44436875,0.555876,-1.3526278,-0.88741076,5.822764,7.227594
2295659,189,2.278753600952829,0.69779533,0.22825499,-0.36632723,0.77277803,-0.1958304,0.77474827,9.345763
4838145,135,2.1335389083702174,0.68016934,0.036440976,-1.3555131,-2.05179,1.0302422,6.776598,7.812542
7664947,32819,4.516138576717075,1.9544493,-0.31479812,-2.439407,0.5189176,0.48484614,3.3566635,9.257436
2591982,15406,4.187718082567605,1.8934255,-7.3798137,4.979949,1.789583,-1.4951528,2.005296,13.337161
7684932,146,2.167317334748176,0.66066873,1.0201913,-0.97215754,-0.95447296,0.8792288,4.6999354,8.5004635
1423900,22165,4.345687328898848,1.8694613,-1.3746853,-4.8321548,0.54733676,3.9195993,2.5594523,13.292231
3315982,12,1.1139433523068367,0.21715389,0.13077524,-0.3750305,2.4032662,-1.2775363,2.6633728,11.882099
5231047,106,2.0293837776852097,0.55718637,0.9644821,-1.9580933,0.71832436,2.4738092,5.2063427,8.848761
3851987,23382,4.368900229660007,1.883305,-6.3381605,8.610897,2.3555152,-5.128515,1.5620301,13.469075
986848,909,2.9590413923210934,1.2976938,2.593707,0.89290035,0.8347277,0.15354106,1.4415976,8.374486
6601819,1391,3.1436392352745433,1.2826715,0.28638366,0.32192147,0.68245184,0.03871492,6.0974617,9.050544
3020249,3703,3.5686709780098966,1.701421,1.4023753,0.93863875,-0.5851857,-0.6899869,1.7261077,9.211266
2398594,506,2.705007959333336,1.1905445,0.42262933,-0.17480215,-0.9020675,-0.59443897,1.550536,9.303384
3176778,220,2.3443922736851106,0.73422563,1.5436567,-1.420867,-1.6854764,1.7372577,2.0931036,12.396115
34757,10781,4.032699327492617,1.9440799,1.7438109,-1.7073636,0.14403932,-0.52895427,1.8771534,9.533574
5268732,1866,3.2711443179490782,1.620011,-2.3833718,0.3235117,0.12658201,-0.23532249,6.3091297,9.294484
4932286,98,1.99563519459755,0.45464224,0.5038717,-0.45253804,0.002109036,-0.09893384,6.6086297,8.586641
1230159,92732,4.967234309846277,1.8550447,-11.039659,3.895941,2.6571386,-2.4266768,1.9293848,13.133572
3623269,17195,4.2354274364449696,1.8857056,4.0382724,5.321784,-1.3816309,-0.19100487,1.6009823,8.086772
