target,readout,rows,dim,key_dim,steps,batch_size,zipf,noise,method,final_mse,final_seen_mse,final_rare_mse,final_one_hit_mse,hit_frac,mean_hits_seen,row_rms,first_write_mse,grad_rms_mean,update_rms_mean,update_grad_ratio
mixed,linear,128,16,4,3,64,1.05,0.03,sgd,0.9889014959335327,0.9763246178627014,0.9787963628768921,0.9844449162483215,0.46875,3.200000047683716,0.0055909897200763226,0.9844625194867452,0.0019446487616126735,0.007778595046450694,4.0
mixed,linear,128,16,4,3,64,1.05,0.03,adam,0.9397916793823242,0.87155681848526,0.8848198056221008,0.9194098711013794,0.46875,3.200000047683716,0.03489106893539429,0.9213645656903585,0.0019143572620426614,0.04906814048687617,25.63165270129327
mixed,linear,128,16,4,3,64,1.05,0.03,normwrite,0.9748930931091309,0.9464398622512817,0.951993465423584,0.964728057384491,0.46875,3.200000047683716,0.012770157307386398,0.96473362048467,0.0019355544354766607,0.017767532418171566,9.179557078071035
mixed,linear,128,16,4,3,64,1.05,0.03,gdn,0.9570200443267822,0.9083106517791748,0.9173755645751953,0.9385152459144592,0.46875,3.200000047683716,0.011065879836678505,0.9385836521784464,0.0009618266485631466,0.015389226377010345,16.0
mixed,linear,128,16,4,3,64,1.05,0.03,gdn_oracle,0.9748947024345398,0.946443498134613,0.9519945979118347,0.964728057384491,0.46875,3.200000047683716,0.006384634412825108,0.9647360444068909,0.0019266615078474085,0.017750095576047897,9.212877043399002
mixed,mlp,128,16,4,3,64,1.05,0.03,sgd,0.4337660074234009,0.5361107587814331,0.5385041236877441,0.5176981091499329,0.5,3.0,1.456820011138916,0.5583501656850179,0.6653516292572021,2.6614065170288086,4.0
mixed,mlp,128,16,4,3,64,1.05,0.03,adam,0.3749372661113739,0.41845327615737915,0.43314290046691895,0.40228432416915894,0.5,3.0,0.03098871558904648,0.43845516443252563,0.6654675006866455,0.04112813497583071,0.06180337121406185
mixed,mlp,128,16,4,3,64,1.05,0.03,normwrite,0.36061522364616394,0.3898092210292816,0.4317212998867035,0.5157647728919983,0.5,3.0,0.012038610875606537,0.556308646996816,0.6661446293195089,0.01999658594528834,0.030018384995035664
mixed,mlp,128,16,4,3,64,1.05,0.03,gdn,0.43361181020736694,0.5358023643493652,0.538276731967926,0.5176982879638672,0.5,3.0,0.9982050061225891,0.558350404103597,0.3326757897933324,5.322812636693318,16.0
mixed,mlp,128,16,4,3,64,1.05,0.03,gdn_oracle,0.36056312918663025,0.38970503211021423,0.43161094188690186,0.5157647728919983,0.5,3.0,0.006018012762069702,0.5560765067736307,0.5603016515572866,0.01999593588213126,0.03568780464336509
